Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HA  99	Flag Staff Prospect (Flagstaff; Richmond; Avalanche)	43.6822	-114.46	160390035	W007851	47
HA 169	Valley View Prospect	43.9222	-114.7361	N/A	W013822	142
HA 171	Big Doctor	43.9164	-114.6989	160130213	N/A	86
HA 177	Gladiator Mine (Stoneboat Group)	43.91	-114.6431	160130378	W013624	118
HA 179	Lone Trail Prospect	43.9053	-114.6478	160130385	W013623	89
HA 181	Lucky Group	43.9014	-114.6378	160130383	W013625	92
HA 183	Galena Pass Prospect (Highway 75 Prospect)	43.8839	-114.7311	160130369	W013773	113
HA 185	Coffee Pot Group	43.8986	-114.6553	160130354	W013628	93
HA 186	Big Five Claims	43.8972	-114.6411	160130382	W013620	94
HA 187	Star Prospect	43.8978	-114.6311	160130448	W013743	95
HA 191	Conway Castle Prospect	43.8911	-114.6083	160130396	W013745	103
HA 192	Farragut Prospect	43.895	-114.6178	160130394	W013744	97
HA 193	Occident Prospect	43.8919	-114.625	160130489	W013741	101
HA 194	Summit View Prospect	43.8925	-114.6181	160130377	W013629	100
HA 195	Mountain Goat Prospect	43.8917	-114.6336	160130015	W013742	99
HA 196	President Prospect	43.8892	-114.6242	160130374	W013740	107
HA 197	Baltimore Prospect	43.8883	-114.6411	160130379	W013732	104
HA 198	Senate Lode Mine	43.8903	-114.6136	160130376	W013621	102
HA 199	Chief Claim	43.8872	-114.6139	160130375	W013731	111
HA 200	Hidden Treasure Claim Mine	43.8869	-114.6183	160130400	W013618	110
HA 201	Holiday Prospect	43.8858	-114.6236	N/A	W013739	109
HA 202	Orient Prospect	43.8853	-114.6281	160130395	W013738	108
HA 203	June Morning Prospect	43.885	-114.6347	160130380	W013737	106
HA 204	Pacific Prospect	43.8839	-114.6458	160130381	W013736	105
HA 205	Wood River Placer	43.88	-114.6711	160130455	W013782	120
HA 206	Wood River Placer	43.8781	-114.6544	160130456	W013783	121
HA 207	Wood River Placer	43.8714	-114.6583	160130457	W013784	124
HA 208	Red Cloud Mine	43.885	-114.6081	160130368	W013730	112
HA 210	Silver Bell Prospect	43.8842	-114.6128	160130450	W013631	114
HA 211	Strawberry Hill Prospect	43.8803	-114.6092	160130386	W013630	116
HA 212	Highland Chief Prospect	43.8797	-114.5967	160130373	W013622	117
HA 213	Spring Creek Occurrence	43.8692	-114.5947	160130451	W013750	130
HA 214	Overland Prospect	43.8689	-114.5992	N/A	W013751	141
HA 215	Black Carbonate Mine	43.8689	-114.6042	160130367	W013619	129
HA 216	Galena Belle Prospect	43.8706	-114.6072	160130399	W013754	128
HA 217	Maggie Claim Prospect	43.87	-114.6108	160130388	W013626	127
HA 218	Portland Prospect	43.87	-114.6139	160130398	W013755	126
HA 219	Argosy	43.8694	-114.6222	160130372	N/A	123
HA 220	Ford Prospect	43.8725	-114.6311	160130370	W013747	122
HA 221	Buick Prospect	43.8697	-114.63	160130397	W013748	125
HA 222	Argentine Prospect	43.8672	-114.6303	160130371	W013749	131
HA 223	Combination Prospect	43.865	-114.6072	160130387	W013752	132
HA 224	Lone Star Prospect	43.8625	-114.6044	160130384	W013756	133
HA 225	Wood River Placer	43.8569	-114.6394	160130458	W013785	134
HA 226	King Creek Prospect	43.8503	-114.5958	160130365	W013753	135
HA 227	Wood River Placer	43.8431	-114.6258	160130459	W013786	136
HA 228	Wood River Placer	43.8397	-114.6306	160130460	W013787	137
HA 230	Wood River Placer	43.8153	-114.5978	N/A	W013788	140
HA 233	Fox Tail Prospect	43.835	-114.5392	160130391	W013758	139
HA 234	Boulder Ridge Occurrence	43.8344	-114.5133	160130454	W013757	168
HA 235	Million Prospect	43.8311	-114.5353	160130390	W013759	524
HA 236	Jaukow Prospect (Jankow; Boulder Creek; Starlight)	43.825	-114.5133	160130007	W013799	525
HA 237	North Fork of Wood River Deposits	43.8206	-114.5167	N/A	W013642	530
HA 239	F. C. Adit Prospect	43.8831	-114.3067	160130438	N/A	528
HA 240	Big Pine Group	43.8658	-114.2986	160370094	N/A	543
HA 241	Glacier Group	43.8625	-114.3036	N/A	N/A	544
HA 243	Lost Dump Prospect	43.8403	-114.3117	160130425	N/A	546
HA 263	Evelyn Prospect	43.7125	-114.3511	160130137	W013825	658
HA 264	Sum Claim	43.6975	-114.3575	160130196	N/A	685
