Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
BA 195	Packer John (Alpine Group; Disappointment Group)	44.1719	-116.0978	N/A	N/A	187
BA 196	Three Sisters Group	44.1678	-116.0869	N/A	N/A	190
BA 197	Banks Calcite	44.0853	-116.1311	160150299	N/A	169
BO   6	Lost	43.9128	-116.215	N/A	N/A	404
BO   7	Osborne Mine	43.9086	-116.2211	160150004	W007919	6
BO   8	Mammoth Prospect	43.9047	-116.2139	160150162	W007935	5
BO   9	Apex Prospect	43.9017	-116.2258	160150163	W007936	7
BO  10	Sunny Side Prospect (Sunlight)	43.8978	-116.2211	160150164	W007835	8
BO  11	Henry Mine (Robb Prospect)	43.8875	-116.21	160150059	W007927	9
BO  12	Marine	43.9	-116.2339	160150117	N/A	323
BO  13	Atlanta Prospect	43.8986	-116.2306	160150166	W007937	10
BO  14	Ballentyne	43.8953	-116.2272	160150167	W007834	11
BO  15	Nellie Mine	43.9008	-116.2392	160150003	W007917	14
BO  16	Claggett Prospect	43.8961	-116.2339	160150168	W007946	12
BO  17	Topeka Prospect	43.8942	-116.2358	160150169	W007837	13
BO  18	Hall's Claim	43.8967	-116.2533	160150170	W007934	15
BO  19	Kentuck Mine	43.8947	-116.2522	160150002	W007916	16
BO  20	Bobtail Claim	43.8903	-116.2514	160150172	W007941	19
BO  21	Lambertine Claim	43.8853	-116.2492	160150173	W007942	20
BO  22	Lucky Boy Prospect	43.8906	-116.2617	160150001	W007918	17
BO  23	Mint Claim	43.8883	-116.2581	160150171	W007938	18
BO  24	Anticlinal Prospect	43.8772	-116.2553	160150174	W007943	21
BO  77	Coal Deposit	43.8431	-116.22	160150058	N/A	72
BO 241	Peterson Prospect	43.9883	-116.1247	160150126	N/A	186
BO 242	Coal Deposit	43.9881	-116.1131	160150065	N/A	187
BO 243	Comeback	43.9736	-116.0853	N/A	N/A	403
BO 244	Coal Deposit	43.9744	-116.1697	160150064	N/A	185
BO 245	Coal Deposit	43.9611	-116.1775	160150063	N/A	184
BO 246	Coal Deposit	43.9483	-116.1514	160150062	N/A	183
BO 247	Gem State Consolidated Mines	43.9431	-116.2225	160150079	N/A	326
BO 248	Granite Beach	43.9364	-116.1894	160150108	N/A	181
BO 249	Coal Deposit	43.9364	-116.1667	160150220	N/A	182
BO 250	Coal Deposit	43.9292	-116.1667	160150061	N/A	180
BO 251	Coal Deposit	43.9178	-116.18	160150221	N/A	179
BO 252	Payette Coal Mining Co. (Semi-Anthracite Coal Mining Co.)	43.8992	-116.1931	160150060	N/A	178
BO 253	Sunshine Placer	43.8681	-116.1481	N/A	N/A	369
BO 254	Castle View Claims	43.8703	-116.1069	160150084	N/A	198
BO 255	Long Chance (Bert Stevens Mine; Red Rock)	43.8631	-116.1283	N/A	N/A	376
BO 260	Blue Rock Group	43.98	-116.0142	160150011	W007600	189
BO 261	Silver Hill Mine	43.9708	-116.005	160150012	W007582	190
BO 262	Newburg Mine (Talache Mines, Inc.; Centennial Lode)	43.945	-116.0028	160150008	W007560	191
BO 263	Ternan Belshazzar Group (Belshazzar; Idawa Development Co.)	43.9431	-116.0111	160150006	W007566	193
BO 264	Mountain Chief Mine (Shamrock)	43.9383	-116.0261	160150005	W007601	192
BO 265	Ebenezer Claim	43.9269	-116.0236	160150222	W013097	197
BO 266	Canyon Creek Mine (Silver King Claims)	43.9278	-116.015	N/A	D006605	196
BO 267	Gold Pine (Black Knight Group; Old Lee Bunch Mine)	43.9297	-116.0028	160150077	N/A	194
BO 268	Crown Point Prospect	43.9242	-116.0039	160150007	W007561	195
BO 280	Pine Creek Mica Claims (Matlock Mica Mine)	43.7731	-116.0422	160150085	N/A	203
BO 281	Golden Seal	43.7283	-116.1061	N/A	N/A	389
BO 282	Antimony No. 2	43.7217	-116.1019	160150223	FS00193	204
BO 283	Silver King Group	43.7142	-116.0531	N/A	D006790	322
BO 286	Robie Creek Horseshoe	43.6736	-116.0508	160150128	N/A	205
BO 299	Hole Card	43.6519	-116.0419	N/A	FS00139	331
BO 301	Daisy	43.6469	-116.0536	160010016	N/A	332
BO 302	North Star Mine (McCarty Group)	43.6469	-116.06	160010015	W013072	214
BO 309	Sunset Mine	43.6383	-116.0311	160150276	N/A	211
BO 326	Big Giant Mine (New Year)	43.6219	-116.0264	160010083	W013099	233
CH 541	Gray Eagle Mine (Shepard Lease)	44.0425	-115.7956	160150224	W014416	335
CH 542	CUMO Prospect	44.0378	-115.7803	160150056	W027150	337
CH 543	Grimes-Payette Mine	44.0397	-115.8197	160150136	N/A	336
CH 544	Homestake Group (Fulland; Grimes Homestake)	44.035	-115.8006	160150176	W014401	338
CH 545	Coon Dog Mine	44.0383	-115.8047	160150217	W007575	339
CH 546	Morning Star Crossing (Golconda)	44.0319	-115.8083	160150210	N/A	342
CH 547	Independence Group (Independent Group)	44.0333	-115.8206	160150218	W007627	341
CH 548	Silver Gem	44.0342	-115.8317	160150177	N/A	340
CH 549	Slide Gulch (Tin Pan Alley)	44.0294	-115.8372	N/A	N/A	437
CH 550	Parker	44.0314	-115.8394	160150178	N/A	343
CH 551	Missing Link	44.0289	-115.8331	160150179	N/A	345
CH 552	Ballinger Vein	44.0267	-115.8394	160150180	N/A	346
CH 553	Bruser Mine	44.0211	-115.8372	160150181	W014407	347
CH 555	Idaho	44.0181	-115.8461	160150183	N/A	99
CH 556	Noble Placer	44.0175	-115.8369	160150182	FS00212	348
CH 557	Grimes Pass Mine	44.0167	-115.8319	160150159	N/A	N/A
CH 558	Mountain Queen	44.0133	-115.8425	160150184	N/A	350
CH 559	Oro Mine	44.0097	-115.8403	160150147	W014406	352
CH 560	J.S. Prospects (Mitchell-Janot; Janot Group; Mitchell-Jeannot)	44.0081	-115.8569	160150185	W014405	353
CH 561	Grimes Creek Placer	44.0042	-115.8308	160150219	W014414	354
CH 562	Missouri Mine (Missouri Mining Co., Ltd.; Belle Flower; Missourian Group; Sheridan; Big Muddy Placer)	44.0067	-115.8514	160150148	W007608	355
CH 563	Golden Age Mine (Golden Age, Jr.)	44.0211	-115.8303	160150146	W007576	356
CH 564	Mohawk Mine	44.0242	-115.8078	160150186	W014409	358
CH 565	Windfall Group	44.02	-115.8114	N/A	N/A	N/A
CH 566	Blackbird No. 5 Tunnel (Enterprise; Diana Mine; Mineral Mines)*	44.0186	-115.8153	160150225	W007605	357
CH 567	Kingsley Prospect	44.0164	-115.8158	160150190	W014415	N/A
CH 568	Ader Group (Adair; St. Clair Group)	44.0144	-115.8114	160150191	W007628	364
CH 569	Voltaire	44.0144	-115.8061	160150192	FS00117	365
CH 570	Smuggler Mine	44.0192	-115.8194	160150189	W014410	362
CH 571	Enterprise Group Mine (Ingle; Baby)	44.0194	-115.8078	160150187	W014408	359
CH 572	Overlook Mine	44.0189	-115.79	160150188	W014418	360
CH 574	Comeback Mine (Come-Back)	44.0039	-115.8222	160150144	W014412	366
CH 575	Clear Creek Prospects	44.0044	-115.7839	160150193	W014419	367
CH 576	Red Rose	44.0014	-115.8031	N/A	N/A	N/A
CH 701	Garden Valley Placer Area	44.0994	-115.9447	160150214	N/A	914
CH 702	H.G. Claims	44.0731	-115.9958	N/A	D006602	N/A
CH 703	Wash Creek	44.0664	-115.9356	N/A	N/A	N/A
CH 704	Sunnyside Placer (High Bar)	44.06	-115.9103	N/A	N/A	N/A
CH 705	Horse Shoe Placer	44.0514	-115.9033	160150249	W007629	915
CH 706	Mirandeborde Prospects	44.0436	-115.9292	160150229	W014399	916
CH 707	Bowman Prospect	44.0419	-115.9206	160150230	W014398	917
CH 708	Nevada #1, 2, 3, 4	44.0369	-115.9233	160150143	N/A	918
CH 709	Mica Dome Prospect (Van Dissel; Mica Dome Nos. 1, 2; Cyote Group)	44.0339	-115.9136	160150142	W014404	919
CH 710	Alder Creek and West Fork	44.0133	-115.9642	160150140	N/A	921
CH 711	Gold Dollar #1	44.0053	-115.9506	N/A	N/A	N/A
CH 712	Vaught-Columbite Mine (Peck; Columbite; Vaught-Peck Columbium Prospect; Elsie Mica Claim)	44.0153	-115.92	160150135	W014411	920
CH 713	Verner	44.0117	-115.9186	N/A	N/A	N/A
CH 714	Grandview Prospects (Brunnel; Grand View Mine; Klondike; Golden Queen Klondike Group; Buckhorn)	44.0053	-115.9036	160150149	W014413	923
CH 715	Mica Slim Prospect	44.0992	-115.8497	160150139	W014387	924
CH 716	George Russel Placer	44.075	-115.7781	160150228	W007910	925
CH 717	Abella	44.0689	-115.805	160150216	N/A	926
CH 718	K.C. Mine (Glancy Mine)	44.0619	-115.8072	160150137	W014400	927
CH 719	Gold Dust #1, 2, 3	44.0506	-115.8228	160150134	N/A	928
CH 720	Joe Branson Group	44.0522	-115.7922	160150241	W007624	929
CH 721	Moly Dike Prospect	44.0697	-115.7556	160150212	N/A	931
CH 722	Gold Nugget (Russell #1-3)	44.0703	-115.7628	N/A	N/A	N/A
CH 723	Little Fall Creek (Little Falls Prospect; Coca Claims)	44.06	-115.7575	160150151	W018018	930
CH 724	Oxbow Placer Group	44.0661	-115.6728	N/A	N/A	N/A
CH 725	Payette River Dredging Co.	44.0661	-115.7106	N/A	N/A	N/A
CH 726	Disseminated Lead Prospect (Sarvis Prospect; Robert Bell Lode Claim)	44.0422	-115.7175	160150138	N/A	933
CH 727	Black Jack Prospect	44.0244	-115.7614	160150231	W014403	934
CH 730	Viking	44.0169	-115.7572	N/A	N/A	N/A
CH 731	Mammoth Mine (Etta No. 1; Cedar; Palos Verdes; Fourth of July Group)	44.0031	-115.6986	160150235	W007626	939
CH 732	Slopers Lode Prospect (Sloper Mine; Jesse)	44.025	-115.6792	160150232	W014417	935
CH 733	Golden Cycle Mine	44.0133	-115.6628	160150233	W007577	936
CH 734	Golden Chariot Mine	44.0125	-115.6703	160150234	W007861	937
CH 735	Vacation #1 and #2	44.0111	-115.6647	N/A	N/A	N/A
CH 736	Hardin Placer	44.08	-115.6606	N/A	N/A	N/A
CH 737	Lowman Placer	44.0811	-115.6269	160150236	W007909	940
CH 738	Treasury #1	44.0842	-115.6483	N/A	N/A	N/A
CH 739	Unnamed prospect	44.0811	-115.6094	160150237	N/A	N/A
CH 740	Linda Lee	44.0694	-115.5725	N/A	N/A	N/A
CH 743	Starcher Placer	44.1397	-115.5128	N/A	N/A	N/A
CH 744	Miller Mtn. Mine (Magnolia Mine)	44.1189	-115.5333	160150244	N/A	1018
CH 745	Unnamed mine	44.1108	-115.5575	N/A	N/A	N/A
CH 746	Specimen Prospect	44.105	-115.5458	160150238	N/A	942
CH 747	Birthday Mine (Branson Claims; Idaho Birthday Mine)	44.1208	-115.42	160150245	N/A	1019
CH 748	First Chance (Marie Antoinette)	44.0925	-115.47	N/A	N/A	N/A
CH 749	Lost Shoe	44.0589	-115.46	160150297	N/A	N/A
CH 752	Banner Mine	44.0192	-115.5325	160150152	W014118	943
CH 753	Vacation No. 1	44.0186	-115.5325	160150239	FS00181	944
CH 754	Silver Key Prospect	44.0258	-115.5194	160150246	N/A	1026
CH 755	Choowalto (Choowathoo)	44.0053	-115.4953	N/A	N/A	N/A
CH1107	Bear Creek Prospect No. 2	44.2064	-115.1872	160150240	W019346	946
CH1109	Bear Creek Prospect No. 1	44.1867	-115.1664	160150242	W019345	948
CH1111	Plumb Bob Claim (Silver Creek; Olympic Prospect)	44.1681	-115.12	160150247	W019337	950
CH1112	Trail Creek Prospect (Omaha Gulch; Observation Peak Prospects)	44.165	-115.1047	160150157	W014431	951
CH1113	Mount Regan Prospect	44.1561	-115.0525	160150248	W014436	952
CH1114	Ridge Prospects	44.0989	-115.2267	160390650	W014435	955
CH1115	Brethuse and Black Bear (Black Bear)	44.1344	-115.3111	N/A	N/A	293
CH1116	Pickett Mountain Prospect	44.0897	-115.1867	160390649	W014433	956
CH1117	Payette Placer (Murray Property)	44.1042	-115.1481	160150141	W014430	954
CH1119	Ballentyne Creek Prospect	44.0136	-115.2331	160150155	W014432	945
CH1120	Greyhound Mine	44.0353	-115.0903	160370225	N/A	N/A
