Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
PO  99	Gifford-Sampson Co. Farm Placer	42.6344	-113.1972	160770078	W013196	95
PO 100	Gold Lake Placer	42.6317	-113.1808	160770077	W013197	94
PO 101	Rescue Placer	42.63	-113.17	160770076	W013198	93
PO 102	Gold Field Placer	42.6389	-113.1594	160770075	W013199	92
PO 103	North Star Placer	42.6322	-113.1589	160770074	W013200	91
PO 104	Excelsior Placer	42.6328	-113.1503	160770073	W013202	90
PO 105	Gold Bar Placer	42.6367	-113.1456	160770072	W013201	89
PO 107	March Morning Placer	42.6267	-113.1442	160770070	W013203	87
PO 108	Grasshopper Placer	42.6336	-113.1414	160770071	W013204	88
PO 109	Gold Leaf Placer	42.6336	-113.1319	160770068	W013205	85
PO 110	Albert Placer	42.6211	-113.1333	160770069	W013206	86
PO 111	Cedar Placer	42.6403	-113.1206	160770066	W013207	83
PO 112	Gold Crown Placer	42.6339	-113.1214	160770067	W013208	84
PO 113	High Bar Placer	42.6453	-113.1133	160770064	W013210	81
PO 114	Cliff Placer	42.6431	-113.1025	160770062	W013215	79
PO 115	Wyoming Placer	42.6381	-113.1086	160770063	W013211	80
PO 116	Montana Placer	42.6342	-113.1131	160770065	W013212	82
PO 117	E. H. Albert Farm Placer	42.6194	-113.1131	160770059	W013209	76
PO 118	Idaho Placer	42.6344	-113.1022	160770061	W013213	78
PO 119	Bonanza Bar Placer (Montana; Idaho; Gold Crown; Lookout; Gold Leaf; Gold Bar; Excelsior; North Star; Rescue)	42.6283	-113.1039	160770060	W013214	77
PO 120	Cassie Placer	42.6233	-113.1014	160770058	W013217	75
PO 121	Rose Placer	42.6397	-113.09	160770057	W013218	74
PO 122	Lookout Placer	42.6344	-113.0919	160770025	W013219	73
PO 123	O. J. Cleveland Farm Placer	42.6236	-113.085	160770056	W013216	72
PO 124	Fraction Placer	42.6342	-113.0842	160770055	W013221	71
PO 125	Lucky Jim Placer	42.6392	-113.0772	160770054	W013222	70
PO 126	Heigh Placer	42.6306	-113.0803	160770053	W013223	69
PO 127	Sample Placer	42.6339	-113.0694	160770052	W013225	68
PO 129	Golden Treasure Bar Placer	42.6406	-113.0603	160770051	W013224	67
PO 130	New Bonanza Placer	42.6483	-113.0458	160770026	W013226	66
PO 131	Amber Placer	42.6511	-113.0403	160770050	W013228	65
PO 132	Meadow Placer	42.6486	-113.0347	160770048	W013227	63
PO 133	Orphan Boy Placer	42.6539	-113.035	160770049	W013229	64
PO 134	Black Rock Placer	42.6561	-113.0303	160770046	W013230	61
PO 135	High Bar Placer	42.6511	-113.0289	160770047	W013231	62
PO 136	Twin Bull Placer	42.6567	-113.0231	160770045	W013232	60
PO 137	Spotted Fawn Placer	42.6564	-113.0172	160770044	W013233	59
PO 138	Poor Boy Placer	42.6581	-113.0128	160770043	W013234	58
PO 139	Emigrant Bar Placer	42.6611	-113.0078	160770042	W013235	57
PO 140	Tiger Placer	42.6678	-112.9978	160770041	W013236	56
PO 141	Tonupoh Placer	42.6783	-112.9892	160770040	W013237	55
PO 142	Clay Deposit	42.6544	-112.9725	160770039	W013168	54
PO 143	Clay Deposit	42.7222	-112.9339	160770038	W013167	52
PO 144	Neely Placer Deposit (Eagle Rock; Riverside Placer)	42.7167	-112.9447	160770011	W013238	53
PO 147	Big Bend (Snake River Placer)	42.7558	-112.8917	160770014	N/A	6
PO 150	Juniper Hills Mining Co. (Thornton Mine)	42.7019	-112.8383	160770034	M055161	43
PO 153	Pumicite Occurrence	42.6308	-112.9003	N/A	W013156	49
PO 154	Eliason Ranch Pumice Deposit	42.6106	-112.9367	160770003	W013165	50
PO 156	Rocky Hollow Pumicite Occurrence	42.6078	-112.8908	160770002	W013158	48
PO 157	Pumicite Occurrence	42.5806	-112.8431	160770001	W013159	47
PO 159	Bannock Peak Saddle Prospect	42.595	-112.7028	160770028	N/A	44
PO 162	Bannock Apex Group	42.5211	-112.8483	160770018	N/A	214
PO 179	Horse Island Placer Deposit	42.9053	-112.7331	160770012	W013239	3
PO 180	Smut Mine	42.8078	-112.5928	160770027	N/A	4
PO 181	Kit Quarry (Wells Cargo; Westvaco)	42.8322	-112.5314	160770015	W013151	51
PO 182	Fort Hall Coal Prospect	42.7967	-112.5744	160770033	N/A	5
PO 220	Phosphate Occurrence	42.675	-112.5819	160070036	N/A	41
