Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
BA   1	Indian Creek	44.9953	-116.8022	160030058	N/A	1
BA   2	Unnamed location	44.9764	-116.8258	160030060	N/A	143
BA   3	Lucky Strike Mine	44.9761	-116.8186	160030092	N/A	2
BA   4	Rebound	44.9003	-116.6247	160030123	N/A	3
BA   5	Black Jack Nos. 1 & 2	44.8922	-116.6447	160030102	N/A	144
BA   6	North Hornet Mine	44.8914	-116.6403	160030065	W012780	4
BA   7	Summit Placers	44.8792	-116.6281	160030063	N/A	6
BA   8	Inspiration Barite Deposit (Council Barite)	44.8881	-116.5711	160030080	D006774	141
BA   9	Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)	44.8756	-116.5939	160870010	W012872	5
BA  10	Red Iron	44.8536	-116.6031	160030064	N/A	7
BA  38	Goodrich Creek Canyon Prospect	44.7136	-116.6097	160030091	W012952	24
BA  88	Lost Lake Mine	44.9528	-116.4453	160030083	N/A	167
BA  89	Galena Mine	44.9294	-116.4678	160030101	N/A	145
BA  90	Anderson Group	44.9244	-116.4722	160030076	N/A	146
BA  91	Crane Creek	44.9253	-116.4653	160030079	N/A	147
BA  92	Bear Creek	44.9097	-116.4147	160030047	N/A	148
BA  93	Chipman	44.8978	-116.4136	160030049	N/A	149
BA  94	Corrieg & Telluride	44.8903	-116.4322	160030050	N/A	150
BA  95	Kearns	44.8853	-116.4053	160030051	N/A	9
BA  96	Legal Tender	44.8775	-116.4264	160030052	N/A	151
BA  97	Crescent	44.8739	-116.4131	160030048	N/A	8
BA  98	Oregon	44.8731	-116.4056	160030053	N/A	152
BA  99	Jackley	44.8642	-116.4203	160030054	N/A	153
BA 101	Manganese Mtns. (New Meadows Manganese Deposit)	44.9206	-116.32	160030122	D006775	12
BA 102	Rose Marie Prospect	44.9056	-116.3172	160030116	W028023	11
BA 103	Vick Creek	44.9028	-116.3222	160030158	N/A	168
BA 104	Burnt Rock Prospect (Orville Manley)	44.8778	-116.3192	160030118	W012763	10
BA 105	Ruby Placer (Victory Placer)	44.9736	-116.1733	N/A	N/A	191
BA 106	Rock Flat Placer (Ruby; Boise)	44.9367	-116.1678	160030061	W028018	13
BA 113	Granite Queen Property	44.7247	-116.2597	160030086	D006776	23
BA 114	Black Horse Group	44.6553	-116.2739	N/A	N/A	178
BA 115	Stite's Prospect (Acorn Claim)	44.6556	-116.2678	160030077	W012786	22
BA 116	Mica Queen Mine	44.6533	-116.2483	160030078	W012779	21
BA 117	Rinehart Group	44.6564	-116.2356	N/A	N/A	179
BA 123	No Name (Van Wych Lookout; Vanwyck Lookout; Jones and Morrell)	44.525	-116.1653	160850141	N/A	96
BA 127	Lucky Star Mine	44.6425	-116.5597	160030121	N/A	157
BA 128	Indian Valley Diatomite Occurrence	44.5758	-116.4753	160030075	W026782	94
GR 226	Rankin-General Mining Co.	45.2597	-116.5431	160030115	N/A	95
GR 227	Bald Eagle Mine (Carbonate Hill Area Prospect)	45.2583	-116.5778	160030023	W012792	94
GR 229	Stevens Saddle Prospect	45.2489	-116.5722	160030147	N/A	93
GR 231	Mayflower Group	45.2478	-116.5111	160030142	N/A	98
GR 234	Monument Peak	45.2344	-116.5608	160030144	N/A	96
GR 235	Holbrook Saddle Prospect (Holbrook)	45.2358	-116.5153	160030143	N/A	99
GR 238	Black Leopard Mine	45.2156	-116.4492	160030105	N/A	103
GR 239	Cliff Prospect (Gaarden Mine)	45.2458	-116.6617	160030020	W012794	88
GR 240	Red Ledge Mine	45.2286	-116.6692	160030096	W012803	89
GR 242	Thomas Heady Prospect (Heady Prospect)	45.2083	-116.6536	160030029	W012934	91
GR 243	Iron Spring Prospect (Iron Springs Consolidated Co.)	45.2178	-116.5158	N/A	N/A	179
GR 244	Pactolian Gulch Prospect	45.2078	-116.5389	160030145	N/A	100
GR 245	Curren Mountain Prospect	45.2064	-116.5142	160030140	N/A	102
GR 246	Satan Lake Prospect	45.1978	-116.5472	160030146	N/A	101
GR 248	Maid of Erin Mine (Black Lady)	45.1914	-116.5544	160030141	N/A	105
GR 249	Black Lake Mine (Idaho Gold Coin; Summit Group)	45.1867	-116.5681	160030027	W012959	106
GR 251	Victory Tungsten	45.1719	-116.5819	160030100	N/A	107
GR 252	Panama Pacific Claims Prospect (Victoria)	45.1839	-116.6364	160030013	W012971	111
GR 254	Lower Devils Hollow Prospect	45.1775	-116.6258	160030134	N/A	113
GR 255	Peacock Mine	45.1694	-116.6508	160030009	W012972	116
GR 256	South Peacock Mine	45.1661	-116.6492	160030009	W012805	117
GR 257	Devils Hollow Prospect	45.1667	-116.6497	160030129	N/A	118
GR 259	Cleveland Fraction	45.1708	-116.6083	160030119	N/A	110
GR 260	Ritchie Gulch Adit	45.1647	-116.6311	160030138	N/A	114
GR 261	Patton Prospect	45.1653	-116.5908	160030003	W012800	108
GR 262	Pepperbox	45.1608	-116.6153	160030137	FS00557	109
GR 263	Virginus Claim	45.1564	-116.6039	160030139	N/A	124
GR 264	Tussel Adit	45.1631	-116.6717	N/A	FS00560	119
GR 265	Tussel Mine	45.1592	-116.6578	160030015	W012806	120
GR 266	Russell Mine	45.1519	-116.6953	160030097	N/A	121
GR 268	Dry Gulch Prospect	45.1417	-116.7089	160030131	N/A	122
GR 270	Allison Creek Occurrence (Allison Gulch Prospect)	45.1308	-116.7044	160030127	W012875	123
GR 271	O'Leary's Prospect	45.1547	-116.6267	160030019	W012970	125
GR 272	Chieftain Claim	45.1525	-116.6314	160030128	N/A	126
GR 273	California Prospect	45.1497	-116.6175	160030030	W012962	128
GR 274	Humboldt Prospect	45.1453	-116.6314	160030021	W012968	129
GR 275	Douglass Prospect	45.1453	-116.6481	160030016	W012964	131
GR 276	Glasgow-Green Prospect	45.1453	-116.6378	160030017	W012967	130
GR 277	White Monument Mine	45.1422	-116.6442	160030018	W012974	132
GR 279	Lucky Strike Prospect (Walter James)	45.1372	-116.6178	160030025	W012969	138
GR 280	Alaska Mine (Alaska Tungsten Mine)	45.1331	-116.6472	160030001	W012789	134
GR 281	Lockwood Mine	45.1308	-116.6539	160030002	W012797	133
GR 282	Queen Mine	45.1278	-116.645	160030006	W012973	135
GR 283	Blue Jacket Mine (Bucket)	45.1264	-116.6394	160030005	W012960	136
GR 284	Calumet Prospect	45.1286	-116.6319	160030010	W012963	140
GR 285	Helena Mine	45.1247	-116.6408	160030007	W012795	137
GR 286	Arkansas Mine (Arkansas-Decorah; Marguerite; Decorah)	45.1244	-116.6317	160030004	W012790	139
GR 289	Twin Lakes Prospect	45.1525	-116.5114	160030148	N/A	146
GR 290	Carrick Diggings Placer Mine (Carrick Digging)	45.1136	-116.5614	160030040	W012793	145
GR 291	Placer Basin Mine (Placer Mine)	45.1158	-116.6156	160030032	W012801	143
GR 293	Horse Mountain Occurrence	45.1156	-116.6606	160030022	W012906	141
GR 294	Transfer Point Occurrence	45.1117	-116.6514	160030031	W012935	142
GR 295	Mann Creek Occurrence	45.1081	-116.6842	160030155	W012912	177
GR 296	Badger Mine	45.1078	-116.6775	160030026	W012957	178
GR 297	Axe	45.1039	-116.6881	160030125	N/A	176
GR 298	Copper Cliff Mine (Silver King)	45.1003	-116.6764	160030012	W012887	180
GR 299	Hathaway Gulch Occurrence	45.0989	-116.6872	160030154	1	175
GR 300	Frenchy's Mine (Trenchy's; Great Eastern; John D.; Henry Ford; Rocky Fellow)	45.0953	-116.6242	160030041	W012966	184
GR 301	McGrath Prospect	45.0831	-116.6475	160030011	N/A	182
GR 303	Cable Line Occurrence Prospect	45.1078	-116.7497	160030151	W012882	168
GR 304	Hibble Gulch Prospect (Section 6 Copper Prospect)	45.1014	-116.7508	160030133	W012888	169
GR 305	Eckels Creek Stock Occurrence	45.0986	-116.7292	160030152	W012891	170
GR 308	Wilford Prospect (National Group)	45.0914	-116.6994	160030038	W012975	173
GR 309	1905 Mine	45.0908	-116.7069	160030039	W012799	172
GR 310	Red Wing Prospect	45.0883	-116.7119	160030153	W012924	171
GR 311	Lynes Occurrence (Paducah)	45.0878	-116.7375	160030099	W012911	167
GR 312	Lime Peak Prospect (Lime Peak Group)	45.0872	-116.7781	160030034	W012796	163
GR 313	Golden Star Claim	45.0844	-116.7656	160030132	N/A	162
GR 316	Eureka Group	45.0767	-116.7425	160030130	N/A	166
GR 317	Windy Ridge Occurrence	45.0694	-116.7481	160030088	W012940	165
GR 318	Inca Mine	45.0656	-116.7867	160030084	N/A	159
GR 319	Smith Claims (Crackerjack Mine)	45.0617	-116.7747	160030135	N/A	158
GR 321	River Queen Mine	45.0525	-116.8036	160030035	W012804	157
GR 322	Victory 1 & 2	45.0492	-116.8056	160030087	FS00555	156
GR 324	Ants Creek Prospect (Antz Creek Mine)	45.0453	-116.8083	160030037	W028096	152
GR 325	Azurite Mine	45.0422	-116.7931	160030036	W012791	153
GR 326	Canyon View (Terry Group)	45.0414	-116.7803	160030124	N/A	154
GR 327	Copper Belt Mine	45.0275	-116.8214	160030090	D006600	151
GR 328	McCarty Prospect (McCarthy)	45.015	-116.8414	160030044	W012798	149
GR 330	A. J. Cole Property	45.01	-116.8358	160030085	N/A	190
GR 332	Axe	45.0503	-116.6731	160030150	N/A	181
GR 336	Clark Prospect (Garden Mine)	45.0267	-116.2281	160030046	W012886	186
GR 337	Thorn Creek Placers	45.0067	-116.1586	160030120	N/A	187
GR 338	Clark Mica Property	45.0028	-116.1517	160030103	N/A	188
