Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DR  45	Pine Creek Pass Coal Prospect	43.5717	-111.2186	160810063	W019243	41
DR  47	Pine Creek Phosphate Deposit	43.5561	-111.2894	160190066	W019300	78
DR  48	Limestone	43.5506	-111.2978	160190078	N/A	79
DR  54	Limestone Deposit	43.5239	-111.2031	160190088	W019321	82
DR  55	North Fork Rainy Creek Prospect	43.5144	-111.1964	160190068	W019282	83
DR  56	South Rainy Creek Phosphate Deposit	43.5019	-111.1647	160190067	W019307	84
DR  57	Feather Placer Claims	43.5197	-111.3372	N/A	N/A	N/A
DR  58	Dry Fork Limestone Deposit	43.5125	-111.2869	160190146	W019326	80
DR  59	Pine Creek Limestone Deposit	43.5061	-111.34	160190033	W019322	81
DR  60	Trench G Phosphate Occurrence	43.4692	-111.1492	160190089	W019264	85
DR  61	Palisades Creek Coal and Phosphate Deposit	43.4692	-111.0969	160190069	W019284	86
DR  62	Trench K Phosphate Occurrence	43.4572	-111.1144	160190110	W019262	87
DR  63	Petroleum	43.455	-111.1183	160190075	N/A	88
DR  64	Trench I Phosphate Occurrence	43.4375	-111.0875	160190090	W019261	89
DR  65	Palisades Creek Area Limestone-Dolomite Deposit	43.4122	-111.1622	160190077	W019324	90
DR  66	Upper Palisades Lake Limestone Deposit	43.4117	-111.1072	160190116	W019325	91
DR  67	Trench H Phosphate Occurrence	43.4014	-111.0769	160190091	W019263	92
DR  74	Snake River Area (White Fish)	43.6033	-111.5744	160190142	N/A	58
DR  75	Roy Coles Placer (Table Rock)	43.5972	-111.5739	160190080	W019289	59
DR  76	Meadow Creek-Sorenson No. 1 Oil Occurrence	43.5431	-111.6319	N/A	N/A	60
DR  77	Nitrate Occurrence	43.5325	-111.6975	160190092	N/A	63
DR  78	Meadow Creek-Call Dugway Occurrence	43.5328	-111.7022	160190057	W019270	62
DR  79	Pumice Deposit (Ammon Valley)	43.5067	-111.8256	160190128	W019272	66
DR  80	Pumice Deposit	43.5044	-111.8992	160190127	W019271	65
DR  81	Pumice, Inc., Mine	43.505	-111.9233	160190126	W019313	64
DR  82	Pumice Deposit (Snake River Valley)	43.4831	-111.9061	160190129	W019274	67
DR  83	Clay, Brick	43.4617	-111.9469	160190062	N/A	69
DR  84	Fan Claim (Snake River Valley Pumice Deposit)	43.4664	-111.8736	160190122	N/A	70
DR  85	Pumice Deposit (West of Ammon)	43.4814	-111.8289	160190130	W019273	68
DR  86	Brinson Coal Prospect (Miller Mine; Canyon Coal Mining)	43.4569	-111.7253	160190072	W019241	71
DR  87	Cloward Entry (Cloward Coal Mine)	43.4414	-111.7906	160190073	N/A	72
DR  88	Ammon Area Pumice Deposit	43.4142	-111.9258	160190141	W019316	73
DR  89	Pumice Deposit (Indian Siding Pit)	43.4075	-111.9589	160190131	W019275	74
DR  90	Idaho Falls Pumice Co. Deposit	43.3983	-111.9514	160190145	W019276	76
DR  91	Taylor and Henry Creek Pumice Deposit	43.3964	-111.9625	160190132	N/A	75
DR  92	Perlite	43.3783	-111.9803	160190076	N/A	77
DR  93	Conant Valley	43.4864	-111.4397	160190136	N/A	93
