Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DR 189	Portneuf Area Limestone Occurrence	43.0133	-111.8744	160290023	W019256	163
PO 192	Unnamed prospects	42.98	-112.0381	N/A	N/A	19
PO 224	Garden City Dolomite	42.7222	-112.0025	160050020	N/A	206
PR   1	Chesterfield Range Limestone Occurrence	42.9864	-111.9967	160290038	N/A	1
PR   2	Limestone Occurrence	42.9711	-111.9942	160290135	N/A	2
PR   3	Phosphate Occurrence	42.9836	-111.7786	160290144	N/A	11
PR   4	Grizzly Creek Phosphate Property (Grizzley Creek)	42.9547	-111.8033	160290058	W026172	12
PR   5	Graves Creek Phosphate Property	42.9353	-111.8581	160290057	W026176	6
PR   6	Fort Hall Indian Reservation Phosphate Bed	42.9422	-111.9458	160290143	W026091	3
PR   7	Portneuf Reservoir Phosphate Property	42.9394	-111.9331	160290049	W026177	4
PR   8	Rocky Canyon Phosphate Deposit	42.93	-111.9489	160290041	W026186	5
PR   9	Phosphate Deposit	42.8703	-111.8369	160290042	W026129	7
PR  10	Eighteen Mile Creek	42.8256	-111.8458	160290139	N/A	8
PR  11	Monroe Canyon	42.7733	-111.8042	160290140	N/A	9
PR  12	Unnamed location	42.7639	-111.9764	N/A	N/A	10
PR  13	Crater Mountain	42.9825	-111.6178	160290061	N/A	23
PR  14	Phosphate Deposit (Monsanto Lease)	42.9628	-111.6861	160290054	W026133	13
PR  15	Bear Creek Phosphate Occurrence	42.94	-111.7125	160290145	N/A	14
PR  16	Phosphate Deposi	42.9517	-111.5581	160290132	W026134	24
PR  17	Blackfoot Reservoir Phosphate Occurrence	42.9392	-111.5992	160290146	N/A	25
PR  18	Phosphate Deposit	42.8972	-111.7122	160290045	W026130	15
PR  19	Phosphate Deposit	42.8728	-111.6939	160290108	W026132	235
PR  20	Scoria Occurrence	42.8475	-111.6342	160290153	N/A	16
PR  21	Cinder Occurrence	42.8244	-111.6853	160290133	N/A	21
PR  22	Broken Crater	42.8244	-111.6594	160290048	N/A	17
PR  23	Unnamed location	42.8058	-111.685	160290134	N/A	18
PR  24	China Hat	42.8072	-111.6097	160290059	N/A	20
PR  27	Limestone Occurrence	42.9933	-111.4428	160290136	N/A	30
