Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
PO   6	Snake River Placers (Goose Creek Placer Deposits)	42.555	-113.78	160310037	W013176	114
PO   7	Burley Clay Mine	42.5403	-113.8097	160310243	W013244	115
PO  11	Marble Quarry (Declo)	42.5214	-113.5611	160310290	W013240	111
PO  12	Clay Deposit	42.5117	-113.5761	N/A	W013166	112
PO  13	Bill Anderson Kyanite Property	42.4872	-113.5458	160310073	W013245	130
PO  15	Paddy	42.4831	-113.4886	160310144	N/A	129
PO  16	Old Dominion Mine	42.4692	-113.5294	160310045	W013251	131
PO  18	Marble Quarry (Albion; Idaho Stone and Lime Co.)	42.4458	-113.615	160310049	W013241	127
PO  19	Unnamed prospects	42.4006	-113.6272	160310046	N/A	126
PO  21	Marble Quarry	42.3642	-113.7086	160310083	W013242	125
PO  22	Unnamed prospect	42.3186	-113.7706	160310146	N/A	124
PO  23	Unnamed mine	42.3108	-113.7714	160310222	N/A	123
PO  24	Unnamed prospects	42.3117	-113.7294	160310062	N/A	122
PO  25	Boulder Creek Prospect (Boulder Mine)	42.3011	-113.7025	160310058	W013254	121
PO  26	Harris and Hume Prospect	42.3125	-113.6086	160310036	W013250	132
PO  27	Golden Eagle Mine	42.305	-113.6078	160310035	W013249	133
PO  28	Albion Group Mine (Badger; Alice; Flagstaff; Independence)	42.3083	-113.5867	160310032	W013248	134
PO  29	Big Bertha Group	42.3158	-113.5811	160310030	W013247	135
PO  30	Connor Prospect	42.3158	-113.5628	160310039	N/A	136
PO  32	Melcher Mine (Cumora Mine)	42.3067	-113.555	160310141	W013246	138
PO  33	Excelsior	42.3044	-113.57	N/A	FS00208	139
PO  34	Giant Lode	42.2992	-113.5725	160310084	N/A	140
PO  37	Pumicite Occurrence	42.2428	-113.8119	160310081	W013163	118
PO  38	Gray Copper Prospect (Myers Mine)	42.2531	-113.7158	160310063	W013253	119
PO  41	Unnamed prospect	42.1892	-113.7883	160310153	N/A	200
PO  43	Marble Quarry	42.1744	-113.765	160310090	W013243	199
PO  44	Kenny Mine (Kinney Mine)	42.1753	-113.7608	160310140	N/A	198
PO  45	Posey No. 5	42.1703	-113.7592	160310072	N/A	197
PO  46	Last Chance Group Prospect	42.1947	-113.6389	160310070	W013252	191
PO  49	Unnamed prospect	42.2036	-113.4417	160310143	N/A	187
PO  50	Unnamed prospect	42.1297	-113.8519	160310147	N/A	201
PO  57	Unnamed location	42.0717	-113.9831	160310024	N/A	203
PO  58	Unnamed location	42.0383	-113.9631	160310165	N/A	207
PO  59	Unnamed location	42.0242	-113.9825	160310006	N/A	204
PO  60	South Mountain Pegmatites	42.035	-113.8386	160310093	W013170	202
PO  63	Idaho Queen #1	42.0953	-113.6986	160310066	N/A	192
PO  65	City of Rooks Uranium Deposit (Brooks Prospect; Wicked Sisters Claim)	42.0775	-113.7153	160310065	W013147	194
PO  66	City of Rocks Uranium Placer Deposit	42.0769	-113.69	160310089	W013174	193
PO  69	City of Rocks Mine	42.0475	-113.7347	160310088	W013172	196
PO  71	White Mica Mining and Milling	42.0489	-113.7117	160310110	N/A	195
PO  77	Pumicite Occurrence	42.0253	-113.5958	160310161	W013162	190
PO  80	Pumicite Occurrence	42.0889	-113.4972	160310164	W013160	189
PO  85	Idaho Placer	42.6728	-113.4342	160310155	W013182	109
PO  87	Snake River Placer	42.6822	-113.3956	160130305	W013184	107
PO  94	Bancroft Placer (Raft River Placer)	42.6258	-113.2769	160310038	W013191	100
PO  95	Spring Bar Placer (Raft River Placer)	42.6164	-113.2544	160310038	W013192	99
PO  96	Durango Placer (Raft River Placer)	42.6139	-113.2481	160310038	W013193	98
PO  97	Sweetzer Farm Placer (Raft River Placer)	42.6114	-113.2411	160310038	W013194	97
PO  98	G. W. Lish Farm Placer (Raft River Placer)	42.6256	-113.2264	160310038	W013195	96
PO 163	Unnamed prospect	42.3989	-113.1014	160310167	N/A	141
PO 164	Pumicite Pit	42.2275	-113.0692	160310163	W013161	186
PO 165	War Eagle Peak Prospect	42.11	-113.1031	160310020	W013263	185
PO 166	Unnamed prospects	42.1047	-113.0811	160310055	N/A	184
PO 167	East Dry Fork Prospect	42.1031	-113.0711	160310021	W013262	183
PO 168	Silver Hills Mine (Joveon; Busy Bee)	42.095	-113.0728	160310054	W013255	182
PO 169	Ruth Mine (Silver Hills Mining Co.; Deer Ridge Group; Valley View)	42.0978	-113.0458	160310053	W013256	174
PO 170	Mineral Gulch Prospect	42.0931	-113.0525	160310087	N/A	181
PO 171	Mineral Gulch Prospect	42.0936	-113.0394	160310052	W013261	173
PO 172	Mineral Gulch Prospect	42.0956	-113.0317	160310085	W013260	172
PO 173	Miller Cinnabar (Highland; Virmyra Gold)	42.0847	-113.0508	160310022	M055217	180
PO 175	Black Pine Mine (Juniper Hill Mercury; Thornton Mine; Tolman Mine; Tallman Mine; Duvall Mine; Virginia Group; Virmyra Gold Mining Co.)	42.0806	-113.0453	160310050	N/A	178
PO 176	Hazel Pine Mine (Gem Group; Virginia)	42.0817	-113.0292	160310051	W013257	175
PO 177	Valentine Mine (Ackerill; Anderson Property; Highland Mines)	42.0761	-113.0342	160310044	W013258	176
TF  91	Unnamed prospect	42.3819	-114.1153	160310145	N/A	44
TF  98	Pumicite Deposit	42.2731	-114.2567	160310079	W012812	60
TF  99	Phosphate Deposit	42.1217	-114.195	160310149	N/A	72
TF 101	Lignite Prospect	42.1439	-114.0872	160310042	N/A	46
TF 102	Grant Prospect	42.1511	-114.0783	160310002	N/A	45
TF 103	Barrett Mine	42.1517	-114.0286	160310003	N/A	51
TF 104	Lignite Prospect	42.1328	-114.0958	160310043	N/A	47
TF 105	Eliason Prospect	42.1328	-114.0853	160310107	N/A	48
TF 106	Smith Prospect	42.1325	-114.0769	160310108	N/A	49
TF 107	Pumicite Deposit	42.1208	-114.1011	160310069	W012810	50
TF 108	Uranium Deposit	42.1047	-114.0061	160310071	W012836	52
TF 109	Lignite Prospect	42.0511	-114.1039	N/A	N/A	59
TF 110	Lignite Prospect	42.0492	-114.0914	160310077	N/A	58
TF 111	Lignite Deposit	42.0444	-114.0783	160310076	N/A	57
TF 112	Lignite Deposit	42.04	-114.0706	160310075	N/A	56
TF 113	Lignite Prospect	42.0364	-114.0256	160310074	N/A	53
TF 114	Lang Prospect	42.0122	-114.0886	160310108	N/A	55
TF 115	Worthington Mine	42.0119	-114.0717	160310004	N/A	54
