Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HM   7	Stocking Meadows Occurrence	46.9122	-115.9172	160350077	W013458	5
HM   8	Meadows Creek Placer	46.9031	-115.8881	160350088	W013052	6
HM  10	Boehls Butte Kyanite Prospect	46.8708	-115.8664	N/A	W007475	13
HM  11	Smith Ridge Kyanite Deposit	46.8661	-115.8517	160350125	W027149	7
HM  12	Boehls	46.8697	-115.7961	160350001	N/A	8
HM  22	Chamberlain Creek Placer	46.9264	-115.1433	160350030	W013036	16
HM  23	Meadow Creek Placer	46.8958	-115.1681	160350003	N/A	18
HM  25	Long Creek Placer	46.8906	-115.0519	160350004	W013050	20
HM  26	Cedar Camp Area	46.8781	-115.0822	160350108	N/A	19
HM  28	Birch Mountain Silica Occurrence (Birch Ridge; Birch Mountain Pegmatite)	46.8622	-115.1369	160350109	W028035	22
HM  29	Cedars-Kelly Creek Sandstone Occurrence	46.8472	-115.0878	160350127	W028031	24
HM  30	Cedars-Kelly Creek Sandstone Occurrence	46.8347	-115.0886	160350128	W028032	25
HM  31	Hidden Creek Placer	46.8453	-115.2017	160350126	W013047	23
HM  33	Clearwater River Placer [North Fork at Fix Creek]	46.8153	-115.1989	160350129	W013039	26
HM  36	Upper Osier Creek Placer (Golden Goose)	46.8031	-115.0925	N/A	W013056	27
HM  37	Cedars-Kelly Creek Sand Occurrence	46.7931	-115.0933	160350130	W028029	28
HM  39	Bull Moose Placer (First Chance & Last Chance)	46.7853	-115.1222	160350132	N/A	32
HM  40	Deadwood Creek Placer (Dead Wood)	46.7822	-115.1458	160350006	W013127	31
HM  41	Moose Mountain Prospect	46.7833	-115.1667	160350007	W013135	30
HM  42	Cedars-Kelly Creek Sandstone Occurrence	46.7836	-115.1069	160350133	W028033	33
HM  43	Independence Creek Placer	46.7772	-115.1064	160350008	N/A	34
HM  44	Cedars-Kelly Creek Sand Occurrence	46.7739	-115.0925	160350134	W028028	35
HM  49	Cedars-Kelly Creek Sandstone Occurrence	46.7661	-115.0919	160350135	W028030	36
HM  50	Osier Creek Placer (Alma)	46.7617	-115.0661	160350009	W013136	37
HM  56	Moose Creek Placer (Little Moose Creek)	46.7342	-115.0689	160350137	W013053	40
