Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH  85	Red Jacket Mine	44.9919	-114.5342	160590344	W013906	81
CH  86	Unnamed prospect	44.9944	-114.5656	N/A	N/A	N/A
CH  87	Yellowjacket Mine	44.9875	-114.5194	160590343	W013905	95
CH  88	Yellow Jacket Placers	44.9853	-114.5214	160590341	N/A	96
CH  89	Upper Yellowjacket	44.9839	-114.5242	160590115	N/A	94
CH  90	Cracker Jack Prospect (Crackerjack)	44.9758	-114.5656	160590846	N/A	N/A
CH  91	Mammoth Mine (Hisey; Ohio)	44.9742	-114.5611	160590352	W013913	90
CH  92	Daniel Prospect	44.9775	-114.5525	160590346	W013908	84
CH  93	Columbia Mine (New Columbia; Columbia-Centennial; Silver Moon)	44.9783	-114.5458	160590349	W013911	83
CH  94	Liberty Mine	44.9772	-114.5433	160590362	W013916	82
CH  95	Lincoln Mine (Steen Group)	44.9778	-114.5394	7	W013909	85
CH  96	Continental Mine (Steen Group)	44.9761	-114.5381	160590345	W013907	86
CH  97	Steen Mine (Steen Group; Steen Family; Lincoln; Liberty; Continental; Broken Hill; Red Bird)	44.9767	-114.5356	160590347	FS00598	87
CH  98	Merritt Mine			160590360	N/A	98
CH  99	Broken Hill Mine (Steen Group)	44.9747	-114.5403	N/A	W014106	91
CH 100	Bryan Mine (Brough Property)	44.9747	-114.535	16	W013914	88
CH 101	Snowstorm Prospects (Brough Property)	44.9739	-114.5314	160590353	W013915	89
CH 102	White Rabbit Prospect	44.9706	-114.5436	160590348	W013910	92
CH 103	Tin Cup Mine	44.9675	-114.5325	160590351	W013912	93
CH 104	Grubstake Mine	44.9642	-114.5303	160590357	N/A	808
CH 105	Topham Placer	44.9586	-114.5489	N/A	N/A	N/A
CH 106	High Bar Placer	44.9544	-114.5583	160590358	N/A	98
CH 107	Comeback Mine (Lead Star; Ridge)	44.9819	-114.5014	160590342	W013468	101
CH 108	Slaughterhouse	44.9781	-114.5028	160590363	N/A	98
CH 109	Gem (Yellowjacket Group)	44.9742	-114.5036	160590596	FS00604	97
CH 110	Copper Glance Mine (Idaho)	44.9708	-114.5025	160590350	W013469	99
CH 111	Diamond Queen Mine (Gold Bug)	44.9622	-114.4978	160590355	W013470	100
CH 112	Gladstone Gulch (Yellowjacket Group)	44.9778	-114.4942	160590597	FS00602	102
CH 113	Yellowjacket Group (Blue Jacket; Tramway)	44.9806	-114.4758	160590599	FS00601	104
CH 113a	 (Yellowjacket Group)			3	FS00600	104
CH 114	Pitkin (Yellowjacket Group)	44.9758	-114.4875	160590598	FS00599	103
