"Commod","Commodity","CommodityName"
"A01","abr","abrasives"
"A02","Sb","antimony"
"A03","As","arsenic"
"B01","bar","barite"
"B02","Ba","barium"
"B03","Be","beryllium"
"B04","Bi","bismuth"
"B05","bk-sd","black sand"
"C01","Cd","cadmium"
"C02","cal","calcite"
"C03","Ca","calcium"
"C04","Ce","cerium"
"C05","cin","cinders (volcanic)"
"C06","cly","clay"
"C07","coal","coal"
"C08","Co","cobalt"
"C09","Cu","copper"
"C10","cor","corundum"
"D01","dit","diatomaceous earth"
"D02","dol","dolomite"
"E01","eva","evaporites"
"F01","fld","feldspar"
"F02","F","fluorite"
"G01","gar","garnet"
"G02","gas","gas"
"G03","gem","gemstones"
"G04","Au","gold"
"G05","graph","graphite"
"G06","gyp","gypsum"
"I01","Fe","iron"
"K01","kyn","Kyanite"
"L01","Pb","lead"
"L02","lst","limestone"
"M01","Mg","magnesium"
"M02","Mn","manganese"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
