"Countyname","100kQuad"
"Ada","BOISE"
"Ada","MOUNTAIN HOME"
"Ada","MURPHY"
"Adams","McCALL"
"Adams","RIGGINS"
"Adams","WEISER"
"Bannock","BLACKFOOT"
"Bannock","MALAD CITY"
"Bannock","POCATELLO"
"Bannock","PRESTON"
"Bannock","SODA SPRINGS"
"Bear Lake","LOGAN"
"Bear Lake","PRESTON"
"Bear Lake","SODA SPRINGS"
"Benewah","ROSALIA"
"Benewah","ST. MARIES"
"Bingham","BLACKFOOT"
"Bingham","CIRCULAR BUTTE"
"Bingham","CRATERS OF THE MOON"
"Bingham","LAKE WALCOTT"
"Bingham","PALISADES"
"Bingham","POCATELLO"
"Blaine","ARCO"
"Blaine","CRATERS OF THE MOON"
"Blaine","FAIRFIELD"
"Blaine","LAKE WALCOTT"
"Blaine","SUN VALLEY"
"Boise","BOISE"
"Boise","DEADWOOD RIVER"
"Boise","IDAHO CITY"
"Boise","WEISER"
"Bonner","BONNERS FERRY"
"Bonner","CHEWELAH"
"Bonner","COLVILLE"
"Bonner","COEUR D'ALENE"
"Bonner","SANDPOINT"
"Bonneville","BLACKFOOT"
"Bonneville","CIRCULAR BUTTE"
"Bonneville","PALISADES"
"Bonneville","REXBURG"
"Boundary","BONNERS FERRY"
"Boundary","COLVILLE"
"Butte","ARCO"
"Butte","BLACKFOOT"
"Butte","BORAH PEAK"
"Butte","CIRCULAR BUTTE"
"Butte","CRATERS OF THE MOON"
"Butte","DUBOIS"
"Camas","FAIRFIELD"
"Camas","IDAHO CITY"
"Camas","MOUNTAIN HOME"
"Camas","SUN VALLEY"
"Canyon","BOISE"
"Canyon","MURPHY"
"Canyon","VALE"
"Caribou","PALISADES"
"Caribou","POCATELLO"
"Caribou","PRESTON"
"Caribou","SODA SPRINGS"
"Cassia","GROUSE CREEK"
"Cassia","JACKPOT"
"Cassia","LAKE WALCOTT"
"Cassia","MALAD CITY"
"Cassia","OAKLEY"
"Cassia","ROGERSON"
"Clark","ASHTON"
"Clark","CIRCULAR BUTTE"
"Clark","DUBOIS"
"Clark","HEBGEN LAKE"
"Clark","LIMA"
"Clearwater","HEADQUARTERS"
"Clearwater","KOOSKIA"
"Clearwater","MISSOULA WEST"
"Clearwater","OROFINO"
"Clearwater","POTLATCH"
"Custer","ARCO"
"Custer","BORAH PEAK"
"Custer","CHALLIS"
"Custer","DEADWOOD RIVER"
"Custer","LEADORE"
"Custer","PISTOL CREEK"
"Custer","SUN VALLEY"
"Custer","WHITE CLOUD PEAKS"
"Elmore","GLENNS FERRY"
"Elmore","IDAHO CITY"
"Elmore","MOUNTAIN HOME"
"Elmore","MURPHY"
"Elmore","SUN VALLEY"
"Franklin","LOGAN"
"Franklin","MALAD CITY"
"Franklin","PRESTON"
"Fremont","ASHTON"
"Fremont","CIRCULAR BUTTE"
"Fremont","DUBOIS"
"Fremont","HEBGEN LAKE"
"Fremont","REXBURG"
"Gem","BOISE"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
