"TableName","FieldName","FieldType","FieldLength","FieldDescription"
"0_A_Last_Update","ID","Long",4,"Unique ID for this table."
"0_A_Last_Update","UpdateDate","Date/Time",8,"Date of last successful update to the web, download bundle, feature class (note type/projection), .mdb file, KMZ, creation of new DataDictionary, or support docs/metadata."
"0_A_Last_Update","Type","Text",255,"Web or Download."
"0_A_Last_Update","Database_DateStamp","Text",255,"Datestamp of working database used for update."
"0_A_Last_Update","Notes","Memo",0,"Details about update. Note names of authors to assist future updates. Also track USGGDPP updates here. This info is to facilitate knowing cut-off dates for harvesting data/new updates."
"0_A_Last_Update","Initials","Text",255,"Initials of updater."
"0_Names","SequenceNumber","Text",10,"Primary Key for Access: For the main entry for each property, the SequenceNumber is the same as the Property Number."
"0_Names","SeparatedNames_Deposit_FieldName","Text",255,"A single mine name. This is the primary name if the mine has only one name; otherwise, each name is listed individually in this field, one name per line."
"0_Names","NameKey","Text",50,"Made of the SequenceNumber, a dash ( - ), and a five-digit number."
"0_Names","R_Index2_Deposit_FieldName","Text",180,"The complete name field for a property. If the mine has a single name, this field will contain only that name; if it has many names, all the names will be listed here."
"0_Names","Metric","Long",4,"Order of Appearance of Names from Original Database. Newly discovered alias names will be assigned a consecutively higher Metric value."
"0_Names","AutoNumber","Long",4,"The index for this table."
"0_Names","Initials","Text",255,"Initials of researcher that located this alias."
"0_Z-updates","KeyField","Long",4,"Index to this table."
"0_Z-updates","RecordID","Text",50," For the main entry for each property, the RecordID is the same as the SequenceNumber."
"0_Z-updates","MapLoc","Text",50,"The number used to plot the property on a map.  Usually the same as the RecordID."
"0_Z-updates","Property Name","Text",50,"The name of the property."
"0_Z-updates","LastUpdated","Date/Time",8,"The date the record was updated."
"0_Z-updates","Action taken","Text",50,"What field was updated and what was done to it (brief explanation)."
"0_Z-updates","Notes","Memo",0,"Detailed explanation of what was updated and why."
"0_Z-updates","Notes2","Memo",0,"Additional notes, if needed."
"0READ_ME_20160907","ID","Long",4,"Unique ID for this table."
"0READ_ME_20160907","REMEMBER","Memo",0,"Status of updates for PropertyFileScans from student efforts."
"100k24k","24kQuad","Text",50,"Name of the USGS 1:24,000 Scale Quad Name.  This was taken from the USGS database for Idaho and referenced against IDWR 1:24,000 Quad index.  Names were changed based on the name of the USGS quad. Some common names were spelled out (ex. Mtn to Mountain)."
"100k24k","100kQuad","Text",50,"Name of the USGS 1:100,000 Scale Quad Name.  This was taken from the USGS database for Idaho and referenced against IDWR 1:100,000 Quad index.  Names were changed based on the name of the USGS quad. Some common names were spelled out (ex. Mtn to Mountain)"
"100quad","100kQuad","Text",50,"Name of the USGS 1:100,000 Scale Quad Name.  This was taken from the USGS database for Idaho and referenced against IDWR 1:100,000 Quad index.  Names were changed based on the name of the USGS quad. Some common names were spelled out (ex. Mtn to Mountain)"
"1to24kMaps","24kQuad","Text",255,"Name of the USGS 1:24,000 Scale Quad Name.  This was taken from the USGS database for Idaho and referenced against IDWR 1:24,000 Quad index.  Names were changed based on the name of the USGS quad. Some common names were spelled out (ex. Mtn to Mountain)."
"Commodities","Sequence Number","Text",255,"Primary Key for Access: For the main entry for each property, the SequenceNumber is the same as the Property Number."
"Commodities","Commodity","Text",255,"Element or commodity present at the property.  For index of commodity abreviations see Commodity Index table."
"CommodityIndex","Commod","Text",50,"Index for this table.  This Index is derived from the first letter of CommodityName + two digit number derived from alphabetical order.  To add additional:  use the first letter of the CommodityName + the next 2-digit number for that letter."
"CommodityIndex","Commodity","Text",50,"Indexed abbreviation of the CommodityName for display in the property listings.  Links to “Commodities.Commodity.”  Column CommodityName translates the commodity abbreviation for the actual commodity."
"CommodityIndex","CommodityName","Text",50,"The spelled-out name of the commodity."
"County","Countyname","Text",50,"County Names of Idaho"
"County100k","Countyname","Text",255,"County Names of Idaho (Idaho Counties in ALL CAPS)."
"County100k","100kQuad","Text",255,"Name of the USGS 1:100,000 Scale Quad Name.  This was taken from the USGS database for Idaho and referenced against IDWR 1:100,000 Quad index. Names were changed based on the name of the USGS quad. Some common names were spelled out (ex. Mtn to Mountain)."
"county24k","Countyname","Text",50,"County Names of Idaho  (Idaho Counties in ALL CAPS)."
"county24k","24kQuad","Text",50,"Name of the USGS 1:24,000 Scale Quad Name.  This was taken from the USGS database for Idaho and referenced against IDWR 1:24,000 Quad index.  Names were changed based on the name of the USGS quad. Some common names were spelled out (ex. Mtn to Mountain)."
"DataDictionary","TableName","Text",255,"Name of table."
"DataDictionary","FieldName","Text",255,"Name of field."
"DataDictionary","FieldType","Text",255,"Datatype of field."
"DataDictionary","FieldLength","Double",8,"Data length of field."
"DataDictionary","FieldDescription","Text",255,"Field description"
"ForestServiceAgency","FSAgencyName","Text",255,"Name of U.S. Forest or operational division"
"ForestServiceAgency","kEY","Long",4,"Index for this table."
"GDB_ColumnInfo","TableName","Text",255,"This table and field generated for geodatabase functionality. No other description available"
"GDB_ColumnInfo","FieldName","Text",255,"This table and field generated for geodatabase functionality. No other description available"
"GDB_ColumnInfo","columnFlags","Long",4,"This table and field generated for geodatabase functionality. No other description available"
"GDB_GeomColumns","TableName","Text",255,"This table and field generated for geodatabase functionality. No other description available"
"GDB_GeomColumns","FieldName","Text",255,"This table and field generated for geodatabase functionality. No other description available"
"GDB_GeomColumns","ShapeType","Long",4,"This table and field generated for geodatabase functionality. No other description available"
"GDB_GeomColumns","ExtentLeft","Double",8,"This table and field generated for geodatabase functionality. No other description available"
