"Problem","DateModified","Initials","SequenceNumber","NEWLOC","MAPLOC","DEPOSIT","Latitude","Longitude","Location_type","DMSLAT","DMSLONG","24kquad","100kQuad","CountyName","LandOwner","FSAgencyName","OrangeNum","1x2degreeQuadrangle","lon_WGS84","lat_WGS84","TOWNSHIP","RANGE","SECTION","QSECTION","OBJECTID","ZIP_CODE","Mining_District","Hard_File"
,,,"AS0001","AS0001","   1","Thimbleberry Iron Prospect (Unnamed Iron Prospect)",44.6733,-111.3803,0,444024,1112249,"TARGHEE PEAK","HEBGEN LAKE ","FREMONT","U.S. Bureau of Land Management",,,"AS",-111.380988083,44.6731600048,"016N","043E",33,"NE",1,83429,"","NO"
,,,"AS0002","AS0002","   2","Tick Heaven Talc Prospect",44.66778,-111.36889,3,444004,1112208,"TARGHEE PASS","HEBGEN LAKE ","FREMONT","U.S. Forest Service","Targhee NF",,"AS",-111.369577688,44.6676401102,"016N","043E",34,"SW",2,83429,"","NO"
,,,"AS0003","AS0003","   3","Idaho Driftwood",44.64333,-111.50389,3,443836,1113014,"HIDDEN LAKE BENCH","HEBGEN LAKE ","FREMONT","U.S. Forest Service","Targhee NF","1","AS",-111.504581292,44.6431894586,"015N","042E",9,"NE",3,83429,"","NO"
,,,"AS0004","AS0004","   4","Idaho Driftwood #1",44.63861,-111.505,3,443819,1113018,"HIDDEN LAKE BENCH","HEBGEN LAKE ","FREMONT","U.S. Forest Service","Targhee NF","2","AS",-111.505691268,44.6384694836,"015N","042E",9,"SE",4,83429,"","NO"
,,,"AS0005","AS0005","   5","Unnamed location",44.5931,-111.4256,0,443535,1112532,"SAWTELL PEAK","HEBGEN LAKE ","FREMONT","U.S. Forest Service","Targhee NF","3","AS",-111.426288441,44.5929602711,"015N","043E",30,"SE",5,83429,"","NO"
,,,"AS0006","AS0006","   6","Unnamed prospects",44.59583,-111.26278,3,443545,1111546,"BIG SPRINGS","HEBGEN LAKE ","FREMONT","U.S. Forest Service","Targhee NF","4","AS",-111.263463779,44.5956912306,"015N","044E",28,"SE",6,83429,"","NO"
,,,"AS0007","AS0007","   7","Scott and Bucy Coal Mine (Continental Divide Area)",44.54583,-111.94861,3,443245,1115655,"WINSLOW CREEK","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","5","AS",-111.949312913,44.5456874106,"014N","038E",14,"NE",7,83446,"Continental Divide","NO"
,,,"AS0008","AS0008","   8","East Dry Creek Phosphate Mine",44.5219,-111.7792,0,443119,1114645,"SLIDE MOUNTAIN","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","6","AS",-111.779897765,44.5217586162,"014N","040E",19,"SE",8,83446,"","NO"
,,,"AS0009","AS0009","   9","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",44.54639,-111.69917,3,443247,1114157,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","7","AS",-111.699865759,44.546248934,"014N","040E",14,"NE",9,83446,"","YES"
,,,"AS0010","AS0010","  10","Taylor Creek Area",44.5475,-111.6728,0,443251,1114022,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","8","AS",-111.673495014,44.54735908689999,"014N","041E",7,"SW",10,83446,"","NO"
