"SequenceNumber","Location_type","lon_WGS84","lat_WGS84"
"AS0001",0,-111.380988083,44.6731600048
"AS0002",3,-111.369577688,44.6676401102
"AS0003",3,-111.504581292,44.6431894586
"AS0004",3,-111.505691268,44.6384694836
"AS0005",0,-111.426288441,44.5929602711
"AS0006",3,-111.263463779,44.5956912306
"AS0007",3,-111.949312913,44.5456874106
"AS0008",0,-111.779897765,44.5217586162
"AS0009",3,-111.699865759,44.546248934
"AS0010",0,-111.673495014,44.54735908689999
"AS0011",0,-111.663794778,44.550959121
"AS0012",3,-111.658754644,44.5517991459
"AS0013",3,-111.672744753,44.5271992315
"AS0014",3,-111.653194259,44.53291931059999
"AS0015",3,-111.705976017,44.5531888488
"AS0016",0,-111.543491356,44.5540598296
"AS0017",3,-111.995422916,44.43596790239999
"AS0018",3,-111.992922815,44.4334679358
"AS0019",3,-111.99542284,44.4295779484
"AS0020",3,-111.979872328,44.424028084
"AS0021",0,-111.918499179,44.30705931639999
"AS0022",0,-111.701292799,44.2926607468
"AS0023",0,-111.549888163,44.26676185509999
"AS0024",3,-111.05011229,44.131535856
"AS0025",3,-111.556795927,44.0570834243
"AS0026",3,-111.821523099,44.02514208029999
"AS0027",3,-111.322626267,44.6620804296
"AS0028",0,-111.338186579,44.65046041359999
"BA0001",3,-116.768345786,45.04843134319999
"BA0002",0,-116.826646341,44.97622138729999
"BA0003",0,-116.819446137,44.9759214427
"BA0004",0,-116.625539648,44.9001233841
"BA0005",0,-116.645540085,44.89202329219999
"BA0006",3,-116.639169888,44.89065334839999
"BA0007",0,-116.628939435,44.879023503
"BA0008",3,-116.525556988,44.90815406359999
"BA0009",0,-116.594738434,44.87542377889999
"BA0010",0,-116.60393837,44.8534238624
"BA0011",0,-116.63833851,44.79732399949999
"BA0012",0,-116.640038424,44.78812405159999
"BA0013",3,-116.691120036,44.80176358049999
"BA0014",0,-116.727241324,44.8215231766
"BA0015",3,-116.733621342,44.8106532055
"BA0016",0,-116.746441835,44.82012304489999
"BA0017",3,-116.759732178,44.81843295869999
"BA0018",3,-116.766672164,44.8042630066
"BA0019",0,-116.781942315,44.785623025
"BA0020",3,-116.814453102,44.7778828397
"BA0021",0,-116.881645685,44.8276219937
"BA0022",0,-116.865044665,44.7892223858
"BA0023",0,-116.845043891,44.7740226411
"BA0024",3,-116.860564194,44.76538258759999
"BA0025",3,-116.85890416,44.766212594
"BA0026",3,-116.840013574,44.7617627652
"BA0027",3,-116.853623828,44.7534327239
"BA0028",3,-116.831403207,44.75288289189999
"BA0029",3,-116.824732954,44.7481529748
"BA0030",0,-116.812742751,44.75702300019999
"BA0031",3,-116.795562317,44.759823107
"BA0032",3,-116.793902307,44.76232310149999
"BA0033",3,-116.826673068,44.7523229308
"BA0034",3,-116.781401631,44.7395433558
"BA0035",0,-116.813942425,44.7323231675
"BA0036",0,-116.805242133,44.72872325749999
"BA0037",0,-116.738939883,44.69982395349999
"BA0038",0,-116.610536529,44.713424798
"BA0039",3,-117.066408863,44.6962115585
"BA0040",0,-117.043348144,44.69042177199999
"BA0041",0,-117.050548142,44.6767218183
"BA0042",0,-117.08144892,44.67172162529999
"BA0043",0,-117.087248865,44.6570216899
"BA0044",0,-117.098948952,44.6409217215
"BA0045",0,-117.11614909,44.61792176389999
"BA0046",0,-117.103648705,44.6151218776
"BA0047",0,-117.118948851,44.59622190469999
"BA0048",3,-117.122518767,44.5837119718
"BA0049",3,-117.087787066,44.53232261749999
"BA0050",0,-117.055246982,44.5881224382
"BA0051",0,-117.073047278,44.57482240589999
"BA0052",0,-117.078647387,44.5717223876
"BA0053",0,-117.072547219,44.5717224329
"BA0054",3,-117.071677128,44.5670424745
"BA0055",3,-117.07001709,44.56760248259999
"BA0056",0,-117.057746765,44.5684225674
"BA0057",3,-117.07001703,44.563432514
"BA0059",3,-117.060566774,44.56371258199999
"BA0060",3,-117.07140706,44.5628825078
"BA0061",3,-117.067786944,44.5617625431
"BA0062",3,-117.062786799,44.56121258429999
"BA0063",0,-117.059746654,44.55702263849999
"BA0064",3,-117.057786577,44.5553826654
"BA0065",0,-117.056146483,44.5520227029
"BA0066",0,-117.050046437,44.56042268469999
"BA0067",0,-117.044146387,44.5681226705
"BA0068",3,-117.036126179,44.56899272339999
"BA0069",0,-117.015845585,44.5665228921
"BA0070",0,-117.013045452,44.56262294219999
"BA0071",0,-117.017245486,44.5570229533
"BA0072",0,-117.030845776,44.5512228964
"BA0073",0,-117.023945602,44.55232293909999
"BA0074",0,-117.01664537,44.5501230098
"BA0075",0,-117.062246501,44.5417227356
"BA0076",0,-117.068946425,44.5237228226
"BA0077",0,-117.04054581,44.53512294639999
"BA0078",3,-117.026825551,44.54330298599999
"BA0081",0,-116.993644673,44.545623214
"BA0082",0,-116.972245424,44.638122682
"BA0083",0,-116.941644275,44.6170230642
"BA0084",0,-116.929743839,44.6095232078
"BA0085",0,-116.941943971,44.5954232225
"BA0086",3,-117.213629451,44.4587122481
"BA0087",0,-117.180048531,44.45872249769999
"BA0088",0,-116.446135425,44.95262434639999
"BA0089",0,-116.468635712,44.9292243384
"BA0090",0,-116.473035762,44.9242243398
"BA0091",0,-116.466135583,44.9251243842
"BA0092",0,-116.41553395,44.9095248592
"BA0093",0,-116.414433747,44.8976249477
"BA0094",0,-116.433034156,44.89012486279999
"BA0095",0,-116.406133336,44.88512509309999
"BA0096",0,-116.42723381,44.87732499219999
"BA0097",0,-116.413933388,44.87372511389999
"BA0098",0,-116.406433168,44.872925174
"BA0099",0,-116.421133448,44.86402512759999
"BA0100",0,-116.412533104,44.85672524029999
"BA0101",0,-116.320831472,44.9204254763
"BA0102",0,-116.318031178,44.9054255977
"BA0103",0,-116.323031277,44.9026255802
"BA0104",0,-116.320030833,44.8776257715
"BA0105",3,-116.169577889,44.96430628269999
"BA0106",3,-116.176667598,44.93028645739999
"BA0107",0,-116.003622129,44.8854280084
"BA0108",0,-116.003321994,44.8765280707
"BA0109",0,-116.020222015,44.8448281646
"BA0110",0,-116.019121695,44.8245283116
"BA0111",0,-116.00772128,44.817628441
"BA0112",0,-116.011121122,44.7998285394
"BA0113",0,-116.260526988,44.72452726789999
"BA0114",3,-116.271656368,44.6592676552
"BA0115",3,-116.269436279,44.6573276853
"BA0116",3,-116.250015674,44.6526778595
"BA0117",3,-116.244435597,44.6581578601
"BA0118",0,-116.160823695,44.6876282517
"BA0119",0,-116.113322144,44.67122871159999
"BA0120",3,-116.026100135,44.7006591281
"BA0121",0,-116.173022377,44.5704290174
"BA0122",0,-116.003017803,44.5804301643
"BA0123",0,-116.166121544,44.52482940669999
"BA0124",0,-116.128019202,44.43293037719999
"BA0125",3,-116.064277219,44.4171509551
