"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
979,765046447,1193227109,765046447,1193227109
980,765056111,1193222009,765056111,1193222009
981,765038126,1193213687,765038126,1193213687
982,765105237,1193203487,765105237,1193203487
983,765064165,1193200266,765064165,1193200266
984,765055306,1193194360,765055306,1193194360
985,765077587,1193193018,765077587,1193193018
986,765046448,1193175033,765046448,1193175033
987,765056917,1193169933,765056917,1193169933
988,765069534,1193164564,765069534,1193164564
989,765033026,1193154900,765033026,1193154900
990,765402131,1193484539,765402131,1193484539
991,765345490,1193472459,765345490,1193472459
992,765359153,1193458957,765359153,1193458957
993,765351395,1193456890,765351395,1193456890
994,765358107,1193449374,765358107,1193449374
995,765366160,1193445616,765366160,1193445616
996,765330457,1193441321,765330457,1193441321
997,765297707,1193441321,765297707,1193441321
998,765290996,1193432999,765290996,1193432999
999,765271668,1193420383,765271668,1193420383
1000,765329303,1193402720,765329303,1193402720
1001,765317197,1193405163,765317197,1193405163
1002,765327505,1193382266,765327505,1193382266
1003,765377436,1193368844,765377436,1193368844
1004,765446156,1193465212,765446156,1193465212
1005,765398373,1193458501,765398373,1193458501
1006,765412600,1193458501,765412600,1193458501
1007,765430318,1193453938,765430318,1193453938
1008,765392467,1193447227,765392467,1193447227
1009,765417701,1193448032,765417701,1193448032
1010,765449914,1193444275,765449914,1193444275
1011,765372871,1193428436,765372871,1193428436
1012,765390052,1193415820,765390052,1193415820
1013,765427365,1193424142,765427365,1193424142
1014,765425218,1193412868,765425218,1193412868
1015,765473001,1193405352,765473001,1193405352
1016,765439982,1193415015,765439982,1193415015
1017,765432735,1193398641,765432735,1193398641
1018,765466290,1193399446,765466290,1193399446
1019,765453405,1193394346,765453405,1193394346
1020,765442399,1193390588,765442399,1193390588
1021,765447499,1193384682,765447499,1193384682
1022,765454210,1193386830,765454210,1193386830
1023,765463337,1193382267,765463337,1193382267
1024,765455016,1193372603,765455016,1193372603
1025,765463874,1193372603,765463874,1193372603
1026,765475149,1193373408,765475149,1193373408
1027,765457163,1193363745,765457163,1193363745
1028,765439983,1193357034,765439983,1193357034
1029,765475149,1193347907,765475149,1193347907
1030,765491954,1193324929,765491954,1193324929
1031,765594336,1193495546,765594336,1193495546
1032,765583330,1193489641,765583330,1193489641
1033,765573666,1193479977,765573666,1193479977
1034,765569908,1193467361,765569908,1193467361
1035,765553533,1193460650,765553533,1193460650
1036,765546822,1193454744,765546822,1193454744
1037,765521320,1193438370,765521320,1193438370
1038,765510314,1193437564,765510314,1193437564
1039,765470584,1193438906,765470584,1193438906
1040,765479712,1193433001,765479712,1193433001
1041,765490718,1193421190,765490718,1193421190
1042,765509509,1193421190,765509509,1193421190
1043,765711651,1193109540,765711651,1193109540
1044,765796479,1193105782,765796479,1193105782
1045,765815807,1193099609,765815807,1193099609
1046,765858489,1193091556,765858489,1193091556
1047,765803995,1193095313,765803995,1193095313
1048,765710846,1193079475,765710846,1193079475
1049,765760776,1193092360,765760776,1193092360
1050,765788963,1193086187,765788963,1193086187
1051,765775540,1193080281,765775540,1193080281
1052,765812317,1193089945,765812317,1193089945
1053,765823323,1193081087,765823323,1193081087
1054,765834598,1193081892,765834598,1193081892
1055,765834598,1193073571,765834598,1193073571
1056,765815807,1193071423,765815807,1193071423
1057,765812854,1193063102,765812854,1193063102
1058,765825793,1193051962,765825793,1193051962
1059,765830840,1193054243,765830840,1193054243
1060,765819565,1193054243,765819565,1193054243
1061,765821176,1193050485,765821176,1193050485
1062,765817096,1193044741,765817096,1193044741
1063,765816613,1193047532,765816613,1193047532
1064,765806761,1193031051,765806761,1193031051
1065,765790574,1193039211,765790574,1193039211
1066,765779299,1193037063,765779299,1193037063
1067,765800238,1193033305,765800238,1193033305
1068,765787621,1193017736,765787621,1193017736
1069,765806144,1193017736,765806144,1193017736
1070,765774199,1193022836,765774199,1193022836
1071,765801849,1193012368,765801849,1193012368
1072,765786816,1193011831,765786816,1193011831
1073,765749287,1193032231,765749287,1193032231
1074,765711383,1193040740,765711383,1193040740
1075,765756884,1193026460,765756884,1193026460
1076,765724966,1193031882,765724966,1193031882
1077,765732322,1193021494,765732322,1193021494
1078,766741400,1192969961,766741400,1192969961
1079,766728515,1192964861,766728515,1192964861
1080,766748218,1192965962,766748218,1192965962
1081,766752326,1192955332,766752326,1192955332
1082,766714475,1192948379,766714475,1192948379
1083,766756970,1192893995,766756970,1192893995
1084,766753239,1192927495,766753239,1192927495
1085,766849421,1192963278,766849421,1192963278
1086,766862118,1192979680,766862118,1192979680
1087,766835892,1192964057,766835892,1192964057
1088,766852535,1192953829,766852535,1192953829
1089,766874038,1192952085,766874038,1192952085
1090,766854092,1192950930,766854092,1192950930
1091,766860696,1192950286,766860696,1192950286
1092,766873313,1192951199,766873313,1192951199
1093,766865958,1192935066,766865958,1192935066
1094,766874011,1192931845,766874011,1192931845
1095,766883675,1192935066,766883675,1192935066
1096,766899486,1192936704,766899486,1192936704
1097,766899406,1192934959,766899406,1192934959
1098,766897124,1192933939,766897124,1192933939
1099,766915888,1192925940,766915888,1192925940
1100,766930384,1192907203,766930384,1192907203
1101,766923137,1192901512,766923137,1192901512
1102,766923942,1192888359,766923942,1192888359
1103,766862334,1192925295,766862334,1192925295
1104,766864186,1192923389,766864186,1192923389
1105,766851140,1192908920,766851140,1192908920
1106,766846362,1192865864,766846362,1192865864
1107,766858442,1192862589,766858442,1192862589
1108,766902601,1192846295,766902601,1192846295
1109,765771248,1192914926,765771248,1192914926
1110,765791837,1192906927,765791837,1192906927
1111,765768295,1192906605,765768295,1192906605
1112,765791327,1192890203,765791327,1192890203
