"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
1,271225612,1271523460,271225612,1271523460
2,271270712,1271492781,271270712,1271492781
3,270737106,1271356923,270737106,1271356923
4,270732719,1271330704,270732719,1271330704
5,271046561,1271078009,271046561,1271078009
6,271690131,1271093168,271690131,1271093168
7,268979291,1270815731,268979291,1270815731
8,269648909,1270683051,269648909,1270683051
9,269965238,1270818845,269965238,1270818845
10,270069469,1270825002,270069469,1270825002
11,270107810,1270844969,270107810,1270844969
12,270127731,1270849628,270127731,1270849628
13,270072435,1270713213,270072435,1270713213
14,270149709,1270744928,270149709,1270744928
15,269941087,1270857336,269941087,1270857336
16,270583313,1270862167,270583313,1270862167
17,268797039,1270207807,268797039,1270207807
18,268806921,1270193969,268806921,1270193969
19,268797040,1270172438,268797040,1270172438
20,268858503,1270141721,268858503,1270141721
21,269101083,1269495019,269101083,1269495019
22,269959598,1269415501,269959598,1269415501
23,270558029,1269272519,270558029,1269272519
24,272533409,1268526990,272533409,1268526990
25,270530726,1268117247,270530726,1268117247
26,269484384,1267941618,269484384,1267941618
27,271456289,1271461884,271456289,1271461884
28,271394787,1271397318,271394787,1271397318
29,249931911,1273616056,249931911,1273616056
30,249701476,1273212336,249701476,1273212336
31,249729935,1273210660,249729935,1273210660
32,250496357,1272787427,250496357,1272787427
33,250417305,1272742232,250417305,1272742232
34,250442483,1272734589,250442483,1272734589
35,250482919,1272669711,250482919,1272669711
36,250891542,1272832241,250891542,1272832241
37,250618100,1272649633,250618100,1272649633
38,250581737,1272526949,250581737,1272526949
39,250445769,1272214318,250445769,1272214318
40,250439050,1272163078,250439050,1272163078
41,250237148,1272239047,250237148,1272239047
42,250094378,1272349137,250094378,1272349137
43,250069161,1272288571,250069161,1272288571
44,250018487,1272341335,250018487,1272341335
45,249965957,1272331917,249965957,1272331917
46,249938526,1272252971,249938526,1272252971
47,249878170,1272149149,249878170,1272149149
48,249749671,1272106048,249749671,1272106048
49,249484090,1272383124,249484090,1272383124
50,249549706,1272169195,249549706,1272169195
51,249628759,1272084554,249628759,1272084554
52,249567415,1272036452,249567415,1272036452
53,249573976,1272041072,249573976,1272041072
54,249648642,1272016301,249648642,1272016301
55,249594847,1271969934,249594847,1271969934
56,249682675,1271966874,249682675,1271966874
57,249709039,1271940549,249709039,1271940549
58,249756431,1271989917,249756431,1271989917
59,249824337,1272005504,249824337,1272005504
60,249830898,1272019420,249830898,1272019420
61,249701371,1271963757,249701371,1271963757
62,249880308,1271892637,249880308,1271892637
63,249751689,1271852463,249751689,1271852463
64,249786077,1271832435,249786077,1271832435
65,250048139,1271671695,250048139,1271671695
66,250555657,1271747334,250555657,1271747334
67,248753807,1271651609,248753807,1271651609
68,248844956,1271619417,248844956,1271619417
69,248816497,1271543258,248816497,1271543258
70,248694361,1271515465,248694361,1271515465
71,248671437,1271433774,248671437,1271433774
72,248625192,1271344326,248625192,1271344326
73,248557208,1271216586,248557208,1271216586
74,248606616,1271201039,248606616,1271201039
75,248546142,1271096113,248546142,1271096113
76,248532031,1271026681,248532031,1271026681
77,248669309,1270741619,248669309,1270741619
78,248797925,1271051158,248797925,1271051158
79,248727569,1270977352,248727569,1270977352
80,248705434,1270960151,248705434,1270960151
81,248729545,1270960152,248729545,1270960152
82,248732984,1270934186,248732984,1270934186
170,248431138,1269287767,248431138,1269287767
171,248649560,1269436671,248649560,1269436671
172,248764740,1269423032,248764740,1269423032
173,249241348,1269548633,249241348,1269548633
174,249319294,1269562224,249319294,1269562224
175,249403840,1269656098,249403840,1269656098
176,249474236,1269693181,249474236,1269693181
177,249587282,1269650077,249587282,1269650077
178,249967091,1269646876,249967091,1269646876
179,249161190,1269401501,249161190,1269401501
180,249141428,1269289430,249141428,1269289430
181,249262220,1269329287,249262220,1269329287
182,249152496,1269161948,249152496,1269161948
183,249127200,1269108431,249127200,1269108431
184,249794798,1269427461,249794798,1269427461
185,249875037,1269315382,249875037,1269315382
186,249552108,1269169677,249552108,1269169677
187,249839862,1269044451,249839862,1269044451
188,250133976,1269179063,250133976,1269179063
189,250146072,1269117765,250146072,1269117765
190,250196389,1269136027,250196389,1269136027
191,250126427,1269104028,250126427,1269104028
192,250148167,1269086927,250148167,1269086927
193,250201134,1268901632,250201134,1268901632
194,249553180,1268690483,249553180,1268690483
195,249616423,1268654784,249616423,1268654784
196,249981370,1268669056,249981370,1268669056
197,249574012,1268558886,249574012,1268558886
198,249721169,1268528267,249721169,1268528267
199,249875835,1268612315,249875835,1268612315
200,250380982,1268606261,250380982,1268606261
201,250296398,1268435000,250296398,1268435000
202,250514978,1268465834,250514978,1268465834
203,249285314,1268324903,249285314,1268324903
204,249229187,1268269873,249229187,1268269873
205,249271085,1268233009,249271085,1268233009
206,249376225,1268275927,249376225,1268275927
207,249806667,1268273180,249806667,1268273180
208,249482948,1268054249,249482948,1268054249
209,249926475,1267952101,249926475,1267952101
210,250696013,1268115304,250696013,1268115304
211,250790481,1268142806,250790481,1268142806
212,251071514,1268069662,251071514,1268069662
213,252632002,1269490448,252632002,1269490448
214,252716194,1269450684,252716194,1269450684
215,252073100,1269323132,252073100,1269323132
216,252096029,1268987668,252096029,1268987668
217,251984171,1268866367,251984171,1268866367
218,251779821,1268658607,251779821,1268658607
219,251774290,1268384371,251774290,1268384371
220,252651614,1268767052,252651614,1268767052
221,252622128,1268725833,252622128,1268725833
222,252447426,1268271556,252447426,1268271556
223,251740301,1268010174,251740301,1268010174
224,249750779,1271960641,249750779,1271960641
225,249721134,1271923576,249721134,1271923576
226,249624492,1272000881,249624492,1272000881
227,251565601,1267308380,251565601,1267308380
228,251782088,1267310467,251782088,1267310467
229,251800784,1267303994,251800784,1267303994
230,251792879,1267271627,251792879,1267271627
231,251960865,1267317711,251960865,1267317711
232,252115809,1267323748,252115809,1267323748
233,252082370,1267290995,252082370,1267290995
234,252120157,1267279310,252120157,1267279310
235,252073121,1267262853,252073121,1267262853
236,252115810,1267244367,252115810,1267244367
237,252135573,1267184968,252135573,1267184968
238,252044543,1267257860,252044543,1267257860
239,252054148,1267245848,252054148,1267245848
240,252067587,1267227747,252067587,1267227747
241,252024424,1267255447,252024424,1267255447
242,252041105,1267232135,252041105,1267232135
243,252032369,1267239814,252032369,1267239814
244,252003831,1267248974,252003831,1267248974
245,252006005,1267238278,252006005,1267238278
246,251971934,1267200323,251971934,1267200323
247,251980630,1267172901,251980630,1267172901
248,251931222,1267201967,251931222,1267201967
249,251945451,1267189354,251945451,1267189354
250,251956519,1267128484,251956519,1267128484
251,251879838,1267137805,251879838,1267137805
252,251887348,1267112034,251887348,1267112034
253,251808651,1267108633,251808651,1267108633
254,251839126,1267098326,251839126,1267098326
255,251856992,1267078644,251856992,1267078644
256,251856518,1267069269,251856518,1267069269
257,251852170,1267052274,251852170,1267052274
258,251853356,1267041859,251853356,1267041859
259,251825016,1267067898,251825016,1267067898
260,251802051,1267076669,251802051,1267076669
261,251810588,1267061593,251810588,1267061593
262,251804462,1267054028,251804462,1267054028
263,251813830,1267047888,251813830,1267047888
