"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"AS0001","Unnamed Iron Prospect","AS0001-11143","Thimbleberry Iron Prospect (Unnamed Iron Prospect)",1,1,
"AS0002","Tick Heaven Talc Prospect","AS0002-10846","Tick Heaven Talc Prospect",1,2,
"AS0003","Idaho Driftwood","AS0003-05079","Idaho Driftwood",1,3,
"AS0004","Idaho Driftwood #1","AS0004-05080","Idaho Driftwood #1",1,4,
"AS0005","Unnamed location","AS0005-11253","Unnamed location",1,5,
"AS0006","Unnamed prospects","AS0006-11986","Unnamed prospects",1,6,
"AS0007","Continental Divide Area","AS0007-02322","Scott and Bucy Coal Mine (Continental Divide Area)",2,7,
"AS0007","Scott and Bucy Coal Mine","AS0007-09477","Scott and Bucy Coal Mine (Continental Divide Area)",1,8,
"AS0008","East Dry Creek Phosphate Mine","AS0008-03103","East Dry Creek Phosphate Mine",1,9,
"AS0009","Troublesome Ridge Phosphate Deposit","AS0009-00335","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",1,10,
"AS0009","Centennial Phosphate Mine","AS0009-01866","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",3,11,
"AS0009","Area No. 2 Phosphate Deposit","AS0009-09299","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",2,12,
"AS0009","Ruby Mine","AS0009-11011","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",4,13,
"AS0010","Taylor Creek Area","AS0010-10735","Taylor Creek Area",1,14,
"AS0011","Unnamed coal deposit","AS0011-11142","Unnamed coal deposit",1,15,
"AS0012","Area No. 4 Phosphate Deposit","AS0012-00337","Bald Mountain Phosphate Deposit (Area No. 4 Phosphate Deposit)",2,16,
"AS0012","Bald Mountain Phosphate Deposit","AS0012-00512","Bald Mountain Phosphate Deposit (Area No. 4 Phosphate Deposit)",1,17,
"AS0013","South Slope Taylor Creek Phosphate Deposit","AS0013-00336","South Slope Taylor Creek Phosphate Deposit (Area No. 3 Phosphate Deposit)",1,18,
"AS0013","Area No. 3 Phosphate Deposit","AS0013-10229","South Slope Taylor Creek Phosphate Deposit (Area No. 3 Phosphate Deposit)",2,19,
"AS0014","Carrot Ridge Area Phosphate Deposit","AS0014-00334","Carrot Ridge Area Phosphate Deposit (Area No. 1 Phosphate Deposit)",1,20,
"AS0014","Area No. 1 Phosphate Deposit","AS0014-01798","Carrot Ridge Area Phosphate Deposit (Area No. 1 Phosphate Deposit)",2,21,
"AS0015","Tanner Manganese Prospect","AS0015-10728","Tanner Manganese Prospect",1,22,
"AS0016","Tin Cup #1-6","AS0016-10867","Tin Cup #1-6",1,23,
"AS0017","Unnamed mine","AS0017-11424","Unnamed mine (Blue Ledge Mining Company)",1,24,
"AS0018","Blue Ledge Mining Company","AS0018-01192","Blue Ledge Mining Company",1,25,
"AS0019","Unnamed prospects","AS0019-11976","Unnamed prospects",1,26,
"AS0020","Unnamed prospect","AS0020-11507","Unnamed prospect",1,27,
"AS0021","Swan Butte","AS0021-10656","Swan Butte",1,28,
"AS0022","Crystal Butte","AS0022-02560","Crystal Butte",1,29,
"AS0023","High Point Butte Cinder Occurrence","AS0023-04770","High Point Butte Cinder Occurrence",1,30,
"AS0024","Wyoming Creek","AS0024-12765","Wyoming Creek",1,31,
"AS0025","Lava Oil Co.","AS0025-05901","Lava Oil Co.",1,32,
"AS0026","Cinder Pits","AS0026-02031","Cinder Pits",1,33,
"BA0001","Indian Creek","BA0001-05241","Indian Creek",1,34,
"BA0002","Unnamed location","BA0002-11223","Unnamed location",1,35,
"BA0003","Lucky Strike Mine","BA0003-06525","Lucky Strike Mine",1,36,
"BA0004","Rebound","BA0004-08944","Rebound",1,37,
"BA0005","Black Jack Nos. 1 & 2","BA0005-00992","Black Jack Nos. 1 & 2",1,38,
"BA0006","North Hornet Mine","BA0006-07706","North Hornet Mine",1,39,
"BA0007","Summit Placers","BA0007-10528","Summit Placers",1,40,
"BA0008","Council Barite","BA0008-02467","Inspiration Barite Deposit (Council Barite)",2,41,
"BA0008","Inspiration Barite Deposit","BA0008-05264","Inspiration Barite Deposit (Council Barite)",1,42,
"BA0009","Deck Mountain","BA0009-02704","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",4,43,
"BA0009","Hornet Creek Prospect","BA0009-04922","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",1,44,
"BA0009","North Hornet Creek","BA0009-07705","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",3,45,
"BA0009","Peck Mountain","BA0009-08268","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",2,46,
"BA0010","Red Iron","BA0010-08984","Red Iron",1,47,
"BA0011","Idaho","BA0011-05052","Idaho",1,48,
"BA0012","Lucky Star","BA0012-06504","Red Boy and Lucky Star (Lucky Star)",2,49,
"BA0012","Red Boy and Lucky Star","BA0012-08961","Red Boy and Lucky Star (Lucky Star)",1,50,
"BA0013","Kismet Prospect","BA0013-05734","Kismet Prospect",1,51,
"BA0014","Unnamed prospect","BA0014-11549","Unnamed prospect",1,52,
