"SequenceNumber","RawAmount","RawMeasure","TailingsAmount","TailingsMeasure"
"EC0242","C","yds",,
"EC0243","B","ton",,
"EC0249","E","yds",,
"EC0251","A","ton",,
"EC0256","A","ton",,
"EC0257","unknown","yds",,
"EC0258","A","ton",,
"EC0259","A","yds",,
"EC0260","C","ton",,
"EC0266","A","ton",,
"EC0267","A","ton",,
"EC0268","B","ton",,
"EC0277","E","ton",,
"EC0285","A","ton",,
"EC0290","B","yds",,
"EC0297","A","ton",,
"EC0312","A","ton",,
"EC0318","K","yds",,
"EC0323","A","ton",,
"EC0333","A","ton",,
"EC0356","C","ton","A","ton"
"EC0361","A","ton",,
"EC0369","C","ton","A","ton"
"EC0379","A","ton",,
"EC0388","A","ton",,
"EC0391","A","ton",,
"EC0398","C","ton",,
"EC0401","I","ton","F","ton"
"EC0404","E","ton",,
"EC0405","B","ton",,
"EC0407","E","ton",,
"EC0410","G","ton","A","ton"
"EC0411","A","ton",,
"EC0413","B","ton",,
"EC0414","A","ton",,
"EC0415","C","ton","A","ton"
"EC0416","A","ton",,
"EC0417","A","ton",,
"EC0433","A","ton","E","ton"
"EC0441","K","ton","E","ton"
"EC0447","C","yds",,
"EC0451","C","ton",,
"EC0454","unknown","yds",,
"EC0457","E","yds",,
"EC0463","unknown","yds",,
"EC0464","B","yds",,
"EC0465","D","yds",,
"EC0469","F","yds",,
"EC0472","unknown","yds",,
"EC0474","E","ton",,
"EC0475","B","ton",,
"EC0476","C","yds",,
"EC0477","A","ton",,
"EC0478","unknown","yds",,
"EC0480","unknown","yds",,
"EC0481","B","ton",,
"EC0482","A","ton",,
"EC0483","A","ton",,
"EC0484","unknown","yds",,
"EC0485","C","yds",,
"EC0488","D","ton",,
"EC0489","E","yds",,
"EC0491","E","ton",,
"EC0492","F","ton","A","ton"
"EC0493","E","yds",,
"EC0494","H","yds",,
"EC0495","G","yds",,
"EC0497","I","yds",,
"EC0498","D","yds",,
"EC0499","A","ton",,
"EC0503","B","yds",,
"EC0504","A","ton",,
"EC0507","G","ton",,
"EC0509","A","ton",,
"EC0511","C","yds",,
"EC0512","F","ton","A","ton"
"EC0513","E","ton",,
"EC0514","D","ton","C","ton"
"EC0515","A","ton",,
"EC0519","D","ton","C","ton"
"EC0520","A","ton",,
"EC0521","C","ton",,
"EC0522","E","ton",,
"EC0524","G","yds",,
"EC0525","B","yds",,
"EC0528","G","yds",,
"EC0529","unknown","yds",,
"EC0530","E","yds",,
"EC0531","E","yds",,
"EC0532","I","yds",,
"EC0533","B","ton",,
"EC0534","E","yds",,
"EC0535","E","yds",,
"EC0536","G","ton",,
"EC0538","A","ton",,
"EC0539","C","yds",,
"EC0540",,,"A","ton"
"EC0541","A","ton",,
"EC0544","G","ton",,
"EC0545","C","ton",,
"EC0548","A","ton","C","ton"
"EC0549","K","yds",,
"EC0550","E","ton",,
"EC0556","H","yds",,
"EC0562","A","ton",,
"EC0563","B","ton",,
