"SequenceNumber","PeriodProduction","LowProdPeriod1","HighProdPeriod1"
"CH0664","1948","1948","1948"
"CH0670","1950","1950","1950"
"CH0671","1929-1931","1929","1931"
"CH0672","1934","1934","1934"
"CH0683","1901","1901","1901"
"CH0684","1904","1904","1904"
"CH0686","1905-1914","1905","1914"
"CH0693","1961","1961","1961"
"CH0703","1934-1941","1934","1941"
"CH0704","1952-1956","1952","1956"
"CH0705","1935-1941","1935","1941"
"CH0711","1939","1939","1939"
"CH0713","1940","1940","1940"
"CH0714","1921","1921","1921"
"CH0718","1930-1938","1930","1938"
"CH0721","1934-1941","1934","1941"
"CH0722","1935-1941","1935","1941"
"CH0724","1935-1940","1935","1940"
"CH0727","1901-1925","1901","1925"
"CH0730","1938","1938","1938"
"CH0731","1915-1925","1915","1925"
"CH0732","1935-1963","1935","1963"
"CH0733","1936-1943","1936","1943"
"CH0734","1902-1907","1902","1907"
"CH0736","1938","1938","1938"
"CH0738","1940","1940","1940"
"CH0740","1940","1940","1940"
"CH0743","1938","1938","1938"
"CH0744","1904","1904","1904"
"CH0745","1901","1901","1901"
"CH0746","1967-1970","1967","1970"
"CH0747","1936-1941","1936","1941"
"CH0748","1940-1942","1940","1942"
"CH0752","1916-1918","1916","1918"
"CH0753","1941-1942","1941","1942"
"CH0755","1923-1928","1923","1928"
"CH0763","1938","1938","1938"
"CH0783","1909","1909","1909"
"CH0790","1935-1936","1935","1936"
"CH0836","1906","1906","1906"
"CH0845","1939","1939","1939"
"CH0853","1940","1940","1940"
"CH0900","1958-1960","1958","1960"
"CH0902","1935","1935","1935"
"CH0908","1939","1939","1939"
"CH0930","1936","1936","1936"
"CH0934","1946","1946","1946"
"CH0945","1934-1937","1934","1937"
"CH0958","1939","1939","1939"
"CH0960","1939","1939","1939"
"CH0977","1937","1937","1937"
"CH0979","1908-1915","1908","1915"
"CH0980","1926-1942","1926","1942"
"CH0981","1905-1915","1905","1915"
"CH0997","1940","1940","1940"
"CH1021","1937","1937","1937"
"CH1042","1937-1962","1937","1962"
"CH1045","1954","1954","1954"
"CH1046","1936-1942","1936","1942"
"CH1054","1939","1939","1939"
"CH1055","1938","1938","1938"
"CH1074","1908-1934","1908","1934"
"CH1075","1902","1902","1902"
"CH1076","1936-1940","1936","1940"
"CH1092","1904-1909","1904","1909"
"CH1098","1941","1941","1941"
"CH1099","1940","1940","1940"
"CH1115","1940-1941","1940","1941"
"CH1130","1940","1940","1940"
"CH1139","1907","1907","1907"
"CH1142","1912-1915","1912","1915"
"CH1144","1907-1910","1907","1910"
"CH1146","1938","1938","1938"
"CH1149","1907-1908","1907","1908"
"CH1161","1947","1947","1947"
"CH1170","1917","1917","1917"
"CH1171","1935","1935","1935"
"CH1173","1951","1951","1951"
"CH1178","1939","1939","1939"
"CH1190","1908-1926","1908","1926"
"CH1194","1911-1914","1911","1914"
"CH1201","1939","1939","1939"
"CH1202","1918","1918","1918"
"CH1203","1917","1917","1917"
"CH1205","1948-1951","1948","1951"
"CH1208","1902-1908","1902","1908"
"CH1209","1901","1901","1901"
"CH1210","1951","1951","1951"
"CH1213","1908-1925","1908","1925"
"CH1217","1932","1932","1932"
"CH1218","1941","1941","1941"
"CH1219","1908-1915","1908","1915"
"CH1232","1912-1927","1912","1927"
"CH1233","1942-1946","1942","1946"
"CH1234","1984-1988","1984","1988"
"CH1236","1901-1923","1901","1923"
"CH1238","1919","1919","1919"
"CH1239","1927","1927","1927"
"CH1249","1916","1916","1916"
"CH1251","1934-1941","1934","1941"
"CH1253","1901-1902","1901","1902"
"CH1254","unknown","unknown","unknown"
"CH1255","1940-1941","1940","1941"
"CH1272","1971-1978","1971","1978"
"CH1283","1902","1902","1902"
"DI0001","1949","1949","1949"
"DI0004","1940","1940","1940"
"DI0005","1939-1943","1939","1943"
"DI0007","1935-1940","1935","1940"
"DI0019","1939-1940","1939","1940"
"DI0021","1901-1916","1901","1916"
"DI0023","1949","1949","1949"
"DI0024","1915","1915","1915"
"DI0025","1901-1941","1901","1941"
"DI0026","1912","1912","1912"
"DI0027","1902","1902","1902"
"DI0028","1935-1939","1935","1939"
"DI0029","1934-1935","1934","1935"
"DI0030","1936","1936","1936"
"DI0031","1902","1902","1902"
"DI0032","1930-1939","1930","1939"
"DI0033","1934-1942","1934","1942"
"DI0038","1901","1901","1901"
"DI0042","1928-1937","1928","1937"
"DI0043","1935","1935","1935"
"DI0045","1939-1940","1939","1940"
"DI0047","1958-1964","1958","1964"
"DI0048","1935-1940","1935","1940"
"DI0049","1934","1934","1934"
"DI0051","1935-1941","1935","1941"
"DI0052","1938-1942","1938","1942"
"DI0058","1901-1904","1901","1904"
"DI0060","1933","1933","1933"
"DI0061","1914-1916","1914","1916"
"DI0067","1943-1944","1943","1944"
"DI0071","1946-1947","1946","1947"
"DI0073","1935-1936","1935","1936"
"DI0074","1934-1939","1934","1939"
"DI0081","1932-1941","1932","1941"
"DI0082","1913-1917","1913","1917"
"DI0085","1932-1933","1932","1933"
"DI0090","1932","1932","1932"
"DI0091","1947-1948","1947","1948"
"DI0092","1935","1935","1935"
"DI0093","1935-1940","1935","1940"
"DI0095","1909","1909","1909"
"DI0096","1940-1942","1940","1942"
"DI0100","1911","1911","1911"
"DI0102","1922","1922","1922"
"DI0106","1901","1901","1901"
"DI0125","1918-1920","1918","1920"
"DI0130","1908","1908","1908"
"DI0131","1940","1940","1940"
"DI0140","1916-1931","1916","1931"
"DI0143","1915","1915","1915"
"DI0144","1919","1919","1919"
"DI0145","1925","1925","1925"
