"ID","PortfolioScanName","CrossRefProp"
1,"P06_001","SP0158"
2,"P06_001","SP0159"
3,"P06_001","SP0160"
4,"P06_001","SP0161"
5,"P06_001","SP0162"
6,"P06_001","SP0163"
7,"P06_001","SP0164"
8,"P06_001","SP0165"
9,"P06_001","SP0166"
10,"P06_001","SP0167"
11,"P06_001","SP0168"
12,"P06_001","SP0169"
13,"P06_001","SP0171"
14,"P06_001","SP0172"
15,"P06_001","SP0173"
16,"P06_001","SP0174"
17,"P06_001","SP0175"
18,"P06_001","SP0177"
19,"P06_001","SP0178"
20,"P06_001","SP0179"
21,"P06_001","SP0180"
22,"P06_001","SP0181"
23,"P06_001","SP0182"
24,"P06_001","SP0183"
25,"P06_001","SP0184"
26,"P06_001","SP0185"
27,"P06_001","SP0186"
28,"P06_001","SP0187"
29,"P06_001","SP0188"
30,"P06_001","SP0189"
31,"P06_001","SP0190"
32,"P06_001","SP0191"
33,"P06_001","SP0192"
34,"P08_006","SP0162"
35,"P08_006","SP0167"
36,"P08_006","SP0169"
37,"P08_006","SP0183"
38,"P08_006","SP0184"
39,"P08_006","SP0192"
40,"P08_006","SP0194"
41,"P08_006","SP0197"
42,"P08_006","SP0198"
43,"P08_006","SP0200"
44,"P08_006","SP0209"
45,"P08_006","SP0212"
46,"P08_006","SP0214"
47,"P08_006","SP0215"
48,"P08_006","SP0216"
49,"P08_008","SP0167"
50,"P08_008","SP0169"
51,"P08_008","SP0183"
52,"P08_008","SP0184"
53,"P08_008","SP0192"
54,"P08_008","SP0194"
55,"P08_008","SP0197"
56,"P08_008","SP0198"
57,"P08_008","SP0200"
58,"P08_008","SP0209"
59,"P08_008","SP0212"
60,"P08_008","SP0214"
61,"P08_008","SP0215"
62,"P08_008","SP0216"
63,"P08_009","SP0145"
64,"P08_009","SP0162"
65,"P08_009","SP0167"
66,"P08_009","SP0169"
67,"P08_009","SP0183"
68,"P08_009","SP0184"
69,"P08_009","SP0192"
70,"P08_009","SP0194"
71,"P08_009","SP0197"
72,"P08_009","SP0198"
73,"P08_009","SP0200"
74,"P08_009","SP0209"
75,"P08_009","SP0212"
76,"P08_009","SP0214"
77,"P08_009","SP0215"
78,"P08_009","SP0216"
79,"P08_010","SP0145"
80,"P08_010","SP0162"
81,"P08_010","SP0167"
82,"P08_010","SP0169"
83,"P08_010","SP0183"
84,"P08_010","SP0184"
85,"P08_010","SP0192"
86,"P08_010","SP0194"
87,"P08_010","SP0197"
88,"P08_010","SP0198"
89,"P08_010","SP0200"
90,"P08_010","SP0209"
91,"P08_010","SP0212"
92,"P08_010","SP0214"
93,"P08_010","SP0215"
94,"P08_010","SP0216"
95,"P08_011","SP0145"
96,"P08_011","SP0162"
97,"P08_011","SP0167"
98,"P08_011","SP0169"
99,"P08_011","SP0183"
100,"P08_011","SP0184"
101,"P08_011","SP0192"
102,"P08_011","SP0194"
103,"P08_011","SP0197"
104,"P08_011","SP0198"
105,"P08_011","SP0200"
106,"P08_011","SP0209"
107,"P08_011","SP0212"
108,"P08_011","SP0214"
109,"P08_011","SP0215"
110,"P08_011","SP0216"
111,"P08_012","SP0145"
112,"P08_012","SP0162"
113,"P08_012","SP0167"
114,"P08_012","SP0169"
115,"P08_012","SP0183"
116,"P08_012","SP0184"
117,"P08_012","SP0192"
118,"P08_012","SP0194"
119,"P08_012","SP0197"
120,"P08_012","SP0198"
121,"P08_012","SP0200"
122,"P08_012","SP0209"
123,"P08_012","SP0212"
124,"P08_012","SP0214"
125,"P08_012","SP0215"
126,"P08_012","SP0216"
127,"P08_013","SP0145"
128,"P08_013","SP0162"
129,"P08_013","SP0167"
130,"P08_013","SP0169"
131,"P08_013","SP0183"
132,"P08_013","SP0184"
133,"P08_013","SP0192"
134,"P08_013","SP0194"
135,"P08_013","SP0197"
136,"P08_013","SP0198"
137,"P08_013","SP0200"
138,"P08_013","SP0209"
139,"P08_013","SP0212"
140,"P08_013","SP0214"
141,"P08_013","SP0215"
142,"P08_013","SP0216"
143,"P08_014","SP0145"
144,"P08_014","SP0162"
145,"P08_014","SP0167"
146,"P08_014","SP0169"
147,"P08_014","SP0183"
148,"P08_014","SP0184"
149,"P08_014","SP0192"
150,"P08_014","SP0194"
151,"P08_014","SP0197"
152,"P08_014","SP0198"
153,"P08_014","SP0200"
154,"P08_014","SP0209"
155,"P08_014","SP0212"
156,"P08_014","SP0214"
157,"P08_014","SP0215"
158,"P08_014","SP0216"
159,"P08_015","SP0145"
160,"P08_015","SP0162"
161,"P08_015","SP0167"
162,"P08_015","SP0169"
163,"P08_015","SP0183"
164,"P08_015","SP0184"
165,"P08_015","SP0192"
166,"P08_015","SP0194"
167,"P08_015","SP0197"
168,"P08_015","SP0198"
169,"P08_015","SP0200"
170,"P08_015","SP0209"
171,"P08_015","SP0212"
172,"P08_015","SP0214"
173,"P08_015","SP0215"
174,"P08_015","SP0216"
175,"P07_001","SP0145"
176,"P07_001","SP0162"
177,"P07_001","SP0167"
178,"P07_001","SP0169"
179,"P07_001","SP0183"
180,"P07_001","SP0184"
181,"P07_001","SP0192"
182,"P07_001","SP0194"
183,"P07_001","SP0197"
184,"P07_001","SP0198"
185,"P07_001","SP0200"
186,"P07_001","SP0209"
187,"P07_001","SP0212"
188,"P07_001","SP0214"
189,"P07_001","SP0215"
190,"P07_001","SP0216"
191,"P07_002","SP0145"
192,"P07_002","SP0162"
193,"P07_002","SP0167"
194,"P07_002","SP0169"
195,"P07_002","SP0183"
196,"P07_002","SP0184"
197,"P07_002","SP0192"
198,"P07_002","SP0194"
199,"P07_002","SP0197"
200,"P07_002","SP0198"
201,"P07_002","SP0200"
202,"P07_002","SP0209"
203,"P07_002","SP0212"
204,"P07_002","SP0214"
205,"P07_002","SP0215"
206,"P07_002","SP0216"
207,"P07_003","SP0145"
208,"P07_003","SP0162"
209,"P07_003","SP0167"
210,"P07_003","SP0169"
211,"P07_003","SP0183"
212,"P07_003","SP0184"
213,"P07_003","SP0192"
214,"P07_003","SP0194"
215,"P07_003","SP0197"
216,"P07_003","SP0198"
217,"P07_003","SP0200"
218,"P07_003","SP0209"
219,"P07_003","SP0212"
220,"P07_003","SP0214"
221,"P07_003","SP0215"
222,"P07_003","SP0216"
223,"P07_004","SP0145"
224,"P07_004","SP0162"
225,"P07_004","SP0167"
226,"P07_004","SP0169"
227,"P07_004","SP0183"
228,"P07_004","SP0184"
229,"P07_004","SP0192"
230,"P07_004","SP0194"
231,"P07_004","SP0197"
232,"P07_004","SP0198"
233,"P07_004","SP0200"
234,"P07_004","SP0209"
235,"P07_004","SP0212"
236,"P07_004","SP0214"
237,"P07_004","SP0215"
238,"P07_004","SP0216"
239,"P07_005","SP0145"
240,"P07_005","SP0162"
241,"P07_005","SP0167"
242,"P07_005","SP0169"
243,"P07_005","SP0183"
244,"P07_005","SP0184"
245,"P07_005","SP0192"
246,"P07_005","SP0194"
247,"P07_005","SP0197"
248,"P07_005","SP0198"
249,"P07_005","SP0200"
250,"P07_005","SP0209"
251,"P07_005","SP0212"
252,"P07_005","SP0214"
253,"P07_005","SP0215"
254,"P07_005","SP0216"
255,"P07_006","SP0145"
256,"P07_006","SP0162"
257,"P07_006","SP0167"
258,"P07_006","SP0169"
259,"P07_006","SP0183"
260,"P07_006","SP0184"
261,"P07_006","SP0192"
262,"P07_006","SP0194"
263,"P07_006","SP0197"
264,"P07_006","SP0198"
265,"P07_006","SP0200"
266,"P07_006","SP0209"
267,"P07_006","SP0212"
268,"P07_006","SP0214"
269,"P07_006","SP0215"
270,"P07_006","SP0216"
271,"P07_007","SP0145"
272,"P07_007","SP0162"
273,"P07_007","SP0167"
274,"P07_007","SP0169"
275,"P07_007","SP0183"
276,"P07_007","SP0184"
277,"P07_007","SP0192"
278,"P07_007","SP0194"
279,"P07_007","SP0197"
280,"P07_007","SP0198"
281,"P07_007","SP0200"
282,"P07_007","SP0209"
283,"P07_007","SP0212"
284,"P07_007","SP0214"
285,"P07_007","SP0215"
286,"P07_007","SP0216"
287,"P07_008","SP0145"
288,"P07_008","SP0162"
289,"P07_008","SP0167"
290,"P07_008","SP0169"
291,"P07_008","SP0183"
292,"P07_008","SP0184"
293,"P07_008","SP0192"
294,"P07_008","SP0194"
295,"P07_008","SP0197"
296,"P07_008","SP0198"
297,"P07_008","SP0200"
298,"P07_008","SP0209"
299,"P07_008","SP0212"
300,"P07_008","SP0214"
301,"P07_008","SP0215"
302,"P07_008","SP0216"
303,"P07_009","SP0145"
304,"P07_009","SP0162"
305,"P07_009","SP0167"
306,"P07_009","SP0169"
307,"P07_009","SP0183"
308,"P07_009","SP0184"
309,"P07_009","SP0192"
310,"P07_009","SP0194"
311,"P07_009","SP0197"
312,"P07_009","SP0198"
313,"P07_009","SP0200"
314,"P07_009","SP0209"
315,"P07_009","SP0212"
316,"P07_009","SP0214"
317,"P07_009","SP0215"
318,"P07_009","SP0216"
319,"P07_010","SP0145"
320,"P07_010","SP0162"
321,"P07_010","SP0167"
322,"P07_010","SP0169"
323,"P07_010","SP0183"
324,"P07_010","SP0184"
325,"P07_010","SP0192"
326,"P07_010","SP0194"
327,"P07_010","SP0197"
328,"P07_010","SP0198"
329,"P07_010","SP0200"
330,"P07_010","SP0209"
331,"P07_010","SP0212"
332,"P07_010","SP0214"
333,"P07_010","SP0215"
334,"P07_010","SP0216"
335,"P07_011","SP0145"
336,"P07_011","SP0162"
337,"P07_011","SP0167"
338,"P07_011","SP0169"
339,"P07_011","SP0183"
340,"P07_011","SP0184"
341,"P07_011","SP0192"
342,"P07_011","SP0194"
343,"P07_011","SP0197"
344,"P07_011","SP0198"
345,"P07_011","SP0200"
346,"P07_011","SP0209"
347,"P07_011","SP0212"
348,"P07_011","SP0214"
349,"P07_011","SP0215"
350,"P07_011","SP0216"
351,"P07_012","SP0145"
352,"P07_012","SP0162"
353,"P07_012","SP0167"
354,"P07_012","SP0169"
355,"P07_012","SP0183"
356,"P07_012","SP0184"
357,"P07_012","SP0192"
358,"P07_012","SP0194"
359,"P07_012","SP0197"
360,"P07_012","SP0198"
361,"P07_012","SP0200"
362,"P07_012","SP0209"
363,"P07_012","SP0212"
364,"P07_012","SP0214"
365,"P07_012","SP0215"
366,"P07_012","SP0216"
367,"P07_013","SP0145"
368,"P07_013","SP0162"
369,"P07_013","SP0167"
370,"P07_013","SP0169"
371,"P07_013","SP0183"
372,"P07_013","SP0184"
373,"P07_013","SP0192"
374,"P07_013","SP0194"
375,"P07_013","SP0197"
376,"P07_013","SP0198"
377,"P07_013","SP0200"
378,"P07_013","SP0209"
379,"P07_013","SP0212"
380,"P07_013","SP0214"
381,"P07_013","SP0215"
382,"P07_013","SP0216"
383,"P07_014","SP0145"
384,"P07_014","SP0162"
385,"P07_014","SP0167"
386,"P07_014","SP0169"
387,"P07_014","SP0183"
388,"P07_014","SP0184"
389,"P07_014","SP0192"
390,"P07_014","SP0194"
391,"P07_014","SP0197"
392,"P07_014","SP0198"
393,"P07_014","SP0200"
394,"P06_001","SP0193"
395,"P06_001","SP0194"
396,"P06_001","SP0195"
397,"P06_001","SP0196"
398,"P06_001","SP0197"
399,"P06_001","SP0198"
400,"P06_001","SP0199"
401,"P06_001","SP0200"
402,"P06_001","SP0201"
403,"P06_001","SP0202"
404,"P06_001","SP0203"
405,"P06_001","SP0204"
406,"P06_001","SP0205"
407,"P06_001","SP0206"
408,"P06_001","SP0207"
409,"P06_001","SP0208"
410,"P06_001","SP0209"
411,"P06_001","SP0210"
412,"P06_001","SP0211"
413,"P06_001","SP0212"
414,"P06_001","SP0213"
415,"P06_001","SP0214"
416,"P06_001","SP0215"
417,"P09_010","SP0240"
418,"P09_010","SP0241"
419,"P09_010","SP0243"
420,"P09_010","SP0244"
421,"P09_010","SP0245"
422,"P09_010","SP0247"
423,"P09_010","SP0250"
424,"P09_010","SP0252"
425,"P09_010","SP0254"
426,"P09_010","SP0256"
427,"P09_010","SP0260"
428,"P09_010","SP0262"
429,"P09_010","SP0263"
430,"P09_010","SP0265"
431,"P09_010","SP0269"
432,"P09_010","SP0271"
433,"P09_010","SP0273"
434,"P09_010","SP0274"
435,"P09_010","SP0276"
436,"P09_010","SP0277"
437,"P09_010","SP0284"
438,"P09_010","SP0286"
439,"P09_010","SP0287"
440,"P09_010","SP0291"
441,"P09_010","SP0412"
442,"P09_010","SP0413"
443,"P09_010","SP0414"
444,"P09_010","SP0415"
445,"P09_010","SP0416"
446,"P09_010","SP0421"
447,"P09_010","SP0434"
448,"P09_010","SP0435"
449,"P09_010","SP0438"
450,"P09_010","SP0445"
451,"P09_010","SP0446"
452,"P09_010","SP0447"
453,"P09_010","SP0448"
454,"P09_010","SP0457"
455,"P09_011","SP0139"
456,"P09_011","SP0140"
457,"P09_011","SP0141"
458,"P09_011","SP0142"
459,"P09_011","SP0145"
460,"P09_011","SP0153"
461,"P09_011","SP0155"
462,"P09_011","SP0160"
463,"P09_011","SP0162"
464,"P09_011","SP0163"
465,"P09_011","SP0165"
466,"P09_011","SP0173"
467,"P09_011","SP0175"
468,"P09_011","SP0179"
469,"P09_011","SP0181"
470,"P09_011","SP0184"
471,"P09_011","SP0185"
472,"P09_011","SP0186"
473,"P09_011","SP0194"
474,"P09_011","SP0195"
475,"P09_011","SP0198"
476,"P09_011","SP0199"
477,"P09_011","SP0201"
478,"P09_011","SP0202"
479,"P09_011","SP0206"
480,"P09_011","SP0207"
481,"P09_011","SP0208"
482,"P09_011","SP0210"
483,"P09_011","SP0211"
484,"P09_011","SP0213"
485,"P09_011","SP0217"
486,"P09_011","SP0218"
487,"P09_011","SP0219"
488,"P09_011","SP0221"
489,"P09_011","SP0222"
490,"P09_011","SP0225"
491,"P09_011","SP0226"
492,"P09_011","SP0228"
493,"P09_011","SP0229"
494,"P09_011","SP0230"
495,"P09_011","SP0231"
496,"P09_011","SP0232"
497,"P09_011","SP0234"
498,"P09_011","SP0235"
499,"P09_011","SP0236"
500,"P09_011","SP0237"
501,"P09_011","SP0238"
502,"P09_011","SP0239"
503,"P09_011","SP0240"
504,"P09_011","SP0241"
505,"P09_011","SP0243"
506,"P09_011","SP0244"
507,"P09_011","SP0245"
508,"P09_011","SP0247"
509,"P09_011","SP0250"
510,"P09_011","SP0252"
511,"P09_011","SP0254"
512,"P09_011","SP0256"
513,"P09_011","SP0260"
514,"P09_011","SP0262"
515,"P09_011","SP0263"
516,"P09_011","SP0265"
517,"P09_011","SP0269"
518,"P09_011","SP0271"
519,"P09_011","SP0273"
520,"P09_011","SP0274"
521,"P09_011","SP0276"
522,"P09_011","SP0277"
523,"P09_011","SP0284"
524,"P09_011","SP0286"
525,"P09_011","SP0287"
526,"P09_011","SP0291"
527,"P09_011","SP0412"
528,"P09_011","SP0413"
529,"P09_011","SP0414"
530,"P09_011","SP0415"
531,"P09_011","SP0416"
532,"P09_011","SP0421"
533,"P09_011","SP0434"
534,"P09_011","SP0435"
535,"P09_011","SP0438"
536,"P09_011","SP0445"
537,"P09_011","SP0446"
538,"P09_011","SP0447"
539,"P09_011","SP0448"
540,"P09_011","SP0457"
541,"P09_012","SP0115"
542,"P09_012","SP0117"
543,"P09_012","SP0119"
544,"P09_012","SP0121"
545,"P09_012","SP0123"
546,"P09_012","SP0124"
547,"P09_012","SP0125"
548,"P09_012","SP0127"
549,"P09_012","SP0131"
550,"P09_012","SP0417"
551,"P09_012","SP0418"
552,"P09_012","SP0422"
