"Sequence Number","Commodity","ProductionValue","ProductionType"
"BO0292","Au","A","oz"
"BO0296","Au","B","oz"
"BO0302","Au","C","oz"
"BO0304","Au","C","oz"
"BO0315","Au","A","oz"
"BO0316","Au","B","oz"
"BO0320","Au","A","oz"
"BO0323","Au","A","oz"
"BO0324","Au","A","oz"
"BO0327","Au","A","oz"
"BO0329","Au","C","oz"
"BO0331","Au","A","oz"
"BO0334","Au","A","oz"
"BO0335","Au","A","oz"
"BO0336","Au","A","oz"
"BO0343","Au","D","oz"
"BO0344","Au","C","oz"
"BO0345","Au","C","oz"
"BO0346","Au","A","oz"
"BO0347","Au","A","oz"
"BO0348","Au","B","oz"
"BO0349","Au","A","oz"
"BO0350","Au","A","oz"
"BO0351","Au","A","oz"
"BO0381","Au","A","oz"
"BO0382","Au","A","oz"
"BO0383","Au","B","oz"
"BO0384","Au","A","oz"
"BO0396","Au","A","oz"
"BO0398","Au","C","oz"
"BO0404","Au","A","oz"
"BO0408","Au","C","oz"
"BO0409","Au","A","oz"
"BO0410","Au","E","oz"
"BO0423","Au","A","oz"
"BO0437","Au","C","oz"
"BO0439","Au","A","oz"
"BO0456","Au","C","oz"
"BO0458","Au","C","oz"
"BO0459","Au","A","oz"
"BO0464","Au","B","oz"
"CH0028","Au","A","oz"
"CH0041","Au","B","oz"
"CH0050","Au","G","oz"
"CH0057","Au","A","oz"
"CH0069","Au","E","oz"
"CH0087","Au","E","oz"
"CH0088","Au","C","oz"
"CH0093","Au","A","oz"
"CH0097","Au","B","oz"
"CH0098","Au","A","oz"
"CH0100","Au","C","oz"
"CH0103","Au","C","oz"
"CH0105","Au","A","oz"
"CH0106","Au","A","oz"
"CH0107","Au","A","oz"
"CH0110","Au","A","oz"
"CH0111","Au","A","oz"
"CH0122","Au","A","oz"
"CH0126","Au","F","oz"
"CH0127","Au","I","oz"
"CH0133","Au","H","oz"
"CH0141","Au","A","oz"
"CH0173","Au","A","oz"
"CH0190","Au","A","oz"
"CH0195","Ag","A","oz"
"CH0198","Au","B","oz"
"CH0199","Au","B","oz"
"CH0200","Au","C","oz"
"CH0209","Au","C","oz"
"CH0213","Au","C","oz"
"CH0236","Au","A","oz"
"CH0243","Au","A","oz"
"CH0244","Ag","C","oz"
"CH0249","Ag","C","oz"
"CH0251","Au","C","oz"
"CH0269","Au","A","oz"
"CH0280","Au","G","oz"
"CH0288","Ag","C","oz"
"CH0289","Au","A","oz"
"CH0290","Ag","A","oz"
"CH0310","Au","A","oz"
"CH0342","Au","A","oz"
"CH0346","Au","B","oz"
"CH0348","Au","C","oz"
"CH0349","Au","A","oz"
"CH0350","Au","E","oz"
"CH0351","Au","A","oz"
"CH0352","Au","D","oz"
"CH0354","Ag","B","oz"
"CH0358","Au","C","oz"
"CH0362","Au","A","oz"
"CH0363","Au","G","oz"
"CH0368","Au","A","oz"
"CH0369","Au","C","oz"
"CH0373","Ag","C","oz"
"CH0375","Au","A","oz"
"CH0376","Au","A","oz"
"CH0377","Au","B","oz"
"CH0378","Au","A","oz"
"CH0379","Ag","E","oz"
"CH0384","Au","A","oz"
"CH0385","Au","B","oz"
"CH0386","Au","A","oz"
"CH0390","Au","A","oz"
"CH0391","Ag","C","oz"
"CH0396","Au","A","oz"
"CH0398","Au","A","oz"
"CH0400","Au","B","oz"
"CH0402","Au","A","oz"
"CH0403","Au","C","oz"
"CH0407","Au","A","oz"
"CH0411","Au","B","oz"
"CH0412","Au","A","oz"
"CH0417","Ag","B","oz"
"CH0419","Au","A","oz"
"CH0746","Au","C","oz"
"CH0747","Au","E","oz"
"CH0748","Au","A","oz"
"CH0752","Au","A","oz"
"CH0753","Au","A","oz"
