"ID","PropertyNumber","PropertyScanName","OriginalFileName","FileSize","FileName","ItemType","InfoText","Maps","Author","Comments","FolderName","Dates","MapsToReview","Rescan_file","xRef_Prop_Comments","Year","Company","Initials","EntryDate"
72,"BO0057","BO0057-m018",,1099,"BO0057-m018.pdf","map","Whitman-Checkmate Group Major Underground Workings.",1,"R.J. Briggs and P.B. Bronken",,,"Jun. 11, 1949",,FALSE,,1949,"Idaho Consolidated Mines",,
73,"BO0057","BO0057-m019",,2105,"BO0057-m019.pdf","map","Leviathan Lode Claim and Vicinity.",1,"G.W. Ball",,,"Mar. 22, 1900",,FALSE,,1900,"Superior Mining Co.",,
74,"BO0057","BO0057-m020",,4604,"BO0057-m020.pdf","map","Leviathan-Checkmate Vein Cross Section.",1,,,,"undated",,FALSE,,9999,,,
75,"BO0057","BO0057-m021",,2394,"BO0057-m021.pdf","map","West View Mining District Claims Area.",1,,,,"undated",,FALSE,,9999,,,
76,"BO0057","BO0057-m022",,4375,"BO0057-m022.pdf","map","H.J. Braun Lode Claim and Vicinity.",1,"G.W. Ball",,,"Apr. 4, 1900",,FALSE,,1900,,,
77,"BO0058","BO0058-m001",,2557,"BO0058-m001.pdf","map","Red Warrior Lode Claim and Vicinity.",1,"John B. Hastings",,,"Apr. 23, 1896",,FALSE,,1896,,,
78,"BO0058","BO0058-m002",,3731,"BO0058-m002.pdf","map","Red Warrior Lode Claim.",1,"C.C. Stevenson",,,"Oct. 27, 1900",,FALSE,,1900,,,
79,"BO0058","BO0058-m003",,2860,"BO0058-m003.pdf","map","Trial Lode Claim and Vicinity.",1,"E.B. True",,,"Oct. 24, 1902",,FALSE,,1902,,,
80,"BO0059","BO0059-m001",,270,"BO0059-m001.pdf","map","Plan Showing Checkmate Tunnel and its Relation to Whitman and Braun Tunnels as corrected.",1,"A. Lakes",,,"Apr. 27, 1948",,FALSE,,1948,,,
81,"BO0059","BO0059-m002",,301,"BO0059-m002.pdf","map","Geological and Assay Plan of Red Warrior Vein, Checkmate Tunnel.",1,"A. Lakes",,"Boise","1948",,FALSE,,1948,,,
82,"BO0059","BO0059-m004",,2986,"BO0059-m004.pdf","map","Geological and Assay Plan of Red Warrior Vein, Checkmate Tunnel.",1,"A. Lakes",,"Boise","1948",,FALSE,,1948,,,
83,"BO0059","BO0059-m005",,1077,"BO0059-m005.pdf","map","Claim Map Checkmate Lease, Pearl District, West View Mining District.",1,"A.C. Merritt",,,"Aug. 23, 1943",,FALSE,,1943,,,
84,"BO0059","BO0059-m006",,758,"BO0059-m006.pdf","map","Plan Showing Checkmate Tunnel and its Relation to Whitman and Braun Tunnels as corrected.",1,"A. Lakes",,,"Apr. 27, 1948",,FALSE,,1948,,,
85,"BO0059","BO0059-m007",,591,"BO0059-m007.pdf","map","Longitudinal Section Looking South Along Leviathan and Checkmate Veins.",1,"A. Lakes",,,"1946",,FALSE,,1946,,,
86,"BO0059","BO0059-m008",,1221,"BO0059-m008.pdf","map","Plan of Leviathan-J.I.C., Checkmate, and adjoining properties.",1,"A. Lakes",,,"1946",,FALSE,,1946,,,
87,"BO0059","BO0059-m009",,693,"BO0059-m009.pdf","map","Cross Section view of Checkmate Crosscuts..",1,"A. Lakes",,,"1946",,FALSE,,1946,,,
88,"BO0059","BO0059-m010",,1495,"BO0059-m010.pdf","map","Pearl Project, Assay Plan, Red Warrior Vein Checkmate Tunnel.",1,"A. Lakes, Redrawn by S. Hembree",,,"Jul. 18, 1980",,FALSE,,1980,"Moneca Mine Development",,
89,"BO0059","BO0059-m011",,732,"BO0059-m011.pdf","map","Pearl Project, Checkmate Adit and Workings.",1,"S. Hembree",,,"Aug. 27, 1980",,FALSE,,1980,"Moneca Mine Development",,
90,"BO0059","BO0059-m012",,1465,"BO0059-m012.pdf","map","Pearl Project, Checkmate Tunnel.",1,"S. Hembree",,,"Nov. 21, 1980",,FALSE,,1980,"Moneca Mine Development",,
91,"BO0059","BO0059-m013",,595,"BO0059-m013.pdf","map","Pearl Project, Checkmate Tunnel Finnegan Test Holes.",1,"S. Hembree",,,"Nov. 21, 1980",,FALSE,,1980,"Moneca Mine Development",,
92,"BO0059","BO0059-m014",,1236,"BO0059-m014.pdf","map","Claim Map Checkmate Lease, Pearl District, West View Mining District.",1,"A.C. Merritt",,,"Aug. 23, 1943",,FALSE,,1943,,,
93,"BO0059","BO0059-m015",,6409,"BO0059-m015.pdf","map","Pearl Project, Claims and Topography, Underground Workings, Diamond Drill Holes.",1,"S. Hembree",,,"Drawn Sep. 8, 1980; Revised Nov. 18, 1980",,FALSE,,1980,"Moneca Mine Development",,
94,"BO0059","BO0059-m016",,4157,"BO0059-m016.pdf","map","Pearl Project, Claims and Topography.",1,"S. Hembree",,,"Jul. 30, 1980",,FALSE,,1980,"Moneca Mine Development",,
95,"BO0059","BO0059-m017",,2550,"BO0059-m017.pdf","map","Pearl Project, Claims and Underground Workings.",1,"S. Hembree",,,"Jul. 18, 1980",,FALSE,,1980,"Moneca Mine Development",,
96,"BO0059","BO0059-m018",,1936,"BO0059-m018.pdf","map","Pearl Project, Claims.",1,"R.A. Milne Redrawn by S. Hembree",,,"Oct. 30, 1980",,FALSE,,1980,"Moneca Mine Development",,
97,"BO0059","BO0059-m019",,3838,"BO0059-m019.pdf","map","Pearl Project, Claims, Topography, Underground Workings and Drill Hole Locations.",1,"S. Hembree",,,"Aug. 4, 1980",,FALSE,,1980,"Moneca Mine Development",,
98,"BO0059","BO0059-m020",,2608,"BO0059-m020.pdf","map","Pearl Project, Claims.",1,"S. Hembree",,,"Nov. 17, 1980",,FALSE,,1980,"Moneca Mine Development",,
99,"BO0059","BO0059-m021",,3086,"BO0059-m021.pdf","map","Pearl Project, Cross Section Through PS-11.",1,"S. Hembree",,,"Oct. 9, 1980",,FALSE,,1980,"Moneca Mine Development",,
100,"BO0059","BO0059-m022",,3168,"BO0059-m022.pdf","map","Pearl Project, Cross Section Through PS-13 and PS-14.",1,"S. Hembree",,,"Dec. 18, 1980",,FALSE,,1980,"Moneca Mine Development",,
101,"BO0059","BO0059-m023",,3305,"BO0059-m023.pdf","map","Pearl Project, Cross Section Through PS-3.",1,"S. Hembree",,,"Jul. 25, 1980 to Oct. 16, 1980",,FALSE,,1980,"Moneca Mine Development",,
102,"BO0059","BO0059-m024",,899,"BO0059-m024.pdf","map","Pearl Project, Cross Sections on the East Shaft Dump.",1,"S. Hembree",,,"Oct. 14, 1980",,FALSE,,1980,"Moneca Mine Development",,
103,"BO0059","BO0059-m025",,1788,"BO0059-m025.pdf","map","Pearl Project, East Shaft Dump Reverse Rotary Drill Holes and Assays.",1,"S. Hembree",,,"Oct. 3, 1980",,FALSE,,1980,"Moneca Mine Development",,
104,"BO0059","BO0059-m026",,1526,"BO0059-m026.pdf","map","Pearl Project, Geology Plan, Red Warrior Vein, Checkmate Tunnel.",1,"S. Hembree",,,"Jul. 21, 1980",,FALSE,,1980,"Moneca Mine Development",,
105,"BO0059","BO0059-m027",,2665,"BO0059-m027.pdf","map","Pearl Project, Plan View and Cross Sections of the Checkmate Dump.",1,"S. Hembree",,,"Nov. 12, 1980",,FALSE,,1980,"Moneca Mine Development",,
