"Reference_ID","Title","YearDate","In","SecondTitle","SecondTitleDate","abstract","Publisher","nd","publisherAbbv","pubCity","pubState","volume","number","edition","Institution","Series_Type","PubNumber","PageCount","PlateCount","SheetCount","Scale","Pages","Hyperlink","YearHyperlink","Anno","EnterDate","EditDate","Initials","Notes","OldReference","Pub_ID","Origin","URL_INTRA","Folder","FileName","URL","URL_Year"
1,"Monazite Deposits in Calcareous Rocks, Northern Lemhi County, Idaho","1954",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-99",,,,,,,"Pamphlet","P-99",,,,,,,,,,,,,"Abbott, 1954, IBMG P-99.","P-99","IGS",,,,,
2,"Mineral resources of the Little Owyhee River Wilderness study area, Owyhee County, Idaho","1986",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1719-C",,,,,,,"Bulletin","1719-C",,,,,,"http://pubs.er.usgs.gov/publication/b1719C",2015,,,"2016-09-09 00:00:00",,,"Ach and others, 1986, USGS B-1719-C.",,,,,,,
3,"Rhabdophane from a Rare-Earth Occurrence, Valley County, Idaho","1968",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS PP-600-B",,,,,,,"Professional Paper","600-B",,,,,,"http://pubs.er.usgs.gov/publication/pp600B",2015,,,,,,"Adams, 1968, USGS PP-600-B.",,,,,,,
4,"Albany Lead Mining Company Annual Report","1917",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection","WL0314_001",,,,,,,,,,,,,"Albany Lead Mining Co., 1917, Albany Lead Mining Co. Rept. to Idaho Inspector of Mines.",,,,,,,
5,"Preliminary geologic map of the Garns Mountain NE quadrangle, Teton County, Idaho","1964",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"Mineral Investigations Field Studies Map MF-274",,,,,,,"Map","MF-274",,,,,,"http://ngmdb.usgs.gov/Prodesc/proddesc_2693.htm",2015,,,,,,"Albee, 1964, USGS Map MF-274.",,,,,,,
6,"Geology and Ore Deposits of the Volcano District, Elmore County, Idaho","1940",FALSE,,,FALSE,"University of Idaho",FALSE,"Thesis",,,,,,,"M.S. Thesis",,,,,,,,,,,,,"IGS Thesis Collection","Allen, 1940, Univ. of Idaho M.S. thesis.",,,,,,,
7,"Geology and mineralization of the Volcano District, Elmore County, Idaho","1952",FALSE,,,FALSE,"Economic Geology",FALSE,"Economic Geology, December 1952, v. 47",,,"47",,,,,,,,,,,"http://econgeol.geoscienceworld.org/content/47/8/815.full.pdf+html",2015,,,,,,"Allen, 1952, Econ. Geo., v. 47, no. 8.",,,,,,,
8,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,"Unable to locate (2015)","Alstine, 1956, US Atomic Energy Comm. Valley County Prelim. Rept., File NW-69.",,,,,,,
9,"Alta Mining Company, Inc. Annual Report","1915",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Alta Mining Co., Ltd., 1915, Alta Mining Co., Ltd. Rept. to Idaho Mines Inspector.",,,,,,,
10,"Detailed Geology of Certain Areas in the Mineral Hill and Warm Springs Mining Districts, Blaine County, Idaho","1950",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-90",,,,,,,"Pamphlet","P-90",,,,,,,,,,,,,"Anderson and others, 1950, IBMG P-90.","P-90","IGS",,,,,
11,"Lead-Zinc-Copper Deposits of the Birch Creek District, Clark and Lemhi Counties, Idaho","1944",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-70",,,,,,,"Pamphlet","P-70",,,,,,,,,,,,,"Anderson and Wagner, 1944, IBMG P-70.","P-70","IGS",,,,,
12,"A Geological Reconnaissance in the Little Wood River (Muldoon) District, Blaine County, Idaho","1946",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-75",,,,,,,"Pamphlet","P-75",,,,,,,,,,,,,"Anderson and Wagner, 1946, IBMG P-75.","P-75","IGS",,,,,
13,"A Geological Reconnaissance of the Hailey Gold Belt (Camas District), Blaine County, Idaho","1946",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-76",,,,,,,"Pamphlet","P-76",,,,,,,,,,,,,"Anderson and Wagner, 1946, IBMG P-76.","P-76","IGS",,,,,
14,"Reconnaissance Geology and Ore Deposits of the Mineral District, Washington County, Idaho","1952",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-95",,,,,,,"Pamphlet","P-95",,,,,,,,,,,,,"Anderson and Wagner, 1952, IBMG P-95.","P-95","IGS",,,,,
15,"Mica Deposits of Latah County, Idaho","1925",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-14",,,,,,,"Pamphlet","P-14",,,,,,,,,,,,,"Anderson, 1925, IBMG P-14.","P-14","IGS",,,,,
16,"A Geological Reconnaissance in the St. Maries Region, Idaho","1928",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-30",,,,,,,"Pamphlet","P-30",,,,,,,,,,,,,"Anderson, 1928, IBMG P-30.","P-30","IGS",,,,,
17,"Geology and Ore Deposits of the Lava Creek District, Idaho","1929",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-32",,,,,,,"Pamphlet","P-32",,,,,,,,,,,,,"Anderson, 1929, IBMG P-32.","P-32","IGS",,,,,
18,"Geology and Ore Deposits of the Clark Fork District, Idaho","1930",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG B-12",,,,,,,"Bulletin","B-12",,,,,,,,,,,,,"Anderson, 1930, IBMG B-12.","B-12","IGS",,,,,
