"ID","Reference_ID","Metric","AuthorType","LastName","Initials","FirstName","Suffix","in"
365,92,1,1,"Brackebusch","F.W.",,,FALSE
366,93,1,1,"Breckenridge","R.M.",,,FALSE
367,94,1,1,"Breger","C.L.",,,FALSE
368,95,1,1,"Brill","K.G. Jr.",,,FALSE
369,97,1,1,"Bruce","W.R.",,,FALSE
370,98,1,1,"Buehler","A.R.",,,FALSE
371,99,1,1,"Buehler","A.R.",,,FALSE
372,100,1,1,"Buehler","A.R.",,,FALSE
373,102,1,1,"Calkins","F.C.",,,FALSE
374,103,1,1,"Calkins","F.C.",,,FALSE
375,104,1,1,"Callahan","E.",,,FALSE
376,106,1,1,"Campbell","A.B.",,,FALSE
377,130,1,1,"Capps","S.R.",,,FALSE
378,131,1,1,"Capps","S.R.",,,FALSE
379,132,1,1,"Capstick","D.O.",,,FALSE
380,133,1,1,"Capstick","D.O.",,,FALSE
381,134,1,1,"Capstick","D.O.",,,FALSE
382,135,1,1,"Carr","H.C.",,,FALSE
383,136,1,1,"Carter","G.J.",,,FALSE
384,137,1,1,"Carter","W.D.",,,FALSE
385,140,1,1,"Carter","F.W.",,,FALSE
386,141,1,1,"Carter","F.W.",,,FALSE
387,142,1,1,"Cather","E.E.",,,FALSE
388,143,1,1,"Causey","J.D.",,,FALSE
389,144,1,1,"Causey","J.D.",,,FALSE
390,146,1,1,"Chesson","S.A.",,,FALSE
391,147,1,1,"Choate","R.",,,FALSE
392,148,1,1,"Choate","R.",,,FALSE
393,149,1,1,"Choate","R.",,,FALSE
394,151,1,1,"Close","T.J.",,,FALSE
395,152,1,1,"Close","T.J.",,,FALSE
396,153,1,1,"Close","T.J.",,,FALSE
397,154,1,1,"Close","T.J.",,,FALSE
398,155,1,1,"Close","T.J.",,,FALSE
399,157,1,1,"Collier","A.J.",,,FALSE
400,159,1,1,"Cook","E.F.",,,FALSE
401,160,1,1,"Cook","E.F.",,,FALSE
402,161,1,1,"Cook","E.F.",,,FALSE
403,162,1,1,"Cooper","J.R.",,,FALSE
404,166,1,1,"Cox","D.C.",,,FALSE
405,167,1,1,"Currier","L.W.",,,FALSE
406,169,1,1,"Darling","R.S.",,,FALSE
407,170,1,1,"DeLong","R.F.",,,FALSE
408,171,1,1,"Denton","D.K. Jr.",,,FALSE
409,407,1,1,"Gillerman","V.S.",,,FALSE
410,408,1,1,"Erdman","J.A.",,,FALSE
411,409,1,1,"Erdman","T.",,,FALSE
412,410,1,1,"Erdman","T.",,,FALSE
413,411,1,1,"Erdman","T.",,,FALSE
414,412,1,1,"Erdman","T.",,,FALSE
415,414,1,1,"Erdman and Mitchell",,,,FALSE
416,418,1,1,"Eversmeyer",,,,FALSE
417,433,1,1,"Fryklund",,,,FALSE
418,445,1,1,"Gere",,,,FALSE
419,449,1,1,"Gillerman and Griggs",,,,FALSE
420,450,1,1,"Gillerman and Griggs",,,,FALSE
421,451,1,1,"Gillerman and Griggs",,,,FALSE
422,452,1,1,"Gillerman and Griggs",,,,FALSE
423,453,1,1,"Gillerman and Griggs",,,,FALSE
424,454,1,1,"Gillerman and others",,,,FALSE
425,455,1,1,"Gillerman and others",,,,FALSE
426,456,1,1,"Gillerman and Schiappa",,,,FALSE
427,457,1,1,"Gillerman",,,,FALSE
428,458,1,1,"Gillerman",,,,FALSE
429,470,1,1,"Griffitts",,,,FALSE
430,491,1,1,"Hobbs",,,,FALSE
431,498,1,1,"Hosterman",,,,FALSE
432,501,1,1,"Hubbard",,,,FALSE
433,503,1,1,"Hubbard",,,,FALSE
