"CrossRef_ID","PropertyScanName","CrossRefProp"
1,"BA0024-m009","BA0023"
2,"BA0024-m009","BA0025"
3,"BA0024-m009","BA0026"
4,"BA0024-m009","BA0077"
5,"BA0024-m009","BA0201"
6,"BA0033-m001","BA0069"
7,"BA0033-m001","BA0070"
8,"BA0033-m001","BA0071"
9,"BA0033-m001","BA0072"
10,"BA0033-m001","BA0078"
11,"BO0033-m001","BO0050"
12,"BO0033-m001","BO0054"
13,"BO0034-m001","BO0031"
14,"BO0034-m001","BO0033"
15,"BO0034-m001","BO0035"
16,"BO0034-m001","BO0037"
17,"BO0034-m001","BO0038"
18,"BO0034-m001","BO0039"
19,"BO0034-m001","BO0043"
20,"BO0034-m001","BO0050"
21,"BO0034-m002","BO0028"
23,"BO0034-m002","BO0035"
24,"BO0034-m002","BO0036"
25,"BO0034-m002","BO0039"
26,"BO0034-m002","BO0043"
27,"BO0034-m002","BO0046"
28,"BO0034-m002","BO0047"
29,"BO0034-m002","BO0051"
30,"BO0034-m002","BO0052"
31,"BO0034-m002","BO0053"
32,"BO0034-m002","BO0054"
33,"BO0034-m002","BO0055"
34,"BO0034-m002","BO0056"
35,"BO0043-m001","BO0035"
36,"BO0043-m002","BO0034"
37,"BO0043-m003","BO0034"
38,"BO0043-m003","BO0035"
39,"BO0043-m003","BO0039"
40,"BO0043-m003","BO0046"
41,"BO0043-m003","BO0050"
42,"BO0046-m001","BO0047"
43,"BO0046-m001","BO0050"
44,"BO0046-m001","BO0051"
45,"BO0046-m001","BO0057"
46,"BO0046-m001","BO0058"
47,"BO0046-m001","BO0059"
48,"BO0046-m001","BO0060"
49,"BO0047-m001","BO0046"
50,"BO0047-m002","BO0046"
51,"BO0047-m002","BO0050"
52,"BO0050-m002","BO0046"
53,"BO0050-m002","BO0047"
54,"BO0051-m001","BO0059"
55,"BO0053-m003","BO0054"
56,"BO0055-m003","BO0033"
57,"BO0055-m003","BO0045"
58,"BO0055-m003","BO0050"
59,"BO0055-m003","BO0054"
60,"BO0055-m003","BO0074"
61,"BO0055-m003","BO0075"
62,"BO0056-m004","BO0054"
63,"BO0056-m004","BO0055"
64,"BO0056-m005","BO0057"
65,"BO0056-m005","BO0058"
66,"BO0056-m008","BO0057"
67,"BO0056-m008","BO0058"
68,"BO0057-m018","BO0059"
69,"BO0057-m019","BO0056"
70,"BO0057-m019","BO0058"
71,"BO0057-m020","BO0059"
72,"BO0057-m021","BO0028"
73,"BO0057-m021","BO0034"
74,"BO0057-m021","BO0035"
75,"BO0057-m021","BO0036"
76,"BO0057-m021","BO0039"
77,"BO0057-m021","BO0043"
78,"BO0057-m021","BO0046"
79,"BO0057-m021","BO0047"
80,"BO0057-m021","BO0050"
81,"BO0057-m021","BO0051"
82,"BO0057-m021","BO0052"
83,"BO0057-m021","BO0053"
84,"BO0057-m021","BO0054"
85,"BO0057-m021","BO0055"
86,"BO0057-m021","BO0056"
88,"BO0057-m021","BO0058"
89,"BO0057-m021","BO0059"
90,"BO0057-m021","BO0060"
91,"BO0057-m021","BO0061"
92,"BO0057-m021","BO0066"
93,"BO0057-m021","BO0067"
94,"BO0057-m021","BO0069"
95,"BO0057-m021","BO0071"
96,"BO0057-m022","BO0058"
97,"BO0058-m001","BO0057"
98,"BO0059-m001","BO0053"
99,"BO0059-m001","BO0055"
100,"BO0059-m001","BO0057"
101,"BO0059-m001","BO0058"
102,"BO0059-m002","BO0058"
103,"BO0059-m005","BO0053"
104,"BO0059-m005","BO0055"
105,"BO0059-m005","BO0057"
106,"BO0059-m005","BO0058"
107,"BO0059-m006","BO0053"
108,"BO0059-m006","BO0055"
109,"BO0059-m006","BO0057"
110,"BO0059-m006","BO0058"
111,"BO0059-m007","BO0053"
112,"BO0059-m007","BO0055"
113,"BO0059-m007","BO0057"
114,"BO0059-m007","BO0058"
115,"BO0059-m008","BO0053"
116,"BO0059-m008","BO0055"
117,"BO0059-m008","BO0057"
118,"BO0059-m008","BO0058"
119,"BO0059-m015","BO0028"
120,"BO0059-m015","BO0052"
121,"BO0059-m015","BO0053"
122,"BO0059-m015","BO0055"
