"ID","SequenceNumber","NEWLOC","DEPOSIT","REFNAME","DESC_CHANGE","DATE_CHANGE","BASIS_CHANGE","RESEARCHER","ADD_NOTES","CLEANUP_Y_","Query_or_Sort","PreviousDatabseName"
1,"BA0058","BA0058","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
2,"BA0079","BA0079","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
3,"BA0080","BA0080","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
4,"BA0106p","BA0106","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
5,"BO0057p","BO0057","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
6,"BO0065p","BO0065","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
7,"BO0099p","BO0099","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
8,"BO0123p","BO0123","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
9,"BO0139p","BO0139","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
10,"BO0140p","BO0140","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
11,"BO0149p","BO0149","placer production",,"Deleted from Mines table. Verified deleted from MinesIndex table.","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
