"KeyField","RecordID","MapLoc","PropertyName","LastUpdated","Action_taken","Notes","Notes2"
1,"WL0226","WL0226","Hardscrabble","1999-02-19 00:00:00","name modified","""Hardscrabble Claim Group"" changed to ""Hardscrabble Group""",
2,"WL0236","WL0236","Silver Rock","1999-02-18 00:00:00","HARDFILE changed to ""N""","The material in the file was for the Silver Rock property that became part of the Rainbow Mine.",
3,"WL0258","WL0258","Eastern Star","1999-02-18 00:00:00","location updated","Location  MOVED to the adit symbols near Glidden Pass.",
4,"WL0277","WL0277","Burke Property Prospect","1999-02-19 00:00:00","reference changed","Hobbs and others (1975) map does not cover the area where this property is located.  CRIB printout cites thew Western Mining News 1974-75 directory as its source for this location.",
5,"WL0304","WL0304","Blue Ribbon","1999-02-17 00:00:00","synonym added","Full Moon was the original name of this property, per notes on Mine Inspector's forms.",
6,"WL0371","WL0371","Rainbow","1999-02-18 00:00:00","synonym added","This synonym (Silver Rock) is referenced as a separate property in the 1912 IMIR (p. 180).  The claims were part of the Rainbow by 1914.",
7,"WL0433","WL0433","Beacon Light","1999-02-17 00:00:00","synonym added.","Silver Cliff Prospect added as synonym for Beacon Light, as per notes on WL 433b and WL 437.",
8,"WL0433","WL0437","Silver Cliff Prospect","1999-02-17 00:00:00","data reassigned to this property","As per notes on WL 437, Silver Cliff is believed to be an older name for Beacon Light.",
9,"WL0437","WL0437","Silver Cliff Prospect","1999-02-17 00:00:00","deleted; combined with WL 433","Location in Ransom and Calkins (1908) is same as shown by Hobbs and others (1965) for Beacon Light.",
10,"WL0439","WL0439","Princeton-Magna","1999-02-17 00:00:00","location moved","Location moved to the adit symbol on the opposite side of the South Fork CdA River",
11,"WL0442","WL0442","New York","1999-02-24 00:00:00","synonym added","New York location is from Hobbs and others (1965); Bitter Root Pospect (Ransome and Calkins, 1908; IGS mineral property files) consisted of the New York, Lookout, and Sunflower patented claims.",
12,"WL0442","WL0449","New York","1999-02-24 00:00:00","data moved from WL-449","this is data for the Bitter Root Prospect, which is a synonym for New York.  Both properties are part of the Atlas Group.",
13,"WL0449","WL0449","Bitter Root","1999-02-24 00:00:00","data reassigned to WL 442","Bitter Root is a synonym for the New York Prospect shown on Hobbs and others, 1965, Plate 4.",
14,"WL0445","WL0445","Central Prospect","1999-02-25 00:00:00","synonym added","Property became part of the Atlas Mining Company's holdings in 1926.",
15,"HA0355","HA0355","Eclipse","1999-03-04 00:00:00","location changed","The locations of the Eclipse and the Assault appear to be reversed in Anderson and others (1950).  Umpleby and others (1930, Plate 9) shows the Eclipse in this location.  Other information on the Croesus and surrounding properties supports this location for the property, rather than Anderson's.",
16,"HA0356","HA0356","Assault","1999-03-04 00:00:00","location changed","The locations of the Eclipse and the Assault appear to be reversed in Anderson and others (1950).  Umpleby and others (1930, Plate 9) shows the Hope claims (which are believed to be the same as Anderson's ""Assault Group"") in this location.  Other information on the Croesus and surrounding properties supports this location for the property, rather than Anderson's.",
17,"HA0356","HA0356","Assault","1999-03-04 00:00:00","synonym added.","Anderson and others' (1950) descriptions of the workings on the Eclipse property (which should be the Assault/Hope Mine) correspond to information from the U.S. Bureau of Mines (IGS mineral property files) on the workings on the Hope property.",
18,"HA0357","HA0357","Hope","1999-03-04 00:00:00","deleted; combined with Assault (HA 356)","Cross-referencing between Anderson and others (1950), Umpleby and others (1930), and U.S. Bureau of Mines information shows that Assault and Hope properties should be the same; Anderson's locations for Assault and Eclipse are reversed from what they should be.",
19,"SP0077","SP0077","North Fork Mine","1999-03-09 00:00:00","name changed and synonym added","Property was previously referred to by the company name; name was changed to North Fork Mine, with the company name as a synonym.",
20,"WL0471","WL0471","Vienna International","1999-03-16 00:00:00","synonym and commodity added","Osakis (formerly WL-472) is a synonym for Vienna International; Fe (commodity for Osakis) was added to commodity list",
21,"WL0472","WL0472","Osakis","1999-03-16 00:00:00","location deleted","Osakis is a synonym for Vienna International (WL-471).",
22,"WL0430","WL0430a","Silver Mountain Lead","1999-03-17 00:00:00","deleted; combined with WL-415","Silver Mountain Lead is a synonym for Idaho Silver Prospect (WL-415); Chesson and others (1984) location shown for this property is identical to Hobbs and others (1965) location.",
23,"WL0430","WL0430","Silver Mountain Lead","1999-03-17 00:00:00","deleted","Silver Mountain Lead is a synonym for Idaho Silver Prospect (WL-415); Chesson and others (1984) location is identical to the Hobbs and others (1965) location.",
24,"WL0415","WL0430","Idaho Silver Prospect","1999-03-17 00:00:00","synonym added","Silver Mountain Lead is a synonym for Idaho Silver Prospect (WL-415)",
25,"WL0415c","WL0415","Idaho Silver Prospect","1999-03-17 00:00:00","synonym added","Silver Mountain Lead is a synonym for Idaho Silver Prospect (WL-415)",
26,"WL0561","WL0561","Stonewall Mine","1999-03-17 00:00:00","new property","added from field inspection (Prichard-Eagle Creek FS report, vol. 4).",
27,"WL0562","WL0562","Unnamed Prospect","1999-03-17 00:00:00","new property","added from field inspection (Prichard-Eagle Creek FS report, vol. 4).",
28,"WL0336","WL0336","Missoula Copper Prospect","1999-03-17 00:00:00","synonym added","The Missoula Copper Prospect is also the middle workings of the National Copper Mine (WL-367), as per field inspection report (Coeur d'Alene River Basin, vol. 3).",
29,"HA1000","HA1000","Richard Allen Mine","1999-04-09 00:00:00","reference changed","reference changed from ""Campbell, 1929, 30th Ann. Rept. of Mining Ind. of Id. for 1928."" to ""Lewis, 1991, Oregon State Univ. dissertation.""",
30,"WL0046","WL0046","Terrible Edith","1999-04-13 00:00:00","Ventura codes deleted (production and years fields","codes not needed for on-screen viewing",
31,"SP0053","SP0053","Burnt Cabin Mine","1999-05-12 00:00:00","""Inland Premier"" added as synonym","data from IMIR files and 1924 report by H.M. Childs",
32,"WL0471","WL0471","Vienna-International","1999-05-13 00:00:00","reference changed","reference changed from Umpleby and Jones, 1923, USGS B-732 (which contains only a general description) to Calkins and Jones, 1914, USGS B-540, which contains a description of the property, including the general location (but no map).",
33,"SP0062","SP00062","Idaho Chain Link","1999-05-18 00:00:00","spelling changed","spelling in original reference is ""Idaho Chain Link""; this was changed to the primary name. Spelling in MILS is ""Idaho Chainlink""; this was changed to a synonym.",
34,"SP0291","SP0291","Powhatton","1999-05-18 00:00:00","synonym added","company name added as synonym",
35,"WL0061","WL0061","Clear Grit Group","1999-05-21 00:00:00","name changed from ""Unnamed Prospect""","this site was shown on Hosterman (1956) as an unnamed, closed adit.  Information in the Rooster Goose (WL-98) files indentifies this as the location of the Clear Grit workings (probably the longest tunnel).",
36,"WL0238","WL0230","Mammoth Prospect","1999-05-21 00:00:00","Synonym added","Jumbo Group was given as a synonym for this property on the IMIR annual report forms.",
37,"SP0044","SP0044","Lower Property","1999-06-10 00:00:00","synonym changed","Synonym changed from ""Lucky Joe"" to Lucky Joe Mining Company""; this company had two sets of claims.  Second property needs to be added to database (field inspection number K07299701).",
38,"SP0044","SP0044","Lower Property","1999-06-10 00:00:00","synonym added","""Silver Star Group"" added to synonym list (from company's report to Idaho Mine Inspector).",
39,"SP0397","SP0397","Unnamed location","1999-06-14 00:00:00","new property","added from field inspection (Coeur d'Alene Basin, Secondary Properties, Part D)",
40,"SP0268","SP0268","Silver Belt Prospect","1999-06-16 00:00:00","deleted","this property is the same as Silver Dale and Big Hill (SP-277)",
41,"SP0277","SP0268","Silver Dale and Big Hill","1999-06-16 00:00:00","data reassigned","The Silver Belt Prospect and the Silver Dale and Big Hill are different names (at different times and with different owners) for the same claim block.",
42,"WL0213","WL0213","Belmont Mine","1999-06-23 00:00:00","synonyms corrected","punctuation added to change ""Sanwood-Empress Silver Basin Consolidated Mining Co."" to ""Sanwood-Empress; Silver Basin Consolidated Mining Co.""",
43,"WL0431","WL0431","Gem State Mine","1999-06-25 00:00:00","changed hardfile to ""Y""","found Mine Inspectors forms in another property file.",
44,"HM0206","HM0206","Lolo Creek Placer","1999-06-28 00:00:00","hardfile code changed to ""Y""","file reassigned from HM 211",
45,"HM0211","HM0211","Lolo Creek Placer","1999-06-28 00:00:00","hardfile code changed to ""N""","file reassigned to HM 206; company name in file matches that in production records.",
46,"HM0249","HM0249","Lolo Pass Copper Mine","1999-06-28 00:00:00","property added","This property was originally correlated with HM 212, but the information in the file does not match the USBM information in the MILS records.",
47,"HM0212","HM0212","Lolo Mine","1999-06-28 00:00:00","reference changed","This location came from MILS, not the information referenced from the Mine Inspector's Reports (which is now assigned to property HM 249).",
48,"HM0249","HM0249","Lolo Pass Copper Mine",,"NEED LOCATION",,
