"Countyname","24kQuad"
"Shoshone","WALLACE"
"Shoshone","MULLAN"
"Shoshone","LOOKOUT PASS"
"Shoshone","SALTESE"
"Benewah","TEKOA MOUNTAIN"
"Kootenai","TEKOA MOUNTAIN"
"Benewah","PLUMMER"
"Kootenai","PLUMMER"
"Benewah","CHATCOLET"
"Kootenai","CHATCOLET"
"Benewah","BENEWAH LAKE"
"Kootenai","BENEWAH LAKE"
"Benewah","ST. MARIES"
"Benewah","ST. JOE BALDY"
"Benewah","ST. JOE"
"Shoshone","ST. JOE"
"Shoshone","CALDER"
"Shoshone","MARBLE CREEK"
"Shoshone","MASTODON MOUNTAIN"
"Shoshone","AVERY"
"Shoshone","SHEFOOT MOUNTAIN"
"Shoshone","ADAIR"
"Shoshone","MCGEE PEAK"
"Shoshone","DE BORGIA SOUTH"
"Latah","TEKOA"
"Benewah","TEKOA"
"Latah","TENSED"
"Benewah","TENSED"
"Benewah","BENEWAH"
"Benewah","ALDER CREEK FLATS"
"Benewah","LINDSTROM PEAK"
"Benewah","SANTA"
"Benewah","CRYSTAL PEAK"
"Shoshone","CRYSTAL PEAK"
"Shoshone","HUCKLEBERRY MOUNTAIN"
"Shoshone","MARBLE MOUNTAIN"
"Shoshone","HOYT MOUNTAIN"
"Shoshone","FISHHOOK CREEK"
"Shoshone","THREE SISTERS"
"Shoshone","THOR MOUNTAIN"
"Shoshone","CONRAD PEAK"
"Shoshone","BERGE PEAK"
"Shoshone","TORINO PEAK"
"Latah","FARMINGTON"
"Latah","MISSION MOUNTAIN"
"Benewah","MISSION MOUNTAIN"
"Latah","SANDERS"
"Benewah","SANDERS"
"Latah","WEST DENNIS"
"Benewah","WEST DENNIS"
"Latah","EMIDA"
"Benewah","EMIDA"
"Latah","FERNWOOD"
"Benewah","FERNWOOD"
"Latah","CLARKIA"
"Benewah","CLARKIA"
"Shoshone","CLARKIA"
"Shoshone","MERRY CREEK"
"Shoshone","GRANDMOTHER MOUNTAIN"
"Shoshone","WIDOW MOUNTAIN"
"Shoshone","MONUMENTAL BUTTES"
"Shoshone","MONTANA PEAK"
"Shoshone","BATHTUB MOUNTAIN"
"Shoshone","PEGGY PEAK"
"Shoshone","RED IVES PEAK"
"Shoshone","SHERLOCK PEAK"
"Shoshone","ILLINOIS PEAK"
"Latah","PALOUSE"
"Latah","POTLATCH"
"Latah","PRINCETON"
"Latah","HARVARD"
"Latah","SAND MOUNTAIN"
"Latah","ABES KNOB"
"Latah","BECHTEL BUTTE"
"Clearwater","BECHTEL BUTTE"
"Shoshone","BECHTEL BUTTE"
"Clearwater","ANTHONY PEAK"
"Shoshone","ANTHONY PEAK"
"Clearwater","GRICE RIDGE"
"Shoshone","GRICE RIDGE"
"Clearwater","PINCHOT BUTTE"
"Shoshone","PINCHOT BUTTE"
"Clearwater","LITTLE GOAT MOUNTAINS"
"Shoshone","LITTLE GOAT MOUNTAINS"
"Clearwater","BUZZARD ROOST"
"Shoshone","BUZZARD ROOST"
"Clearwater","MALLARD PEAK"
"Shoshone","MALLARD PEAK"
"Clearwater","POLE MOUNTAIN"
"Shoshone","POLE MOUNTAIN"
"Clearwater","BACON PEAK"
"Shoshone","BACON PEAK"
"Clearwater","CHAMBERLAIN MOUNTAIN"
"Shoshone","CHAMBERLAIN MOUNTAIN"
"Clearwater","HOODOO PASS"
"Shoshone","HOODOO PASS"
"Clearwater","STRAIGHT PEAK"
"Shoshone","STRAIGHT PEAK"
"Latah","VIOLA"
"Latah","ROBINSON LAKE"
"Latah","MOSCOW MOUNTAIN"
"Latah","STANFORD"
"Latah","DEARY"
"Latah","BOVILL"
"Latah","McGARY BUTTE"
"Clearwater","McGARY BUTTE"
"Clearwater","ELK RIVER"
"Clearwater","ELK BUTTE"
"Clearwater","TOWNSHIP BUTTE"
"Clearwater","BERTHA HILL"
"Clearwater","THOMPSON POINT"
"Clearwater","SHEEP MOUNTAIN"
"Clearwater","THE NUB"
"Clearwater","ELIZABETH LAKE"
"Clearwater","MOOSE MOUNTAIN"
"Clearwater","OSIER RIDGE"
"Clearwater","BRUIN HILL"
"Clearwater","SCHLEY MOUNTAIN"
"Latah","MOSCOW WEST"
"Latah","MOSCOW EAST"
"Latah","TROY"
"Latah","LITTLE BEAR RIDGE"
"Nez Perce","LITTLE BEAR RIDGE"
"Latah","TEXAS RIDGE"
"Nez Perce","TEXAS RIDGE"
"Latah","PARK"
"Clearwater","PARK"
"Nez Perce","PARK"
"Latah","ALDERMAND RIDGE"
"Clearwater","ALDERMAND RIDGE"
"Clearwater","ELK CREEK FALLS"
"Clearwater","LITTLE GREEN MOUNTAIN"
"Clearwater","JOHN LEWIS MOUNTAIN"
"Clearwater","HEADQUARTERS"
"Clearwater","BROWNS ROCK"
"Clearwater","CLARKE MOUNTAIN"
"Clearwater","POT MOUNTAIN"
"Clearwater","JUNCTION MOUNTAIN"
"Clearwater","SCURVY MOUNTAIN"
"Clearwater","GORMAN HILL"
"Clearwater","TOBOGGAN RIDGE"
"Clearwater","RHODES PEAK"
"Clearwater","GRANITE PASS"
"Idaho","GRANITE PASS"
"Clearwater","LOLO HOT SPRINGS"
"Idaho","LOLO HOT SPRINGS"
"Idaho","WEST FORK BUTTE"
"Idaho","DICK CREEK"
"Latah","UNIONTOWN"
"Nez Perce","UNIONTOWN"
"Latah","GENESEE"
"Nez Perce","GENESEE"
"Latah","GREEN KNOB"
"Nez Perce","GREEN KNOB"
"Latah","JULIAETTA"
"Nez Perce","JULIAETTA"
"Nez Perce","LENORE"
"Clearwater","SOUTHWICK"
"Nez Perce","SOUTHWICK"
"Clearwater","AHSAHKA"
"Nez Perce","AHSAHKA"
"Clearwater","DENT"
"Clearwater","GRANGEMONT"
"Clearwater","WHISKEY BUTTE"
"Clearwater","JAYPE"
"Clearwater","FRENCH MOUNTAIN"
"Clearwater","LARCH BUTTE"
"Clearwater","LEAN-TO POINT"
"Idaho","LEAN-TO POINT"
"Clearwater","COOK MOUNTAIN"
"Idaho","COOK MOUNTAIN"
"Clearwater","LOOKOUT PEAK"
"Idaho","LOOKOUT PEAK"
"Clearwater","HORSESHOE LAKE"
"Idaho","HORSESHOE LAKE"
"Clearwater","INDIAN POSTOFFICE"
"Idaho","INDIAN POSTOFFICE"
"Clearwater","CAYUSE JUNCTION"
"Idaho","CAYUSE JUNCTION"
"Clearwater","ROCKY POINT"
"Idaho","ROCKY POINT"
"Idaho","ROUNDTOP"
"Idaho","RANGER PEAK"
"Idaho","SAINT JOSEPH PEAK"
"Nez Perce","CLARKSTON, WASHINGTON"
"Nez Perce","LEWISTON ORCHARDS NORTH"
"Nez Perce","LAPWAI"
"Nez Perce","CULDESAC NORTH"
"Nez Perce","GIFFORD"
"Clearwater","PECK"
"Nez Perce","PECK"
"Lewis","PECK"
"Clearwater","OROFINO WEST"
"Nez Perce","OROFINO WEST"
"Lewis","OROFINO WEST"
"Clearwater","OROFINO EAST"
"Lewis","OROFINO EAST"
"Clearwater","RUDO"
"Clearwater","WEIPPE NORTH"
"Clearwater","PIERCE"
"Clearwater","HEMLOCK BUTTE"
"Idaho","HEMLOCK BUTTE"
"Clearwater","SNOWY SUMMIT"
"Idaho","SNOWY SUMMIT"
"Clearwater","WEITAS BUTTE"
"Idaho","WEITAS BUTTE"
"Idaho","LIZ BUTTE"
"Idaho","HOLLY CREEK"
