"Sequencenumber","MILSREF","NAME","SEC","SUBSEC","TWN","RNG","DDMMSS","DDDMMSS","OPTYP","STATUS","COMMO1","COMMO2","COMMO3","COMMO4","COMMO5","MAPNAME","QUAD","POP","TOE","YFC","MPF","Mils_Lookup_Key"
"BA0113",160030086,"GRANITE QUEEN PROPERTY","18",,"016 N","002 E","444326","1161534","UNDERG","DEVEL DE","COPPE",,,,,"COUNCIL","BAKER","  1KM","M",,"21.086",128
"BA0115",160030077,"STITES","07",,"015 N","002 E","443904","1161532","PROSPE","RAW PROS","FELDS","MICA",,,,"COUNCIL","BAKER","  1KM","M",,,129
"BA0116",160030078,"MICA QUEEN","08","NW","015 N","002 E","443915","1161451","PROSPE","RAW PROS","MICA","FELDS",,,,"CASCADE","BAKER","  10M","M",,"43.001",130
"BA0119",160850257,"WEST MOUNTAIN PLACERS","32",,"016 N","003 E","444030","1160711","PLACER","UNKNOWN","RARE",,,,,"CASCADE","BAKER","  UNK","M",,"55.038",131
"BA0120",160850514,"GOLD FORK PLACER","24",,"016 N","003 E","444207","1160256","PLACER","UNKNOWN","GOLD",,,,,"CASCADE","BAKER","  5KM","M",,,132
"BA0120",160850145,"GOLD FORK-LITTLE VALLEY PLACERS","16",,"016 N","004 E","444204","1160120","PROSPE","EXP PROS","IRON","TITAN","ABRAS","ZIRCO","RARE","GOLD FORK","BAKER"," 100M","C","1981","55.002",133
"BA0121",160850106,"RIDGENALL & ADAM","11",,"014 N","002 E","443410","1161022","PROSPE","RAW PROS",,,,,,"CASCADE","BAKER","  1KM","M",,,134
"BA0122",160850242,,,,,,,,,,,,,,,,,,,,,135
"BA0123",160850141,"VAN WYCH LOOKOUT","25","NENENW","014 N","002 E","443136","1160940","PROSPE","RAW PROS","MOLYB",,,,,"CASCADE","BAKER"," 500M","M",,"44.007",136
"BA0125",160850107,"HURD CR.","35",,"013 N","003 E","442454","1160429","PROSPE","RAW PROS",,,,,,"SMITHS FERRY","BAKER","  1KM","M",,,137
"BA0126",160850256,"CLEAR CREEK","05","N2","012 N","004 E","442428","1160035","PLACER","UNKNOWN","THORI",,,,,"SMITHS FERRY","BAKER","  UNK","M",," 55.03",138
"BA0127",160030121,"LUCKY STAR MINE","15",,"015 N","002 W","443829","1163340","UNDERG","UNKNOWN","COPPE",,,,,"CAMBRIDGE","BAKER","  UNK","M",," 21.03",139
"BA0128",160030075,"INDIAN VALLEY","05","C N2","014 N","001 W","443500","1162901","PROSPE","RAW PROS","DIATO",,,,,"COUNCIL","BAKER","  1KM","M",,,140
"BA0129",160870069,"TURLEY PROPERTY","05",,"013 N","004 W","442902","1165056","PROSPE","RAW PROS","MICA",,,,,"MANN CREEK","BAKER",">10KM","M",," 43.01",141
