"OBJECTID","version","proc_step","proc_date","database_name","user"
36,"1.2015.1","Applied OCR to all scanned files to-date and updated file sizes using a custom Python script.","20160413","20160413_MinesAndProspects_1.2015.1","cat"
37,"1.2016.1","Added the tables Referece, ReferenceAuthor, and Reference_AutoMetric to facilitate migrating Mines & Prospects references closer to IGS reference style.","2016526","20160527_MinesAndProspects_1.2016.1.mdb","cat"
38,"1.2016.1","Migrated Mines & Prospects to Personal Geodatabase and created two point feature classes built originally from Mines table and for Web_Mercator re-projected:  Mines_WGS84 and Mines_WGS84_Web_Mercator_Auxillary_Sphere. Also created a new KMZ file to be included in download bundle, and updated metadata.","2016526","20160527_MinesAndProspects_1.2016.1.mdb","cat"
39,"1.2016.1","Added ZIP code information to Mines table using ESRI ZIP data.","20160526","20160527_MinesAndProspects_1.2016.1.mdb","cat"
40,"1.2016.1","Added mining district attribute to Mines table using GIS layer based on updated map in IGS P-57.","20160526","20160527_MinesAndProspects_1.2016.1.mdb","cat"
41,,,,"20160527_MinesAndProspects_1.2016.1.mdb","cat"
42,"1.2016.1","Updated [County].[Countyname] to all caps.","20160603","by datestamp","cat"
43,"1.2016.1","Validated county in [Mines] using [Mines_WGS84] table and Identity tool with 2001 county data (see metadata). Removed county data for locations outside idaho.","20160603","datestamp","cat"
44,"1.2016.1","Updated SMA data.","6/8/2016","SEE DATE STAMP","CAT"
18,"1.2015.1","The NEWLOC field will be retained in the Mines table in the new database.  A sort of the MAPLOC field in the Mines table was done to isolate other properties with incomplete spatial data, name data, or designated 'deleted'. These were moved to the TrackChanges table as well, and deleted from the Mines and MineIndex tables.","20141110","See proc_date","CAT"
19,"1.2015.1","During development of the database subscripts were used to designate properties that may have been related spatially to a common point location, or as a placer. At this time the consensus at IGS is that these artifacts have either been resolved or cannot be determined, and the subscripts are not necessary. With one exception the only subscripted properties in the Mines table were designated as placer and have a corresponding SequentialNumber.","20141110","See proc_date","CAT"
20,"1.2015.1","The placer entries were deleted and recorded in the TrackChange table in the event of development of a searchable placer table. All subscripted entries in the MineIndex table, the table that drives the web interface, were deleted without being entered into TrackChange. A previous version of the Mines and Prospects database will have to be consulted (ex. 1.2011.3) to refer to these obsolete entries.","20141110","See proc_date","CAT"
21,"1.2015.1","Substantial upcomming changes to the database:   Property location will done using the smallest verifiable areal extent for property location. This may be a point within a margin of error,   a mining district, or a county. NOTE:  As of the version MinesAndProspects_1.2015.1, properties located only to mining district or county   have not been re-introduced into the database.  A verification process for property location is in place. As references are checked or updated, it will be noted in the TrackChange table and the property location will be refined, kept the same, or deleted as needed. Changes to property references will aslo be noted in TrackChanges.   It may be useful to consult the metadata concerning the origins and history of this database to understand the rational behind these current   changes.  Database will be generally updated at least once daily while work is being done. These versions can be referenced by the date logs below. Protocol is to copy the current database into the Previous Versions folder and append 'backup' to the date and time stamp, and work in the current database.","20141110","See proc_date","CAT"
22,"1.2015.1","The Mines table contained a number of properties not represented in the MinesIndex table. Some of these properties were gathered during field work for the Abandoned Mines project, others are of unknown origin. The HardFile? and LocationUpdated? fields were automatically populated with '0' when these properties were added to the MinesIndex table. These properties were added to the TrackChange table as well. These will have to be revisited and references added etc. as they are researched. The Ore, MinesLookup, Deposit-Seperated, ProdValues, ProdValue, ProductionValues, and PLSS_Tools tables were found to have subscripted   properties. These subscripted entries were removed from these tables. Mines and MineIndex tables were rectified to build 1 to 1 relationship based on  SequenceNumber. MineMaps table created and brought into database. MineMapLUT created using Python tools to map additional properties associated with maps, and brought into database.","20141112-13","See proc_date","CAT"
