"SequenceNumber","Ref_id","PageNumbers","Reference","NotesForReferenceUpdate2015"
"SP0458",510,,,
"SP0457",510,,,
"DI0020",623,,,
"SP0360",933,,,
"SP0312",106,,,
"SP0459",510,,,"SP0459_001"
"BO0080",1287,,"USBM, n.d., WFOC MPF-72.003.",
"BO0081",47,,"Asher, 1968, IBMG P-138.",
"BO0082",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0083",47,,"Asher, 1968, IBMG P-138.",
"BO0084",1034,,"USBM, n.d., USBM files.",
"BO0085",121,,"Campbell, 1938, 39th Ann. Rept. of Mining Ind. of Idaho for 1937.",
"BO0086",47,,"Asher, 1968, IBMG P-138.",
"BO0087",478,,"Hansen, 1969, 67th Ann. Rept. of Mining Ind. of Idaho for 1968.",
"BO0088",47,,"Asher, 1968, IBMG P-138.",
"BO0089",47,,"Asher, 1968, IBMG P-138.",
"BO0090",47,,"Asher, 1968, IBMG P-138.",
"BO0091",47,,"Asher, 1968, IBMG P-138.",
"BO0092",47,,"Asher, 1968, IBMG P-138.",
"BO0093",47,,"Asher, 1968, IBMG P-138.",
"BO0094",47,,"Asher, 1968, IBMG P-138.",
"BO0095",47,,"Asher, 1968, IBMG P-138.",
"BO0096",47,,"Asher, 1968, IBMG P-138.",
"BO0097",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0098",47,,"Asher, 1968, IBMG P-138.",
"BO0099",47,,"Asher, 1968, IBMG P-138.",
"BO0100",47,,"Asher, 1968, IBMG P-138.",
"BO0101",47,,"Asher, 1968, IBMG P-138.",
"BO0102",47,,"Asher, 1968, IBMG P-138.",
"BO0103",47,,"Asher, 1968, IBMG P-138.",
"BO0104",47,,"Asher, 1968, IBMG P-138.",
"BO0105",47,,"Asher, 1968, IBMG P-138.",
"BO0106",47,,"Asher, 1968, IBMG P-138.",
"BO0107",47,,"Asher, 1968, IBMG P-138.",
"BO0108",47,,"Asher, 1968, IBMG P-138.",
"BO0109",47,,"Asher, 1968, IBMG P-138.",
"BO0110",47,,"Asher, 1968, IBMG P-138.",
"BO0111",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0112",72,,"Bennett and Galbraith, 1975, IBMG P-162.",
"BO0113",110,,"Campbell, 1925, 26th Ann. Rept. of Mining Ind. of Idaho for 1924.",
"BO0114",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0115",1034,,"USBM, n.d., USBM files.",
"BO0116",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0117",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0118",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"BO0119",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0120",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0121",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0122",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0123",1034,,"USBM, n.d., USBM files.",
"BO0124",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0125",118,,"Campbell, 1933, 34th Ann. Rept. of Mining Ind. of Idaho for 1932.",
"BO0126",47,,"Asher, 1968, IBMG P-138.",
"BO0127",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0128",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0129",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0130",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0131",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0132",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0133",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0134",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0135",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0136",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0137",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0138",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0139",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0140",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0141",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0142",476,,"Hansen, 1966, 65th Ann. Rept. of Mining Ind. of Idaho for 1965.",
"BO0143",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0144",47,,"Asher, 1968, IBMG P-138.",
"BO0145",1034,,"USBM, n.d., USBM files.",
"BO0146",630,,"McDowell, 1950, 51st Ann. Rept. of Mining Ind. of Idaho for 1949.",
"BO0147",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0148",631,,"McDowell, 1951, 52nd Ann. Rept. of Mining Ind. of Idaho for 1950.",
"BO0149",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0150",1034,,"USBM, n.d., USBM files.",
"BO0151",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0152",123,,"Campbell, 1940, 41st Ann. Rept. of Mining Ind. of Idaho for 1939.",
"BO0153",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0154",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0155",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0156",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0157",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0158",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0159",1034,,"USBM, n.d., USBM files.",
"BO0160",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0161",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0162",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0163",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0164",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0165",1622,,"USGS, Silver City 15-min. quad. topo. map.",
"BO0166",1034,,"USBM, n.d., USBM files.",
"BO0167",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0168",1034,,"USBM, n.d., USBM files.",
"BO0169",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0170",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0171",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0172",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0173",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0174",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0175",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0176",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0177",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0178",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0179",841,,"Piper and Laney, 1926, IBMG B-11.",
"AS0001",835,,"Peters and Winters, 1988, USBM OFR MLA 15-88.",
"AS0002",835,,"Peters and Winters, 1988, USBM OFR MLA 15-88.",
"AS0003",1327,,"USFS Eastern Zone Office, 1975, Zone Mineral Examiners Rept.",
"AS0004",1327,,"USFS Eastern Zone Office, 1975, Zone Mineral Examiners Rept.",
"AS0005",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"AS0006",1460,,"USGS, Big Springs 7.5-min. quad. topo. map.",
"AS0007",617,,"Mansfield, 1920, USGS B-716-F.",
"AS0008",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"AS0009",518,,"Jemmett, 1955, Univ. of Idaho M.S. thesis.",
"AS0010",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"AS0011",1327,,"USFS Eastern Zone Office, 1975, Zone Mineral Examiners Rept.",
"AS0012",518,,"Jemmett, 1955, Univ. of Idaho M.S. thesis.",
"AS0013",518,,"Jemmett, 1955, Univ. of Idaho M.S. thesis.",
"AS0014",518,,"Jemmett, 1955, Univ. of Idaho M.S. thesis.",
"AS0015",1220,,"USBM, n.d., WFOC MPF-41.009.",
"AS0016",768,,"Norberg, 1971, Upper Snake River Valley, USBM unpub. data.",
"AS0017",1546,,"USGS, Kilgore 7.5-min. quad. topo. map.",
"AS0018",956,,"Staley, 1961, IGS Mineral Property Files.",
"AS0019",1546,,"USGS, Kilgore 7.5-min. quad. topo. map.",
"AS0020",1546,,"USGS, Kilgore 7.5-min. quad. topo. map.",
"AS0021",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"AS0022",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"AS0023",46,,"Asher, 1965, IBMG P-135.",
"AS0024",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"AS0025",635,,"McDowell, 1955, 56th Ann. Rept. of Mining Ind. of Idaho for 1954.",
"BA0088",738,,"MSHA, 1980, MSHA Mine File Report.",
"BA0089",1192,,"USBM, n.d., WFOC MPF-37.164.",
"BA0090",767,,"No reference.",
"BA0091",767,,"No reference.",
"BA0092",1034,,"USBM, n.d., USBM files.",
"BA0093",767,,"No reference.",
"BA0094",767,,"No reference.",
"BA0095",767,,"No reference.",
"BA0096",767,,"No reference.",
"BA0097",767,,"No reference.",
"BA0098",767,,"No reference.",
"BA0099",767,,"No reference.",
"BA0100",767,,"No reference.",
"BA0101",1222,,"USBM, n.d., WFOC MPF-41.011.",
"BA0102",973,,"Thayer and Brown, 1964, Geol. Soc. Am. Bull., v. 75, no. 12.",
"BA0103",89,,"Boise Cascade Corp., n.d., Boise Cascade Corp. communication to USBM.",
"BA0104",954,,"Staley, 1955, IGS Mineral Property Files.",
"BA0105",1034,,"USBM, n.d., USBM files.",
