Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DU 249	Automatic Mine	44.1192	-113.1325	160230059	N/A	395
DU 250	Jersey Belle (Merrill)	44.1139	-113.1236	160230141	N/A	N/A
DU 251	Lucky Strike	44.1422	-113.15	160230057	N/A	396
DU 252	Hope	44.1367	-113.1697	160230110	N/A	N/A
DU 253	Westside	44.1333	-113.1758	160230109	N/A	N/A
DU 254	Badger King Mine	44.1036	-113.1608	160230090	N/A	N/A
DU 255	Badger Creek Mine (Badger Mine; Diamond Peak)	44.1069	-113.1267	160230044	W015806	399
DU 256	Triumph	44.1353	-113.1394	160230140	N/A	N/A
DU 257	Bunting Mine (Buntnag)	44.105	-113.1428	160230061	N/A	397
DU 258	Cleopatra	44.1008	-113.1486	160230045	N/A	398
DU 259	Nipper	44.0992	-113.1539	160230048	N/A	400
DU 260	Cedar Post	44.0967	-113.1392	160230104	N/A	N/A
DU 261	Little Pittsburgh Mine (Valley Prospect)	44.0964	-113.1475	160230067	N/A	400
DU 262	Rainbow	44.0964	-113.1628	160230047	N/A	401
DU 263	Bar No. 2	44.1239	-113.1642	160230058	N/A	402
DU 264	Bar No. 7	44.1233	-113.16	160230139	N/A	N/A
DU 265	Badger Creek Prospect	44.0911	-113.1594	160230089	N/A	N/A
DU 266	Last Chance	44.0897	-113.1486	160230062	N/A	405
DU 267	Red Bird	44.0861	-113.1331	160230111	N/A	N/A
DU 268	Valley View Mine	44.0828	-113.1444	160230068	N/A	403
DU 448	Bell Mountain Group (Mountain Bell)	44.2303	-113.2528	N/A	N/A	N/A
DU 451	Bell View Mine (Shaffer Deposit)	44.1981	-113.1825	160230074	N/A	394
DU 452	Iron Cap (Lemhi Range Iron Deposit)	44.1925	-113.1669	160230041	N/A	394
DU 453	Log Chain	44.1772	-113.1969	160230085	N/A	N/A
DU 454	Williams Creek Prospect	44.1569	-113.1475	160230103	N/A	N/A
DU 455	VJ	44.22	-113.0311	160230056	N/A	406
DU 458	Middle Fork of Pass Creek Prospect	44.14	-113.0097	160230135	N/A	N/A
DU 460	Eightmile Canyon Placer	44.0567	-113.0175	160230134	N/A	N/A
DU 461	Copper Mountain Mine (Jernberg Mine)	44.0367	-113.0261	160230064	W015809	410
DU 462	Uncle Ike Creek Prospect	44.0669	-113.0714	160230105	N/A	N/A
DU 463	Fallert Springs Prospect	44.0467	-113.0725	160230091	N/A	N/A
DU 464	Lucky Billy	44.0103	-113.0853	160230069	N/A	414
DU 465	UI No. 6 & 7	44.0064	-113.0683	160230063	N/A	415
DU 466	Copper Mountain No. 8	44.0256	-113.0258	160230112	N/A	N/A
DU 467	Whitebird Deposit (White Bird; Mormon Gulch)	44.0219	-113.0194	160230066	W015811	411
