Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
IF 236	Simplot Silica	43.0069	-112.2128	160050107	N/A	189
PO 184	Lost Horse Mine	42.8836	-112.4061	160050036	N/A	10
PO 185	Lyonclaw Mine (Pat Mahoney Incline; Red Prince)	42.8511	-112.4044	160050090	W013264	8
PO 186	Mountain Spring Prospect (Chink Peak)	42.8564	-112.3836	N/A	W013267	9
PO 188	DWMS Prospect	42.8975	-112.29	N/A	W013268	12
PO 189	Moonlight Mine (Lion Group)	42.8981	-112.2778	160050024	N/A	14
PO 190	Barite Deposit	42.8358	-112.3642	N/A	N/A	42
PO 191	Fort Hall Indian Reservation Phosphate	42.9953	-112.0611	160050089	W013169	18
PO 195	Kopper King Mine	42.8456	-112.1517	160050095	W013269	17
PO 196	Gilbert Group	42.8428	-112.16	160050094	N/A	16
PO 197	Inman Creek Copper Prospect	42.8442	-112.17	160050093	W013173	15
PO 201	High Noon Prospect	42.7817	-112.3556	N/A	W013265	34
PO 202	Fort Hall Mine (Frontier Group; Pocatello Group)	42.7769	-112.3511	160050035	W013270	35
PO 203	Papoose Creek (Papoose Mining Co. Ltd )	42.7717	-112.3294	160050088	N/A	33
PO 204	Wells Cargo Quartzite	42.7661	-112.3822	160050086	N/A	51
PO 205	Marble Deposit	42.7664	-112.2669	N/A	W013279	32
PO 206	Idaho Portland Cement Co. Quarry (Ash Grove West Inc.)	42.7644	-112.2369	160050073	W013155	31
PO 207	Lead Draw	42.7406	-112.3631	160050102	N/A	39
PO 212	Siebert Nichols Prospect	42.7239	-112.3692	160050019	N/A	36
PO 214	Weaver Aluminum Claims (Buck Nos. 1 and 2 Claims)	42.7117	-112.3706	160050018	N/A	37
PO 215	Beam Bauxite Consolidated (Ben Lyon Deposit)	42.7044	-112.3694	N/A	N/A	38
PO 219	Crystal Dome Placer	42.705	-112.4561	160050103	W013274	40
PO 221	Bell Marsh Queen Mine	42.6906	-112.2956	160050047	W013271	29
PO 225	Wonder Insulation Building Stone Quarry	42.7089	-112.0089	160050096	W013282	21
PO 228	Laketown Dolomite	42.645	-112.0419	160050022	N/A	24
PO 229	Sunday Group	42.6278	-112.0064	160050002	W013284	25
PO 230	Saturday Group Occurrence	42.6181	-112.0086	160050048	W013283	205
PO 231	Topaz Dolomite Mining Claim	42.6097	-112.0792	N/A	D006779	27
PO 232	Neney Prospect	42.5742	-112.3142	160050098	W013272	28
PO 244	Black Beetle Occurrence	42.4683	-112.3075	160050104	W013278	151
PO 254	Evans Mine (Banida Lode)	42.4075	-112.2481	160050105	W013276	161
PO 255	Marsh Creek Peat Deposit (Downey)	42.4192	-112.1856	160050081	W013171	162
PO 261	Old Mine Workings	42.3072	-112.0928	160050050	W013273	164
PR 122	Fish Haven Dolomite	42.6317	-111.9933	160050077	N/A	67
PR 123	Vanza Mine (Lava Hot Springs; Lava View; Bristol)	42.6164	-111.9981	160050023	N/A	68
PR 124	Leadbelle Mine (Leadville Mine; Lead Bell)	42.5475	-111.9447	160050066	W026123	70
