Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
SA  26	L. and M. Prospect (L & M)	48.8131	-116.9956	160170241	N/A	46
SA  27	Boulder Mountain	48.8047	-116.9833	160170360	N/A	47
SA  29	Plowboy-Bluebell Prospect (Plowboy Mine; Mountain Chief Mine; Bluebell Group)	48.7964	-116.9142	160170366	W007813	50
SA  30	Mountain Chief Prospect (Bluebell Group; Plowboy Mine)	48.7958	-116.9239	160170359	W007814	51
SA  31	Kootenai No. 2 Prospect	48.7847	-116.9	160170362	W007801	52
SA  32	Gem Copper Mining Co. Prospect (Iron Horse Group)	48.7792	-116.8928	160170361	N/A	53
SA  33	Milwaukee Group (Lone Ranger; Centennial; Navigation Mine)	48.7736	-116.8861	160170204	N/A	54
SA  34	Homestake Mining Co. Prospect	48.7694	-117.025	N/A	N/A	331
SA  35	Boulder Mountain Ouartz Deposit (Silver John; Little Grass Mtn. Quartz Deposit)	48.7567	-117.0211	160170237	N/A	62
SA  36	Vat Group	48.7525	-116.9972	160170383	N/A	63
SA  37	Mosquito Bay Prospect	48.7422	-116.8475	160170160	W007547	64
SA  97	Hammond Property	48.4936	-116.3467	160170031	W007738	130
SA  98	Hottentot Claims	48.4964	-116.3906	160170032	W007752	129
SA 100	Davis Property (Howard Davis Prospect)	48.4808	-116.3614	160170263	W007792	131
SA 102	Uranium Deposit	48.6958	-116.8192	N/A	W007540	65
SA 104	Hotchkiss Prospect (Hines Deposit; Poorboy-Slowpoke; Nordman; Silvertip)	48.6619	-116.9906	160170003	W007820	72
SA 107	Golden Eagle Claims	48.6561	-116.9336	160170380	N/A	76
SA 108	Idaho Copper Prospect (Virginia Lakeshore; Virgina; Virginia-Old Dominion Group; Lode Star Group; Milwaukee)	48.6525	-116.8733	160170011	W007749	81
SA 109	Granite Creek Prospect	48.6431	-116.89	160170377	N/A	79
SA 110	Unnamed location	48.6431	-116.7933	160170012	N/A	82
SA 111	Lakeview Prospect	48.6075	-116.9514	160170009	W007802	77
SA 112	Unnamed location	48.5961	-116.9303	160170010	N/A	78
SA 114	Milwaukee Mines Prospect (Milwaukee Camp No. 1; Calispel Group; Kalispell Group; York Group; Santa Fe Group; De Soto Group)	48.5725	-116.9128	160170014	W007811	105
SA 115	Unnamed location	48.5614	-116.8161	160170015	N/A	108
SA 116	Unnamed location	48.5442	-116.7944	160170016	N/A	109
SA 118	Woodrat Mine (Kaniksu; Golden Eagle Group; Burnt Cabin Group; Rat Group)	48.5336	-116.9094	160170017	W007750	106
SA 119	Green Nugget (Last Chance)	48.5081	-116.8906	160170018	N/A	107
SA 120	Soldier Creek Prospects (Sundance Mountain)	48.4958	-116.7739	160170025	W007549	124
SA 123	Binarch Creek (Binarch Creek Mining Co. Prospect; Washington & Idaho; Washington-Idaho; Idaho-Washington; Idaho)	48.4697	-116.9247	160170020	W007757	115
SA 124	Nevada Mines Prospect (Monterey; Del Monte)	48.4619	-116.9339	160170261	W007816	116
SA 126	New Discovery	48.4328	-116.9339	160170215	N/A	118
SA 127	Unnamed location	48.4186	-116.9331	160170021	N/A	120
SA 128	Major Lode	48.4144	-116.9322	160170276	N/A	122
SA 129	Apex	48.4139	-116.9222	160170227	N/A	123
SA 130	Big Step Prospect	48.4233	-116.9042	160170023	W007751	121
SA 131	Lost Cave Prospect	48.4206	-116.6542	160170028	W007805	125
SA 133	Berry Creek Mica Prospect	48.4242	-116.5867	160170026	W007548	126
SA 134	Lucky Lead Prospect	48.3464	-116.95	160170034	W007807	133
SA 136	Hines Clay Deposit	48.3314	-116.9122	N/A	D006570	72
SA 137	Silver Mountain Prospect	48.3478	-116.8886	160170300	W007523	134
SA 139	Big Creek Mining Group	48.3211	-116.7964	160170044	N/A	153
SA 140	Quartz Creek Quartz Deposit (O'Brien Property; Shannon Group)	48.3233	-116.9089	N/A	N/A	143
SA 142	Unnamed location	48.3142	-116.9928	160170039	N/A	141
SA 143	Nancy K. Prospect	48.2975	-116.9833	160170040	W007815	145
SA 144	Pine Creek Prospects	48.2631	-116.9567	160170381	N/A	147
SA 146	Priest River Mining Co. Prospect (Farmer Jones)	48.2653	-116.9617	160170041	W007823	148
SA 148	Rose of Killarney (Rose of Kennedy)	48.2586	-116.9661	160170043	N/A	151
SA 149	Camp Bird Prospect	48.2492	-116.9581	160170042	W007761	150
SA 151	Brittania Mining Co.	48.245	-116.9667	160170256	N/A	123
SA 153	Freeman Lake Silica Mine	48.2228	-117.0236	160170066	N/A	324
SA 155	Grey Goose	48.2153	-117.0097	160170233	N/A	193
SA 156	Cuban Prospect	48.2269	-116.9094	160170262	W007763	197
SA 157	Unnamed location	48.21	-116.9292	160170079	N/A	199
SA 158	Bodie Canyon Prospect	48.2058	-116.9475	160170080	W007759	198
SA 159	Swanson-Dechamps (Henry Holmes)	48.2031	-116.955	160170220	N/A	200
SA 160	Maurice J. Avery Property	48.1994	-116.9317	160170218	N/A	201
SA 161	Flower	48.3228	-116.6542	160170158	N/A	155
SA 162	Cabinet Range	48.3097	-116.67	160170154	N/A	159
SA 163	Idaho Panhandle (Panhandle Mining and Smelting Co.)	48.2983	-116.6897	160170153	N/A	161
SA 164	Gold Creek Quartzite	48.2906	-116.7128	160170159	N/A	160
SA 165	Tiger	48.2822	-116.7042	160170157	N/A	162
SA 166	Big Casino	48.2822	-116.67	160170155	N/A	156
SA 167	Hunt	48.3036	-116.5936	160170045	N/A	163
SA 168	Big Hill Mine (Syringa)	48.3089	-116.5856	160170046	W007756	164
SA 169	Iron Prospect	48.2839	-116.5675	160170363	W007553	166
SA 170	Dougherty Prospect	48.4114	-116.1342	160170038	W007737	140
SA 171	Ankle Prospect	48.3744	-116.1892	160170105	D006590	248
SA 172	Plume Creek Prospect (Flume Creek)	48.3772	-116.2192	160170162	W007528	225
SA 173	Gene Lee	48.3806	-116.2394	160170265	N/A	138
SA 174	Unnamed location	48.3758	-116.3175	160170037	N/A	137
SA 175	Lone Butte Prospect (Reynolds Mine)	48.3575	-116.4133	160170035	N/A	136
SA 176	Davis Prospect	48.3497	-116.4131	160170036	W007791	135
SA 177	Unnamed location	48.3175	-116.4147	160170049	N/A	169
SA 178	Kootenai Prospect (Boyer Brothers)	48.3044	-116.4883	160170050	W007740	168
SA 179	Hayes Prospect	48.2517	-116.5178	160170048	W007799	323
SA 180	Marguerite Prospect (Bonner Vein)	48.3008	-116.3206	160170052	W007809	171
SA 182	Sweeney-Walker Group	48.3169	-116.2614	160170303	W007525	183
SA 183	Eagan Prospect	48.3125	-116.2639	160170060	W012853	184
SA 184	Lightning Peak Prospect (Patchen Group; Patcher Group; Old Dam Claims)	48.3217	-116.1569	160170059	W007804	189
SA 186	Patten Prospect	48.3006	-116.2592	160170063	W012852	186
SA 187	Black Bear	48.2958	-116.2817	160170252	N/A	177
SA 188	Rebecca Mining and Milling Co.	48.2981	-116.2989	160170292	N/A	176
SA 189	King Solomon Property	48.2961	-116.3161	160170051	W012854	173
SA 190	Big Five	48.2872	-116.335	160170250	N/A	208
SA 191	Lost Penny Prospect	48.2744	-116.3444	160170055	W007806	174
SA 192	Ponderosa Mining and Power Co. (Main Lode; Ponderosa Mining and Power Co.[sic])	48.2403	-116.4008	160170289	N/A	204
SA 193	Walter Prospect	48.2614	-116.3211	160170056	W007739	178
SA 194	Auxer Mine (Boston Group)	48.2683	-116.2361	160170065	W007746	191
SA 196	Morning Star Prospect	48.2433	-116.2719	160170280	W007812	192
SA 197	Pend Oreille Property Prospect	48.2336	-116.2736	160170086	W007788	181
SA 198	Delorah Prospect	48.2253	-116.1922	160170089	W007793	228
SA 199	Campbell Prospect (Beaver Dam; Complex)	48.2183	-116.2128	160170090	W012851	227
SA 200	Little Jim	48.2686	-116.2597	160170230	N/A	226
SA 201	Alamo Prospect	48.1936	-116.2394	160170091	W007744	224
SA 202	Fullgarth Prospect	48.1978	-116.1553	160170093	W007736	230
SA 203	Regal Group	48.2042	-116.1128	160170106	W012860	249
SA 205	Goat Mountain Property (North Idaho Mining and Development)	48.1969	-116.1539	160170092	W012861	232
SA 206	Lucky Strike Group (Webb Canyon Mine)	48.1833	-116.1278	160170099	W012862	250
SA 207	Ponderosa Group	48.1853	-116.1375	160170107	W012863	247
SA 208	McWilliams Prospect	48.1861	-116.1453	160170109	W007747	246
SA 209	Gabriel	48.1853	-116.1486	160170379	N/A	233
SA 210	Blair and Collins Mine	48.1775	-116.165	160170094	W012857	245
SA 211	Homestake Prospect	48.1689	-116.0997	160170108	W007735	251
SA 212	Copper Giant Prospect	48.1817	-116.2153	160170097	W007741	234
SA 213	Clarinda Prospect	48.1781	-116.2206	160170098	W007742	235
SA 214	Blue Flame	48.1783	-116.2147	160170161	N/A	154
SA 215	Eberly Prospect	48.1722	-116.1925	160170096	W007784	236
SA 216	Whitedelf Mine (James E. White Tunnel; Norquist Tunnel)	48.1647	-116.1928	160170100	M060176	239
SA 217	James E. White Well No. 1 (Bower-Buchanan Oil Co.; Ponderay Petroleum Co.)	48.1653	-116.1828	N/A	N/A	239
SA 218	Hope Mine (Elsie K.)	48.1667	-116.1744	160170095	M060177	244
SA 219	Whitedelf Extension (Miller Mine)	48.1611	-116.1936	160170100	W007527	237
SA 221	Unnamed location	48.1542	-116.1778	160170104	N/A	242
SA 222	Pier and Cady Mine (Whitcomb; Whitcomb, Pier, and Cady)	48.1539	-116.17	160170102	W012856	243
SA 223	Lawrence Mine	48.1486	-116.1472	160170130	W007734	297
SA 224	Little Senator Prospect	48.1439	-116.1536	160170133	W007787	298
SA 225	Antelope Prospect	48.1422	-116.1422	160170132	W007790	299
SA 226	Ralph Property (Wickstrom Group?)	48.1508	-116.1378	160170131	W012858	300
SA 227	Red Cliff Prospect	48.1456	-116.1317	160170138	W007786	301
SA 228	Unnamed location	48.1447	-116.1042	160170137	N/A	302
SA 229	Weir Prospect	48.1419	-116.1108	160170140	N/A	303
SA 230	Hummer	48.1403	-116.0733	160170272	N/A	305
SA 231	Unnamed location	48.1283	-116.0897	160170139	N/A	304
SA 232	Opportunity	48.2189	-116.4925	160170286	N/A	205
SA 234	Sulfide Mine (Sulphide Mine; Silver Fox Group; Thomason Group)	48.1928	-116.3725	160170088	W007551	221
SA 238	Naomi	48.1744	-116.4003	160170281	N/A	203
SA 239	Midas Galena	48.1819	-116.4217	160170213	N/A	218
SA 240	Gold Coin Mine	48.1806	-116.4308	160170085	W007797	217
SA 242	Bay City	48.1853	-116.4533	160170247	N/A	215
SA 243	Silver Plate	48.18	-116.4467	160170217	N/A	332
SA 247	Sullivan Mine	48.1586	-116.8153	160170081	W007543	202
SA 248	Hanna Prospect	48.0442	-116.9028	160170267	W007798	308
