Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 173	Hardscrabble Mine (Hard Scrabble)	44.6336	-115.1244	160370661	W013931	619
CH 175	Ramshorn Mine	44.6231	-115.1303	160370697	W014112	181
CH 176	West Side Claim	44.6164	-115.1342	5	W014105	623
CH 178	Chuck Creek	44.5847	-115.1683	160370030	N/A	647
CH 179	Republican Group Mine	44.5917	-115.1547	160370114	W014090	644
CH 180	Bulldog Prospect (Ivanhoe)	44.5903	-115.1497	160370228	W014245	646
CH 181	Unnamed prospect	44.5811	-115.1578	160370831	N/A	N/A
CH 182	Capitol State Claim	44.5806	-115.1544	160370115	W014092	648
CH 183	Unnamed prospect	44.5756	-115.1461	160370771	N/A	N/A
CH 184	Dowling Quartz Prospect	44.5928	-115.1308	160370660	W014091	643
CH 186	Unnamed prospect	44.5847	-115.1289	160370768	N/A	653
CH 187	Unnamed prospect	44.5819	-115.1239	160370770	N/A	N/A
CH 188	Unnamed prospect	44.58	-115.1264	160370769	N/A	N/A
CH 189	Unnamed prospects	44.5792	-115.1214	160370474	N/A	651
CH 190	Greyhound Mine	44.5769	-115.1278	160370223	W013928	650
CH 191	General Grant Claim (Greyhound Group)	44.5756	-115.1175	160370471	N/A	652
CH 192	Brown Bear Prospect	44.5967	-115.1097	160370110	W014093	624
CH 193	Moonshine Prospect	44.5931	-115.1086	160370111	W014094	640
CH 194	Opal Creek Placer	44.5931	-115.0781	160370109	W014101	641
CH 195	Old Tracy	44.5864	-115.0769	160370772	N/A	N/A
CH 196	Shiney B No. 13	44.5842	-115.0736	160370773	N/A	N/A
CH 197	Unnamed prospects	44.5681	-115.1142	160370480	N/A	N/A
CH 198	Josephus Silver Claim	44.5525	-115.1431	160370893	N/A	N/A
CH 199	Josephus Group (Float Creek Claims)	44.5467	-115.1411	160370242	W014254	656
CH 200	Silver Bell Extension (Burns Property; Lakeview Prospect; Parkin Group)	44.5417	-115.1422	160370241	W014253	657
CH 201	Silver Bell Group (Burns Group; Lucky Boy; Day No. 1)	44.5381	-115.1347	160370243	W014255	662
CH 202	Mountain Dew Claim	44.5319	-115.1383	160370751	N/A	N/A
CH 203	Unnamed prospect	44.5508	-115.1222	160370470	N/A	658
CH 204	Hi-Moon Claims	44.5472	-115.1153	160370885	N/A	N/A
CH 205	Unnamed prospect	44.5447	-115.0969	160370475	N/A	660
CH 206	Colleen Group	44.5428	-115.1153	160370468	N/A	663
CH 207	Colleen No. 10	44.5403	-115.1219	160370767	N/A	N/A
CH 208	Clark Colleen Claims (Collister Property)	44.5383	-115.11	160370246	W014258	664
CH 209	Star Mine (Seagraves Mine; Lone Star Mine; Silver King Prospect; Grey Eagle Mine)	44.5358	-115.1228	160370469	D006601	659
CH 210	Unnamed prospect	44.5328	-115.1169	160370774	N/A	N/A
CH 211	Unnamed prospect	44.5342	-115.1142	160370775	N/A	N/A
CH 212	Enterprise Mine	44.5339	-115.1094	160370752	N/A	359
CH 213	Seafoam Mine (Providence Group; Montana Mine)	44.5294	-115.1281	160370247	W013929	665
CH 214	Seafoam Placer	44.5411	-115.0747	160370240	N/A	661
CH 215	Post Mine (Post's Property; Lost Claim Group)	44.5331	-115.0922	160370244	W014256	666
CH 216	Unnamed prospect	44.5228	-115.0908	160370467	N/A	668
CH 217	Unnamed prospect	44.5211	-115.0997	160370466	N/A	670
CH 218	Wild Goat No. 1 (Trade Dollar Prospect)	44.5194	-115.1069	160370476	W014257	667
CH 219	Unnamed prospect	44.5153	-115.1044	160370465	N/A	671
CH 220	Unnamed prospect	44.5133	-115.1083	160370840	N/A	N/A
CH 221	Wildgoat No. 3 Claim	44.5108	-115.1225	160370843	N/A	N/A
CH 222	Unnamed prospect	44.5111	-115.1161	160370842	N/A	N/A
CH 223	Unnamed prospect	44.5103	-115.1122	160370841	N/A	N/A
CH 224	Lovenest Claim	44.55	-115.0597	160370753	N/A	N/A
CH 225	Unnamed prospect	44.5442	-115.0481	160370812	N/A	N/A
CH 226	Nessie No. 12 Claim	44.5403	-115.06	160370754	N/A	N/A
CH 227	Betty Ruth Claim (Baby Ruth)	44.5194	-115.0739	160370761	N/A	N/A
CH 228	Wild Buck Claim (Mia #6; Wild Dog; Wildbuck)	44.5153	-115.0792	160370759	N/A	N/A
CH 229	Surprise No. 1 Claim	44.515	-115.0736	160370764	N/A	N/A
CH 230	Canary Yellow Mine	44.5128	-115.085	160370760	N/A	N/A
CH 231	Mia No. 22 Claim	44.5081	-115.0903	160370758	N/A	N/A
CH 232	Mia No. 22 Claim	44.5053	-115.0919	160370757	N/A	N/A
CH 233	Mystery Prospect	44.5044	-115.0886	160370248	W014259	672
