Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HM   2	Blackdome Occurrence	46.9775	-115.8208	160790013	W013032	1
HM   3	Gray Eagle Mine	46.9611	-115.86	160790203	N/A	2
HM   5	Stocking Meadows	46.9389	-115.8739	160790181	N/A	3
HM   6	Cedar Creek	46.9392	-115.8653	160790001	N/A	4
HM  14	Elk Prairie Prospect	46.9894	-115.4886	160790530	W013129	10
HM  17	Clearwater Gold and Copper Prospect (Clearwater Mine and Placer; N and F Placer)	46.9715	-115.1529	160790091	W013124	12
HM  19	Chamberlain Meadows Copper Prospect	46.9414	-115.2197	160790531	W013037	14
HM  20	Vanderbilt Gulch Placer	46.9378	-115.1703	160790092	W013062	15
HM  21	Dill Creek Placer	46.9408	-115.1017	160790093	W013041	17
SP  37	Rock City Mine	47.86	-116.1422	160790419	N/A	28
SP  75	Edwards Prospect (Cinnabar Prospect)	47.6483	-116.0656	160790207	N/A	53
SP  76	Fortunate Mining Co.	47.6436	-116.1933	N/A	N/A	298
SP  77	North Fork Mine (North Fork Development Co.)	47.6425	-116.1286	N/A	N/A	384
SP  79	Coal Creek Group	47.6367	-116.1317	N/A	N/A	409
SP  81	Paperul & Graham (Graham Mountain; P.&G.M. Min. Co.; Papurel Graham Mountain; Papurel Mine; Papurel Graham Mt.)	47.6317	-116.1325	N/A	N/A	387
SP  87	Empire Copper Mine (Linfor Copper; Horst-Powell Mine; Horse Powell Mine)	47.6278	-116.3219	160790016	W019471	81
SP  88	Juno Mine (June Mine)	47.6175	-116.2686	N/A	D006587	304
SP 101	McGillivray Prospect	47.6036	-116.2803	160790242	N/A	82
SP 112	Coeur d'Alene West Fork Mining Co. (C.D.A. West Fork)	47.5764	-116.0431	N/A	N/A	357
SP 115	Maine-Standard	47.5731	-116.0175	N/A	N/A	379
SP 117	Washington-Idaho Mine (Cavanaugh Group; Crescent Group; Hetzel Group; Annie Laurie)	47.5678	-116.0394	160790214	D006576	85
SP 118	Coeur d'Alene Eagle Lead-Silver Mining Co., Ltd.	47.5681	-116.1294	N/A	N/A	356
SP 119	Dickens Consolidated (Dickens; Charles Dickens Mine; Old Charles Dickens; Silver Crescent, Inc.)	47.5644	-116.0175	N/A	N/A	359
SP 121	Silver Crescent Mine (Charles Dickens)	47.5617	-116.0214	160790039	W019374	88
SP 122	Black Rock	47.5589	-116.1222	N/A	N/A	352
SP 123	Cogdill Prospect	47.5581	-116.0344	160790297	W019389	84
SP 124	Lombardy Property	47.5556	-116.1167	160790532	W019366	83
SP 125	Royal Mine (Calabria)	47.5528	-116.0364	160790365	N/A	87
SP 126	Index	47.5519	-116.135	N/A	N/A	373
SP 127	Moon Creek Group	47.5486	-116.0408	N/A	N/A	382
SP 128	Oasis Group	47.5497	-116.1992	N/A	N/A	385
SP 129	Hayes Company	47.5444	-116.2072	N/A	N/A	368
SP 130	Gibbonsville Mining and Exploration Co. (Brown Placers; Hayes Company; Coeur d'Alene River Tailings)	47.5431	-116.1408	160790201	N/A	257
SP 131	Alma Ray	47.5422	-116.1036	N/A	N/A	345
SP 133	Terror Prospect	47.5431	-116.0042	160790383	W019544	89
SP 135	Blue Star Prospect (Pinehurst Silver)	47.5406	-116.2161	160790544	W019559	213
SP 136	McGregor Mine	47.54	-116.3147	160790275	N/A	101
