Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
PL   1	Carrico Placer (Bockmier; Mother Lode; Gold Creek Mines)	46.9975	-116.8039	160570084	W015875	1
PL   2	Milbert Prospect	46.9978	-116.7961	160570002	W015876	2
PL   3	Prosperity Group (Lavigne & Maher Tungsten Prospect)	46.9936	-116.7919	160570001	D006569	3
PL   4	Lost Wheelbarrow Mine (Fitsum Mining Co.)	46.9975	-116.7833	N/A	N/A	200
PL   5	Midway Placer (Southern; Evergreen; White Fir)	46.9819	-116.8244	N/A	N/A	201
PL   6	Milbert Placer	46.9786	-116.8008	160570040	W015878	4
PL   7	Reservoir Creek Prospect	46.9772	-116.7919	N/A	N/A	202
PL   8	Milbert Prospect (Carrico Iron; Hoteling Creek)	46.9775	-116.7847	160570064	W015877	5
PL   9	Black Horse Prospect	46.9661	-116.7667	160570006	W015879	7
PL  10	Cassidy Prospect	46.9583	-116.7636	160570013	W015886	13
PL  11	Copper Ridge Prospect	46.9711	-116.75	160570007	W015880	8
PL  12	Bishop Claim Prospect	46.9667	-116.7481	160570098	W015933	10
PL  13	Boulder Creek Placer	46.9714	-116.7289	160570097	W015927	9
PL  14	Daisy Mine	46.9661	-116.7217	160570009	W015882	12
PL  15	Gold Bug Prospect (Pinnell Vein)	46.9636	-116.7425	160570008	W015881	11
PL  16	Jerome Creek Placer	46.9619	-116.7317	160570096	W015929	6
PL  17	Blackfoot Prospect	46.9519	-116.7189	160570010	W015883	16
PL  18	Last Chance Prospect (Early Bird)	46.9511	-116.7322	160570012	W015885	15
PL  19	Gold Hill Prospect (Pinnell Vein)	46.9572	-116.7464	160570011	W015884	14
PL  20	Camas Creek Placer	46.9394	-116.7633	160570105	W015928	51
PL  21	Brickner Mine	46.9492	-116.9047	160570070	W015874	26
PL  22	Onaway Mine	46.9297	-116.8828	160570021	W015890	28
PL  23	Potlatch Clay Deposit	46.9289	-116.9	160570060	W015954	27
PL  24	Potlatch Corporation Pit	46.9083	-116.9167	160570088	N/A	29
PL  25	Potlatch (South) Clay Occurrence	46.8919	-116.965	N/A	W015953	30
PL  26	McKinney Prospect	46.8792	-116.7814	160570067	W015962	31
PL  27	Yale Clay Occurrence	46.8561	-116.6914	160570106	W015947	52
PL  28	Ten-Said	46.9861	-116.5853	N/A	N/A	189
PL  29	Lodestone (Lode Stone; Peewee; Flat Nugget Claim)	46.9769	-116.5822	N/A	N/A	184
PL  30	Poorman Placer	46.9694	-116.5836	160570099	W015975	17
PL  31	Question Mark	46.9664	-116.5731	N/A	N/A	203
PL  32	Northwest Gold Fields Co. Dredge (Doffner Group; Annie Marie; Lower North Fork Mine)	46.9819	-116.5608	160570014	W015887	18
PL  33	Gold Prospect	46.9864	-116.5456	160570100	W015937	19
PL  34	Freeburg Placer	46.9586	-116.5508	N/A	N/A	204
PL  35	Mizpah Mine (Merger; Copper Mountain)	46.9964	-116.5011	160570019	W015888	20
PL  36	Copper King Mine	46.9947	-116.4958	160570039	W015902	21
PL  37	McKinley	46.9814	-116.4947	N/A	N/A	183
PL  38	Copper Occurrence	46.9775	-116.4694	160570101	W015935	22
